Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DRAGAN CRNOGORAC;DOMOVINSKI POKRET - DP, IVAN PENAVA NEZAVISNA LISTA - IP-NL, HRVATSKA SELJAČKA STRANKA - HSS, DEMOKRATSKI SAVEZ NACIONALNE OBNOVE - DESNO, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, DEMOKRATSKI HSS - DHSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA STRANKA PRAVA DR. ANTE STARČEVIĆ U STEČAJU - HSP AS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKI SUVERENISTI, MOST, HRVATSKA KONZERVATIVNA STRANKA - HKS, STRANKA UMIROVLJENIKA - SU, HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV PANENIĆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;003;BOROVO;"OSNOVNA ŠKOLA ""BOROVO""";TRG PALIH BORACA 30;1185;449;449;411;38;77;7;21;2;5;299;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;004;BOROVO;"DJEČJI VRTIĆ ""ZLATOKOSA""";N. KOVAČEVIĆA 2A;1005;426;426;385;41;87;6;12;4;8;258;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOROVO;005;BOROVO;BOROVO;OZRENSKA 37;505;220;217;190;27;43;6;6;0;1;127;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;001;BOŠNJACI;DOM KULTURE (PROSTORIJE KUD-A);TRG FRA B.T.LEAKOVIĆA 10;885;461;461;435;26;5;110;237;51;14;3;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;002;BOŠNJACI;OPĆINA BOŠNJACI;TRG FRA B.T.LEAKOVIĆA 15;662;318;318;294;24;8;62;178;30;7;0;9
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;003;BOŠNJACI;VATROGASNI DOM;TRG FRA B.T.LEAKOVIĆA 12;735;330;330;308;22;8;76;162;40;8;1;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;BOŠNJACI;004;BOŠNJACI;"OSNOVNA ŠKOLA ""FRA B.T.LEAKOVIĆ""";BRAĆE RADIĆA 38 A;848;403;403;389;14;5;105;206;51;5;0;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;001;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1022;565;565;530;35;8;157;275;43;10;2;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;002;ŠIŠKOVCI;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ"" PODRUČNA ŠKOLA ŠIŠKOVCI";J.KOZARCA 8;659;419;419;399;20;5;64;281;35;3;2;9
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;003;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ""";ŠETALIŠTE DR. FRANJE TUĐMANA 3;1069;678;678;634;44;7;180;333;61;7;1;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;CERNA;004;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIĆ """;ŠETALIŠTE  DR.FRANJE TUĐMANA 3;896;503;503;478;25;5;182;192;52;13;1;33
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;001;DRENOVCI;OPĆINSKA  NARODNA KNJIŽNICA DRENOVCI;BRAĆE RADIĆA 2;698;291;291;273;18;5;81;125;32;14;1;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;002;DRENOVCI;"OSNOVNA ŠKOLA ""FRANJO HANAMAN"" DRENOVCI";ISTREV 2;923;411;411;380;31;2;105;173;49;21;3;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;003;ĐURIĆI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIĆ"" - PODRUČNA ŠKOLA ĐURIĆI";M.GUPCA 99;217;121;121;113;8;2;19;72;11;2;0;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;004;POSAVSKI PODGAJCI;O.Š. DAVORIN TRSTENJAK;M.GUPCA 160;1000;458;458;431;27;9;73;173;86;71;2;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;005;RAČINOVCI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIĆ"" RAČINOVCI";A.STARČEVIĆA 1;582;315;315;299;16;3;17;230;28;7;4;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;DRENOVCI;006;RAJEVO SELO;DOM KULTURE U RAJEVOM SELU;RAJEVO SELO, ZRINSKIH I FRANKOPANA 60;870;296;296;271;25;10;61;113;26;23;3;35
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GRADIŠTE;001;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;546;203;203;197;6;6;29;119;21;4;0;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GRADIŠTE;002;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;797;259;259;244;15;0;64;133;17;10;2;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GRADIŠTE;003;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;950;308;308;276;32;8;82;117;36;7;0;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GUNJA;001;GUNJA;DRUŠTVENI DOM I KNJIŽNICA;VLADIMIRA NAZORA 113;666;385;385;364;21;17;76;195;45;10;0;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GUNJA;002;GUNJA;"OŠ""ANTUN I STJEPAN RADIĆ"",PODRUČNA ŠKOLA";VLADIMIRA NAZORA 112;849;438;438;401;37;17;74;200;48;15;4;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GUNJA;003;GUNJA;CENTAR ZA JAVNE INICIJATIVE GUNJA;VLADIMIRA NAZORA 317 B;806;458;458;402;56;31;43;190;56;7;6;69
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;GUNJA;004;GUNJA;"OŠ ""ANTUN I STJEPAN RADIĆ""";MIROSLAVA KRLEŽE 55;854;347;347;310;37;29;61;137;32;3;2;46
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;001;IVANKOVO;SPORTSKA DVORANA;BOŠNJACI 10;1371;853;853;815;38;10;191;272;164;144;2;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;002;IVANKOVO;SPORTSKA DVORANA;BOŠNJACI 10;1253;750;750;715;35;16;177;279;100;100;5;38
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;003;IVANKOVO;PRIVATNA KUĆA ANĐELKE PEJIĆ;BOŠNJACI 158;1286;767;767;726;41;22;161;290;146;69;1;37
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;004;IVANKOVO;PRIVATNA KUĆA VLADE SALOPEKA;GORJANI 272;1070;603;603;550;53;13;103;211;106;94;2;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;005;RETKOVCI;DOM KULTURE RETKOVCI;M. GUPCA 7;983;572;572;535;37;25;102;247;106;19;2;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;IVANKOVO;006;PRKOVCI;DRUŠTVENI DOM PRKOVCI;GLAVNA 21;390;247;247;235;12;2;36;154;24;5;1;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;JARMINA;001;JARMINA;DOM TALIJANSKOG PRIJATELJSTVA;V.NAZORA 2;1079;680;680;650;30;23;148;332;91;21;3;32
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;JARMINA;002;JARMINA;OSNOVNA ŠKOLA JARMINA;J.J.STROSSMAYERA 3;909;565;565;540;25;7;140;255;73;36;1;28
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;LOVAS;001;LOVAS;ZGRADA OPĆINE LOVAS-VIJEĆNICA;A.STARČEVIĆA BR. 5;654;412;412;383;29;7;74;209;61;26;2;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;LOVAS;002;OPATOVAC;PROSTORIJE MJESNOG ODBORA U OPATOVCU;TRG HRVATSKIH BRANITELJA BR. 1;244;145;145;139;6;6;27;73;5;8;12;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;001;MARKUŠICA;DOM KULTURE MARKUŠICA;S.POPOVIĆA 2;431;121;121;110;11;15;0;4;0;0;86;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;002;MARKUŠICA;NOVA ZGRADA OPĆINE MARKUŠICA;PERE CARA 2;346;105;104;94;10;12;0;4;1;1;73;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;003;GABOŠ;DOM KULTURE;J.J.ZMAJA 1;380;109;109;103;6;14;3;7;1;0;74;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;004;KARADŽIĆEVO;OSNOVNA ŠKOLA KARADŽIĆEVO;V.S.KARADŽIĆA BB;148;39;39;35;4;8;0;1;1;0;24;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;005;OSTROVO;DOM KULTURE;MATIJE I LJUBINKA 3;476;143;143;132;11;28;6;13;5;0;76;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;MARKUŠICA;006;PODRINJE;PROSTORIJE MJESNOG ODBORA;GLAVNA BB;150;24;24;23;1;3;1;3;0;0;16;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NEGOSLAVCI;001;NEGOSLAVCI;ZGRADA OPĆINE NEGOSLAVCI ( VELIKA SALA );VUKOVARSKA 7;943;429;429;398;31;19;3;20;1;1;353;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;001;NIJEMCI;"OSNOVNA ŠKOLA ""I. KOZARAC"" NIJEMCI";ZRINSKA 8;1248;767;767;685;82;18;255;189;148;47;2;26
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;002;ĐELETOVCI;"OSNOVNA ŠKOLA ""I.KOZARAC"" NIJEMCI-PODRUČNA ŠKOLA ĐELETOVCI";BANA JELAČIĆA 6;413;241;241;227;14;7;48;111;44;13;0;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;003;DONJE NOVO SELO;"OSNOVNA ŠKOLA ""I. KOZARAC"" NIJEMCI- PODRUČNA ŠKOLA DONJE NOVO SELO";M.A.RELJKOVIĆA 83;374;257;257;242;15;6;69;127;28;5;0;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;004;PODGRAĐE;"OSNOVNA ŠKOLA "" I. KOZARAC""  NIJEMCI-PODRUČNA ŠKOLA PODGRAĐE";ŠKOLSKA 2;290;152;152;144;8;4;46;58;22;4;1;9
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;005;APŠEVCI;OSNOVNA ŠKOLA LIPOVAC-PODRUČNA ŠKOLA APŠEVCI;KRALJA TOMISLAVA 58;215;134;134;129;5;1;23;61;41;1;0;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;006;LIPOVAC;DRUŠTVENI DOM LIPOVAC;CVJETNO NASELJE 1 B;657;398;398;368;30;3;66;143;137;8;1;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;007;VINKOVAČKI BANOVCI;OSNOVNA ŠKOLA ILAČA- BANOVCI, PODRUČNA ŠKOLA VINKOVAČKI BANOVCI;M.TITA BB;104;61;61;56;5;7;5;11;2;3;21;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NIJEMCI;008;BANOVCI;OSNOVNA ŠKOLA ILAČA- BANOVCI, PODRUČNA ŠKOLA BANOVCI;M.TITA BB;243;132;132;121;11;17;4;11;3;2;79;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NUŠTAR;001;NUŠTAR;DOM KULTURE;KRIŽNOG PUTA 18;1082;696;696;641;55;6;229;211;121;52;1;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NUŠTAR;002;NUŠTAR;"OŠ ""ZRINSKIH"" NUŠTAR";ZRINSKOG 13;1076;649;649;606;43;11;231;194;74;49;2;45
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NUŠTAR;003;NUŠTAR;ZGRADA OPĆINE NUŠTAR;TRG DR. FRANJE TUĐMANA 1;675;413;413;387;26;9;171;116;50;30;0;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NUŠTAR;004;MARINCI;ZGRADA VIJEĆA MJESNOG ODBORA MARINCI;VLADIMIRA NAZORA 14;512;277;277;248;29;11;74;91;40;12;8;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;NUŠTAR;005;CERIĆ;ZGRADA MJESNOG ODBORA, CERIĆ;TRG DR. FRANJE TUĐMANA 1;1184;724;724;676;48;5;169;321;114;47;1;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;PRIVLAKA;001;PRIVLAKA;DOM UMIROVLJENIKA;B.J.ŠOKČEVIĆA 1;797;526;523;473;50;11;90;272;63;21;1;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;PRIVLAKA;002;PRIVLAKA;"KUD ""IVAN DOMAC""";B.J.ŠOKČEVIĆA 3;651;418;418;393;25;7;99;169;53;30;1;34
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;PRIVLAKA;003;PRIVLAKA;OPĆINA PRIVLAKA;FALIČEVCI 7;859;606;606;547;59;9;138;236;99;33;1;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI JANKOVCI;001;STARI JANKOVCI;ZGRADA OPĆINE;DR.FRANJE TUĐMANA 1;1242;507;507;474;33;11;113;254;45;31;8;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI JANKOVCI;002;NOVI JANKOVCI;ZGRADA MJESNOG ODBORA;ŠKOLSKA 1;728;306;306;293;13;16;42;192;30;10;1;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI JANKOVCI;003;SLAKOVCI;"ZGRADA POSLOVNOG CENTRA ""SLAK""";PETRA PRERADOVIĆA 52;765;335;335;319;16;3;94;165;25;24;2;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI JANKOVCI;004;OROLIK;ZGRADA MJESNOG ODBORA;I.G.KOVAČIĆA 1;410;170;170;158;12;13;23;43;8;9;56;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI JANKOVCI;005;SRIJEMSKE LAZE;ZGRADA MJESNOG ODBORA;ULICA DANILA KOVAČEVIĆA 1;433;141;141;127;14;40;8;19;2;0;56;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI MIKANOVCI;001;STARI MIKANOVCI;"""CENTAR I"" U STARIM MIKANOVCIMA";VLADIMIRA NAZORA 2;675;289;289;270;19;4;39;100;32;10;0;85
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI MIKANOVCI;002;STARI MIKANOVCI;"""CENTAR II"" U STARIM MIKANOVCIMA";MATIJE GUPCA 2;562;357;357;326;31;1;79;103;40;6;0;97
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI MIKANOVCI;003;STARI MIKANOVCI;"""ŠUMARIJA STARI MIKANOVCI""";VLADIMIRA NAZORA 54;634;411;411;393;18;3;77;150;41;13;2;107
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;STARI MIKANOVCI;004;NOVI MIKANOVCI;NOVI MIKANOVCI;BRAĆE RADIĆA 146;445;257;257;237;20;4;52;87;43;8;0;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ŠTITAR;001;ŠTITAR;OSNOVNA  ŠKOLA IVANA MARTINOVIĆA;ŠKOLSKA 23;996;470;470;445;25;9;169;186;47;10;6;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;ŠTITAR;002;ŠTITAR;OSNOVNA  ŠKOLA IVANA MARTINOVIĆA;ŠKOLSKA 23;855;353;353;327;26;14;128;134;24;13;2;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOMPOJEVCI;001;BERAK;DOM KULTURE BERAK;OROLIČKA 9;300;205;205;198;7;1;29;68;11;85;0;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOMPOJEVCI;002;BOKŠIĆ;DOM KULTURE BOKŠIĆ;RADIĆEVA 21;91;69;69;69;0;0;15;33;9;12;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOMPOJEVCI;003;ČAKOVCI;DOM KULTURE ČAKOVCI;ŠANDORA PETEFIJA 15;285;165;165;158;7;7;21;52;15;37;25;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOMPOJEVCI;004;MIKLUŠEVCI;DRUŠTVENI DOM MIKLUŠEVCI;TRG ŽRTAVA DOMOVINSKOG RATA 2;284;169;169;157;12;4;34;33;23;51;9;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOMPOJEVCI;005;TOMPOJEVCI;HRVATSKI DOM;RADIĆEVA 23;227;155;155;145;10;4;30;40;18;50;1;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TORDINCI;001;ZGRADA OPĆINE TORDINCI;TORDINCI;TRG HRVATSKIH ŽRTAVA 9;636;436;436;409;27;5;58;302;23;7;1;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TORDINCI;002;ZGRADA DOMA KULTURE U KOROGU;KOROG;PETEFI ŠANDORA 1;409;264;264;225;39;9;43;138;18;7;1;9
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TORDINCI;003;ZGRADA MJESNOG ODBORA MLAKA ANTINSKA;MLAKA ANTINSKA;GLAVNA 17;60;37;37;36;1;9;5;6;0;0;16;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TORDINCI;004;ZGRADA MJESNOG ODBORA ANTIN;ANTIN;I.GUNDULIĆA 85;562;416;416;389;27;8;119;178;61;11;0;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOVARNIK;001;TOVARNIK;DOM UMIROVLJENIKA;A.G.MATOŠA 12;583;324;324;305;19;8;89;132;31;15;13;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOVARNIK;002;TOVARNIK;VATROGASNI DOM TOVARNIK;A.G.MATOŠA 3;472;270;270;242;28;5;82;112;23;13;0;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOVARNIK;003;TOVARNIK;"ZGRADA ""AGRO-TOVARNIK"" TOVARNIK";VLČ.IVE BURIKA 43;428;241;241;225;16;2;75;74;32;25;6;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TOVARNIK;004;ILAČA;HRVATSKI DOM ILAČA;V.NAZORA 29;638;396;396;375;21;6;103;169;33;52;1;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;001;TRPINJA;LOVAČKI DOM  TRPINJA;GAJČANSKA 3;1111;326;325;274;51;72;3;15;4;11;154;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;002;BRŠADIN;DOM KULTURE BRŠADIN;V.ĐURĐEVIĆA 42;977;452;452;388;64;78;10;15;3;14;239;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;003;BOBOTA;DOM KULTURE BOBOTA;MITROVIĆEVA 29;1085;408;407;368;39;61;14;24;5;11;238;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;004;VERA;O.Š. BOBOTA, PODRUČNA ŠKOLA VERA;M. OBILIĆA 2;337;122;122;105;17;16;1;1;3;1;78;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;005;PAČETIN;DOM KULTURE PAČETIN;PANDUREVIĆEVA 2;384;249;249;195;54;37;6;2;2;4;136;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;006;LUDVINCI;O.Š. BOBOTA, PODRUČNA ŠKOLA LUDVINCI;VLADIMIRA BAKARIĆA 12;84;50;50;37;13;16;0;0;1;2;18;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;TRPINJA;007;ĆELIJE;MJESNI ODBOR ĆELIJE;IVANOVA 37;99;54;54;51;3;0;6;42;0;1;0;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VOĐINCI;001;VOĐINCI;OPĆINSKA VIJEĆNICA;J.J.STROSSMAYERA 198;655;450;450;428;22;8;63;198;131;12;2;14
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VOĐINCI;002;VOĐINCI;SALA ZA VJENČANJE;J.J.STROSSMAYERA 198;886;597;597;568;29;4;103;261;182;8;0;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;001;VRBANJA;DOM KULTURE VRBANJA - MALA SALA;TRG DR.FRANJE TUĐMANA 1;773;346;346;336;10;6;102;160;40;14;1;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;002;VRBANJA;ŠUMARIJA VRBANJA;K.LJ.POSAVSKOG 14;704;295;295;284;11;1;69;139;44;11;1;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;003;VRBANJA;JAVNA GRAĐEVINA-POLUDNEVNI BORAVAK ZA STARIJE OSOBE;KOLODVORSKA 155;413;187;187;184;3;2;35;108;24;9;1;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;004;SOLJANI;"OŠ ""JOSIP KOZARAC"" SOLJANI";TOMISLAVOVA 5A;439;209;209;201;8;9;54;92;33;9;0;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;005;SOLJANI;DOM KULTURE SOLJANI;M.GUPCA 2;499;182;182;177;5;2;43;92;27;4;2;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;općina;VRBANJA;006;STROŠINCI;"O.Š. ""JOSIP KOZARAC"", PODRUČNA ŠKOLA STROŠINCI";V.NAZORA 44;392;196;196;179;17;5;33;117;15;2;0;7
