Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ANTONIJA JOZIÆ;JOSIP REÐO;LUKA SAMARDŽIJA
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;040;MJESNI DOM;GOLOBRDCI;GOLOBRDCI BB;272;124;124;113;11;73;25;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;041;"ZGRADA ""KUTJEVO"" D.D. I MJESNOG DOMA";KRIVAJ;KRIVAJ BB;63;24;24;24;0;9;1;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;042;PRIVATNA KUÆA ŽELJKA BIÈANIÆA;MARINDVOR;MARINDVOR 33;103;54;54;53;1;34;8;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;043;MJESNI DOM;NOVI MIHALJEVCI;NOVI MIHALJEVCI BB;227;118;118;115;3;70;19;26
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;044;PRIVATNA KUÆA DALIBORA BREZICKI;NOVI ŠTITNJAK;NOVI ŠTITNJAK 22A;107;36;36;36;0;26;7;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;045;PRIVATNA KUÆA PERE SAMARDŽIJE;ŠEOVCI;ŠEOVCI 5;80;33;33;32;1;24;3;5
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;046;PRIVATNA KUÆA DARKA LONÈAREVIÆA;ŠTITNJAK;ŠTITNJAK 7;44;19;19;19;0;11;8;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;047;PRIVATNA KUÆA VLADE VRANIÆA;TURNIÆ;TURNIÆ 28;59;28;28;25;3;15;9;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;048;PRIVATNA KUÆA JADRANKE MAHMUTOVIÆ;ALAGINCI;ALAGINCI 26;163;74;74;69;5;39;12;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;049;PRIVATNA KUÆA ZORANA TKALCA;BANKOVCI;BANKOVCI 22;91;38;38;34;4;23;3;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;001;"OSNOVNA ŠKOLA ""DRAGUTINA LERMANA""";BRESTOVAC;POŽEŠKA 45;673;327;327;306;21;170;86;50
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;002;VATROGASNI DOM;JAGUPLIJE;JAGUPLIJE BB;125;78;78;77;1;60;11;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;003;PRIVATNA KUÆA NEMEÈEK;ZAVRŠJE;ZVONKA BRKIÆA 2;286;127;127;122;5;61;20;41
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;004;DRUŠTVENI DOM;NURKOVAC;NURKOVAC BB;227;114;114;108;6;64;26;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;005;DRUŠTVENI DOM;DOLAC;DOLAC BB;162;70;70;68;2;37;16;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;006;PODRUÈNA ŠKOLA;SKENDEROVCI;SKENDEROVCI BB;152;60;60;56;4;44;6;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;007;DRUŠTVENI DOM;DARANOVCI;DARANOVCI BB;154;94;94;92;2;70;12;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;008;VATROGASNI DOM;ZAKORENJE;ZAKORENJE BB;147;90;90;85;5;74;3;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;009;DRUŠTVENI DOM;DONJI GUÈANI;DONJI GUÈANI BB;159;86;86;85;1;63;7;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;010;DRUŠTVENI DOM;BUSNOVI;BUSNOVI BB;89;44;44;44;0;26;6;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;011;VATROGASNI DOM;IVANDOL;IVANDOL BB;161;73;73;71;2;54;11;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;012;DRUŠTVENI DOM;VILIÆ SELO;VILIÆ SELO BB;125;72;72;70;2;55;2;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;013;DRUŠTVENI DOM;BORIÈEVCI;BORIÈEVCI BB;107;63;63;61;2;30;15;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;014;DRUŠTVENI DOM;PAVLOVCI;PAVLOVCI BB;158;86;86;85;1;50;13;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;015;DRUŠTVENI DOM;DEŽEVCI;DEŽEVCI BB;140;79;79;75;4;56;8;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;016;DRUŠTVENI DOM;PERENCI;PERENCI BB;88;32;32;31;1;13;0;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;017;VATROGASNI DOM;ORLJAVAC;ORLJAVAC BB;274;85;85;80;5;47;10;23
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;BRESTOVAC;018;DRUŠTVENI DOM;PODSREÆE;PODSREÆE BB;36;17;17;15;2;3;0;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;001;OSNOVNA ŠKOLA STJEPANA RADIÆA, ÈAGLIN;ÈAGLIN;VLADIMIRA NAZORA 3;482;259;259;248;11;179;39;30
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;002;DRUŠTVENO VATROGASNI DOM;RUŠEVO;RUŠEVO BB;198;81;81;79;2;59;4;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;003;DRUŠTVENO VATROGASNI DOM;DJEDINA RIJEKA;DJEDINA RIJEKA BB;89;48;48;48;0;39;3;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;004;SEOSKI DOM;VELIKI BILAÈ;VELIKI BILAÈ BB;29;12;12;10;2;6;0;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;005;SEOSKI DOM;LATINOVAC;LATINOVAC BB;71;33;33;32;1;13;2;17
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;006;PRIVATNA KUÆA JURE RADMANA;NOVA LIPOVICA;NOVA LIPOVICA 1;18;4;4;4;0;3;1;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;007;SEOSKI DOM;VLATKOVAC;VLATKOVAC BB;67;24;24;23;1;18;3;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;008;SEOSKI DOM;KNEŽEVAC;KNEŽEVAC BB;57;38;38;37;1;25;12;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;009;PROSTORIJA UZ TRGOVINU;STARI ZDENKOVAC;STARI ZDENKOVAC 13;25;18;18;16;2;8;4;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;010;PRIVATNA KUÆA ANDRIJE JAMBREÈINE;MOKREŠ;MOKREŠ 24;21;18;18;18;0;13;4;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;011;SEOSKI DOM;SIBOKOVAC;SIBOKOVAC BB;28;9;9;9;0;5;1;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;012;PRIVATNA KUÆA STJEPANA GRGURIÆA;JEZERO;JEZERO 23;15;5;5;5;0;5;0;0
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;013;SEOSKI DOM;SOVSKI DOL;SOVSKI DOL BB;70;24;24;23;1;18;1;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;014;SEOSKI DOM;PAKA;PAKA BB;25;14;14;14;0;12;1;1
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;015;OSNOVNA ŠKOLA;IMRIJEVCI;IMRIJEVCI BB;22;11;11;11;0;9;0;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;016;OSNOVNA ŠKOLA;MIGALOVCI;MIGALOVCI BB;101;35;35;34;1;21;4;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;017;SEOSKI DOM;SAPNA;SAPNA BB;50;17;17;17;0;9;1;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;018;DRUŠTVENO VATROGASNI DOM;NOVA LJESKOVICA;JOSIPA KNEŽEVIÆA BB;185;87;87;83;4;58;10;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;019;DRUŠTVENI DOM;MILANLUG;MILANLUG 51;167;83;83;77;6;58;15;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;020;DRUŠTVENI DOM;VUKOJEVICA;VUKOJEVICA BB;57;22;22;22;0;13;3;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;021;PRIVATNA KUÆA STJEPANA KRALJAKA;DUBOKA;DUBOKA 50A;40;23;23;23;0;8;4;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;001;PRIVATNA KUÆA ANTOLOVIÆ ZDENKO;EMINOVCI;VUKOVARSKA 66;234;50;50;49;1;26;13;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;002;PROSTORIJE NA STADIONU NK EMINOVCI;EMINOVCI;VUKOVARSKA 132C;305;87;87;81;6;57;16;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;003;"PROSTORIJE OŠ ""MLADOST"", PO TREŠTANOVCI";TREŠTANOVCI;TREŠTANOVCI 53;162;71;71;69;2;39;8;22
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;004;PRIVATNA KUÆA BIONDIÆ MARIJA;SVETINJA;SVETINJA 1;44;23;23;21;2;14;3;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;005;DRUŠTVENI DOM;BERTELOVCI;BERTELOVCI 47A;121;55;55;50;5;35;7;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;006;"PROSTORIJE OŠ ""MLADOST"", PO TEKIÆ";TEKIÆ;TEKIÆ 30;210;107;107;103;4;64;36;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;007;PRIVATNA KUÆA ŠOP ŽELJKO;JAKŠIÆ;KOLODVORSKA 213;208;83;83;78;5;50;17;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;008;"OSNOVNA ŠKOLA ""MLADOST""";JAKŠIÆ;KOLODVORSKA 2;834;352;352;338;14;234;61;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;009;NOVI VATROGASNI DOM;JAKŠIÆ;PAVLA RADIÆA 2B;489;164;164;156;8;105;36;15
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;010;DRUŠTVENI DOM;RADNOVAC;RADNOVAC 38;159;54;54;53;1;32;13;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;011;DRUŠTVENI DOM;RAJSAVAC;RAJSAVAC 44;277;139;139;133;6;93;28;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;012;"PROSTORIJE OŠ ""MLADOST"", PO CEROVAC";CEROVAC;CEROVAC 26;193;82;82;81;1;63;7;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;JAKŠIÆ;013;PRIVATNA KUÆA MAJETIÆ SLAVICA;GRANJE;GRANJE 6;64;12;12;10;2;6;2;2
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;001;DRUŠTVENO VATROGASNI DOM;KAPTOL;TRG VILIMA KORAJCA 1;517;151;151;141;10;99;23;19
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;002;OSNOVNA ŠKOLA VILIMA KORAJCA;KAPTOL;TRG DR. FRANJE TUÐMANA 3;621;211;211;197;14;125;33;39
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;003;OBITELJSKA KUÆA MATE JURIÆA;KOMAROVCI;KOMAROVCI 15;146;45;45;44;1;31;6;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;004;VATROGASNI DOM;ALILOVCI;ALILOVCI 56;350;128;128;122;6;89;19;14
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;005;DRUŠTVENI DOM;ÈEŠLJAKOVCI;ÈEŠLJAKOVCI 56;231;105;105;97;8;79;10;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;006;VATROGASNI DOM;GOLO BRDO;GOLO BRDO 34;256;78;78;69;9;51;9;9
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;007;DRUŠTVENI DOM;RAMANOVCI;RAMANOVCI 13;160;83;83;77;6;40;19;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;008;DRUŠTVENI DOM;NOVI BEŠINCI;NOVI BEŠINCI BB;69;26;26;26;0;16;7;3
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;009;OBITELJSKA KUÆA ZDRAVKA LOVRIÆA;BEŠINCI;BEŠINCI 17;69;23;23;23;0;18;1;4
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;010;VATROGASNI DOM;PODGORJE;PODGORJE 58;184;76;76;72;4;55;11;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;KAPTOL;011;VATROGASNI DOM;DOLJANOVCI;DOLJANOVCI 6;207;93;93;90;3;59;13;18
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;001;DRUŠTVENO VATROGASNI DOM;VELIKA;S. RADIÆA 18;552;297;297;275;22;148;65;62
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;002;KNJIŽNICA VELIKA;VELIKA;TRG BANA J. JELAÈIÆA 36;1109;537;537;500;37;282;131;87
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;003;DRUŠTVENI DOM;RADOVANCI;RADOVANCI 20;404;227;227;222;5;125;61;36
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;004;HRVATSKI SELJAÈKI DOM;TRENKOVO;TRENKOVA 13;668;309;309;300;9;203;54;43
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;005;DRUŠTVENI DOM;ANTUNOVAC;ANTUNOVAC 5;126;35;35;34;1;18;4;12
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;006;DRUŠTVENI DOM;POTOÈANI;POTOÈANI BB;147;62;62;57;5;29;20;8
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;007;DRUŠTVENI DOM;TRNOVAC;TRNOVAC 12;340;150;150;142;8;66;45;31
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;008;DRUŠTVENO-VATROGASNI DOM;TORANJ;TORANJ BB;147;53;53;50;3;31;8;11
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;009;DRUŠTVENI DOM;DRAGA;DRAGA 34;198;115;115;110;5;70;27;13
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;010;"OŠ ""I. G. KOVAÈIÆA"", PODRUÈNI ODJEL BIŠKUPCI";BIŠKUPCI;BIŠKUPCI BB;293;131;131;121;10;80;17;24
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;011;DRUŠTVENI DOM;STRAŽEMAN;STRAŽEMAN 11;188;81;81;75;6;55;10;10
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;012;DRUŠTVENI DOM;LUÈINCI;LUÈINCI 26;94;30;30;30;0;9;5;16
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;013;DRUŠTVENI DOM;DOLJANCI;DOLJANCI BB;62;19;19;16;3;10;0;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;014;DRUŠTVENI DOM;OLJASI;OLJASI 13A;62;25;25;24;1;11;7;6
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;015;DRUŠTVENI DOM;MILANOVAC;MILANOVAC 20;30;16;16;15;1;5;3;7
11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;016;DRUŠTVENI DOM;POLJANSKA;POLJANSKA BB;124;40;40;36;4;18;5;13
