Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, CENTAR, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, HRVATSKA DEMOKRATSKA REGIONALNA STRANKA - HDRS, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;STRANKA UMIROVLJENIKA - SU;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVO ŽINIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;505;272;272;260;12;37;125;13;42;2;18;8;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);124;77;77;70;7;10;26;4;17;0;1;1;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;149;80;80;74;6;11;31;3;15;0;10;1;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;028;MOŠÆENICA;HRVATSKI DOM MOŠÆENICA;MOŠÆENICA, ULICA MARINA DRŽIÆA 7;1208;602;602;567;35;46;166;30;231;6;56;17;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;029;MOŠÆENICA;OSNOVNA ŠKOLA MOŠÆENICA;MOŠÆENICA;979;504;504;472;32;39;112;27;208;8;64;5;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ÈUNTIÈKI;DIC;PRNJAVOR ÈUNTIÈKI 1/B;201;90;90;87;3;2;29;2;22;16;11;3;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;614;296;296;275;21;23;43;10;118;40;33;3;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;164;164;155;9;3;10;3;69;44;22;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAÈUGA 108/C (ŠATOR);385;104;104;95;9;2;9;2;25;43;13;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;125;125;121;4;15;52;17;10;1;19;2;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;227;101;101;96;5;10;58;12;2;0;2;0;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1043;448;448;438;10;49;180;65;51;2;63;7;21
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;001;GORNJA GRAÈENICA;DOM GORNJA GRAÈENICA;GORNJA GRAÈENICA;846;453;453;437;16;87;221;29;7;4;60;18;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;002;CIGLENICA;DOM CIGLENICA;CIGLENICA;102;65;65;65;0;3;28;3;0;1;19;5;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;003;VOLODER;HRVATSKI PUÈKI DOM VOLODER;VOLODER;769;359;359;343;16;34;194;14;6;2;60;11;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;004;VOLODER;NOVA ŠKOLA;VOLODER;677;364;364;345;19;67;188;10;2;3;38;8;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;005;DONJI KRIVAJ;VATROGASNI DOM;DONJI KRIVAJ;106;50;50;48;2;10;24;2;0;1;6;2;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;006;DONJA GRAÈENICA;DOM DONJA GRAÈENICA;DONJA GRAÈENICA;692;390;390;372;18;48;229;37;9;3;22;9;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;007;OSEKOVO;DOM OSEKOVO;OSEKOVO;706;426;426;408;18;49;205;17;11;4;58;8;56
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;008;GORNJA JELENSKA;DOM GORNJA JELENSKA;GORNJA JELENSKA;615;405;404;387;17;58;236;16;10;2;38;13;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;009;MOSLAVAÈKA SLATINA;ŠKOLA MOSLAVAÈKA SLATINA;MOSLAVAÈKA SLATINA;68;38;38;33;5;10;10;1;0;0;10;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;010;PODBRÐE;VATROGASNI DOM;PODBRÐE;150;101;101;95;6;13;56;4;4;0;13;1;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;011;POPOVAÈA;DOM KULTURE;POPOVAÈA;885;514;514;490;24;79;237;22;15;8;90;12;27
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;012;POPOVAÈA;OSNOVNA ŠKOLA;POPOVAÈA;1122;618;618;586;32;88;261;30;18;5;132;16;36
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;013;POPOVAÈA;VATROGASNI DOM;POPOVAÈA;1462;787;787;744;43;129;373;34;6;7;135;20;40
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;014;STRUŽEC;DOM STRUŽEC;STRUŽEC;528;280;280;265;15;44;126;12;13;4;44;7;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;015;DONJA JELENSKA;DOM U DONJOJ JELENJSKOJ;DONJA JELENSKA;57;43;43;41;2;8;17;2;1;0;11;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;016;POTOK;ŠKOLA POTOK;POTOK;404;187;187;182;5;30;84;14;1;1;27;8;17
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;017;POTOK;DOM POTOK;POTOK;270;168;168;162;6;20;81;6;6;0;35;1;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;018;DONJA VLAHINIÈKA;DOM DVD-A;DONJA VLAHINIÈKA;311;146;146;136;10;22;61;7;6;0;32;3;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;001;SISAK;PROSTORIJE GRADSKE ÈETVRTI CENTAR;IVANA MEŠTROVIÆA 32;895;448;448;427;21;32;179;14;14;7;166;8;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;002;SISAK;PROSTORIJE DRUŠTVA GLUHIH I NAGLUHIH GRADA SISKA;TRG 22. LIPNJA 4B;500;267;267;259;8;21;109;7;3;6;100;9;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;003;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIÆA 27 (UMJESTO U ZGRADI SISAÈKO-MOSLAVAÈKE ŽUPANIJE, S. I A. RADIÆA 36);481;253;253;247;6;12;118;17;5;3;79;7;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;004;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIÆA 27 (UMJESTO U ZGRADI SISAÈKO-MOSLAVAÈKE ŽUPANIJE, S. I A. RADIÆA 36);439;233;233;221;12;22;101;18;4;3;66;6;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;005;SISAK;NARODNA KNJIŽNICA I ÈITAONICA VLADO GOTOVAC SISAK;RIMSKA 27;533;270;269;259;10;22;137;13;4;2;70;9;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;006;SISAK;PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA SISAK;ULICA KRALJA TOMISLAVA 18;639;379;379;357;22;36;165;14;4;6;117;6;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;007;SISAK;PROSTORIJE ZAVODA ZA ZAPOŠLJAVANJE;UL. KRALJA TOMISLAVA 13;538;295;295;275;20;22;121;10;4;6;95;7;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;008;SISAK;PROSTORIJE GRADSKE ÈETVRTI ZELENI BRIJEG;FRANA KRŠINIÆA 19;551;251;251;243;8;25;106;14;5;11;72;6;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;009;SISAK;DJEÈJI VRTIÆ PÈELICA;ULICA ANTUNA CUVAJA 3;910;404;404;380;24;44;139;16;8;5;153;8;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;010;SISAK;PROSTORIJE BIVŠE POSLOVNICE ALIANZ OSIGURANJE;MARIJANA CELJAKA 79;1218;521;521;502;19;53;273;20;3;8;126;11;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;011;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;537;287;287;281;6;20;125;15;4;17;90;6;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;012;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;749;311;311;299;12;35;116;13;4;8;107;11;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;013;SISAK;PROSTORIJE GRADSKE ÈETVRTI ZELENI BRIJEG;FRANA KRŠINIÆA 19;631;267;267;261;6;32;98;13;4;8;97;6;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;014;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;658;315;315;302;13;24;125;15;7;10;109;9;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;015;SISAK;PROSTORIJE AMBULANTE;FERDE HEFELEA 10;807;407;407;382;25;24;185;27;12;4;118;10;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;016;SISAK;PROSTORIJE DRUŠTVENOG DOMA VIKTOROVAC;PERIVOJ VIKTOROVAC BB;650;312;312;298;14;22;128;15;6;3;111;7;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;017;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAÐARSKA 1;604;323;323;307;16;23;135;29;5;7;100;5;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;018;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAÐARSKA 1;740;360;360;337;23;29;154;9;11;6;115;6;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;019;SISAK;DJEÈJI VRTIÆ TRATINÈICA;NIKOLE ŠUBIÆA ZRINSKOG 23;734;427;426;405;21;30;169;28;5;9;143;11;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;020;SISAK;RC ZIBEL - STARI OBJEKT (STOLNOTENISKA DVORANA);ULAZ IZ CESARÈEVE ULICE;477;230;230;218;12;14;104;14;0;4;73;4;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;021;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1148;503;502;472;30;44;169;19;16;16;180;18;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;022;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1246;599;599;557;42;35;191;39;8;16;244;18;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;023;SISAK;PROSTORIJE AMBULANTE;AUGUSTA CESARCA 109B;877;444;444;410;34;36;141;20;0;11;177;9;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;024;SISAK;ŠATOR NA PARKIRALIŠTU ISPRED PROSTORIJA GRADSKE ÈETVRTI GALDOVO;GALDOVAÈKA ULICA 6;1234;582;582;564;18;70;290;34;6;8;125;20;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;025;SISAK;OSNOVNA ŠKOLA GALDOVO (U PREDVORJU ŠKOLE);ULICA BREZOVIÈKOG ODREDA 1;883;429;429;407;22;45;213;18;3;3;86;24;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;026;SISAK;OSNOVNA ŠKOLA GALDOVO (ŠKOLSKA DVORANA);ULICA BREZOVIÈKOG ODREDA 1;765;374;371;358;13;41;184;17;6;1;85;10;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;027;SISAK;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO GALDOVO KAPTOLSKO);VLADIMIRA LOGOMERCA 27;1494;698;698;675;23;57;309;30;10;13;217;20;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;028;SISAK;PROSTORIJE  PRIJAŠNJEG MO CAPRAG;ANDRIJE HEBRANGA 25;1359;494;494;471;23;46;145;22;8;14;212;19;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;029;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;305;109;109;100;9;5;27;17;1;3;42;5;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;030;SISAK;PROSTORIJE DJ. VRTIÆA MASLAÈAK;HRVATSKOG NARODNOG PREPORODA 33;761;319;319;305;14;21;82;19;8;10;148;8;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;031;SISAK;NARODNA KNJIŽNICA I ÈITAONICA VLADO GOTOVAC - ODJEL CAPRAG;TRG HRVATSKE DRŽAVNOSTI 1;752;330;330;307;23;24;85;11;11;12;149;10;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;032;SISAK;OSNOVNA ŠKOLA BRAÆA BOBETKO SISAK;MARIJANA CVETKOVIÆA 2;924;409;409;381;28;25;129;24;6;3;174;17;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;033;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;313;101;101;92;9;8;33;7;2;3;34;3;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;034;SISAK;DOM INA RAFINERIJE NAFTE SISAK;ANTE KOVAÈIÆA 1;337;122;122;118;4;9;47;12;4;4;36;1;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;035;SISAK;DRUŠTVENI DOM, PROSTORIJE GRADSKE ÈETVRTI CAPRAG ( PRIJAŠNJI MO EUGEN KVATERNIK);LASINJSKA UL 15;1313;587;587;555;32;45;216;41;14;17;198;15;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;036;SISAK;MO CRNAC U ZGRADI BIVŠE PODRUÈNE ŠKOLE BRAÆA BOBETKO;ULICA BRAÆE BOBETKO;202;123;123;118;5;5;94;3;2;0;14;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;037;NOVO SELO;PROSTORIJE U VATROGASNOM DOMU DVD-A MLADOST U NOVOM SELU;NOVOSELSKA ULICA 50;504;212;212;197;15;29;88;6;7;5;52;3;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;038;CAPRAŠKE POLJANE;ROMSKA KUÆA;CAPRAŠKE POLJANE 54;352;178;178;167;11;2;118;1;1;3;24;1;17
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;039;NOVO PRAÈNO;PROSTORIJE OŠ I.K. SAKCINSKI;NOVO PRAÈNO;322;165;165;153;12;18;76;8;3;2;39;4;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;040;HRASTELNICA;OSNOVNA ŠKOLA GALDOVO - PODRUÈNA ŠKOLA HRASTELNICA;HRASTELNICA 85 (UMJESTO U DRUŠTVENOM DOMU MO HRASTELNICA, HRASTELNICA 85A);689;332;332;322;10;30;181;16;2;1;79;7;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;041;PALANJEK;DRUŠTVENI DOM MO PALANJEK;PALANJEK BB;253;141;141;137;4;13;87;3;2;1;19;1;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;042;PRELOŠÆICA;PROSTORIJE DVD PRELOŠÆICA;PRELOŠÆICA;416;193;193;186;7;14;121;6;5;0;35;3;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;043;BUKOVSKO;DRUŠTVENI DOM BUKOVSKO;BUKOVSKO 10;65;22;22;22;0;0;21;0;0;0;1;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;044;KOMAREVO;DRUŠTVENI DOM MO KOMAREVO;GORNJE KOMAREVO 4;630;288;288;275;13;43;145;14;4;2;40;8;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;045;BLINJSKI KUT;DRUŠTVENI DOM BLINJSKI KUT;BLINJSKI KUT 34 A;240;92;92;87;5;7;24;7;2;9;36;0;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;046;MADŽARI;DRUŠTVENI DOM MO MADŽARI-LETOVANCI;MADŽARI 30 A;204;125;125;123;2;11;40;4;2;3;56;4;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;047;KLOBUÈAK;ŠATOR NA POVRŠINI POKRAJ PROSTORIJA MO KLOBUÈAK - KONTEJNER;KLOBUÈAK BB;58;24;24;22;2;1;2;3;0;7;7;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;048;LETOVANCI;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO LETOVANCI);LETOVANCI;46;31;31;30;1;3;23;3;0;0;1;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;049;ODRA;DRUŠTVENI DOM MO ODRA;ODRA SISAÈKA 38;638;320;320;311;9;22;183;14;7;2;67;4;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;050;ŽABNO;PROSTORIJE OSNOVNE ŠKOLE BRAÆA RIBAR SISAK;PODRUÈNA ŠKOLA ŽABNO;396;190;190;180;10;15;109;11;1;5;33;2;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;051;GREDA;"PROSTORIJE O.Š. ""SELA"", PODRUÈNI ODJEL GREDA";GREDA;726;320;320;302;18;38;158;7;5;0;80;8;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;052;JAZVENIK;"DRUŠTVENI DOM ""ÈEŠKA BESEDA""";JAZVENIK 7B;111;75;75;70;5;4;52;3;1;0;9;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;053;SELA;OSNOVNA ŠKOLA SELA;SELA;798;364;364;344;20;35;206;16;7;1;57;10;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;054;STARA DRENÈINA;NOVI VATROGASNI DOM DVD-A STARA DRENÈINA;STARA DRENÈINA 59A (UMJESTO U DRUŠTVENOM DOMU STARA DRENÈINA, STARA DRENÈINA BB);177;108;108;105;3;6;76;2;1;0;17;2;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;055;STARO PRAÈNO;DRUŠTVENI DOM STARO PRAÈNO;STARO PRAÈNO 10;737;354;354;336;18;26;160;20;9;3;92;7;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;056;STUPNO;DRUŠTVENI DOM MO STUPNO;STUPNO 58;403;201;201;196;5;18;118;7;6;2;38;3;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;057;VUROT;DRUŠTVENI DOM MO VUROT;VUROT 33A;102;44;44;43;1;11;13;1;0;0;14;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;058;BUDAŠEVO;OSNOVNA ŠKOLA BUDAŠEVO - TOPOLOVAC - GUŠÆE;TRG MARIJANA ŠOKÈEVIÆA 1 (UMJESTO U DRUŠTVENOM DOMU MO BUDAŠEVO, TRG MARIJANA ŠOKÈEVIÆA 3);1320;552;552;536;16;72;309;22;7;3;101;10;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;059;NOVO SELO PALANJEÈKO;DRUŠTVENI DOM MO NOVO SELO PALANJEÈKO;NOVO SELO PALANJEÈKO BB;463;184;184;178;6;23;96;9;1;3;39;6;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;060;TOPOLOVAC;PROSTORIJE NOGOMETNOG KLUBA TŠK, TOPOLOVAC;TRG HRVATSKIH DRAGOVOLJACA 1A (UMJESTO U DRUŠTVENOM DOMU MO TOPOLOVAC, TRG HRVATSKIH DRAGOVOLJACA 1);740;341;341;320;21;41;183;10;8;2;61;6;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;061;LUKAVEC POSAVSKI;DRUŠTVENI DOM MO LUKAVEC POSAVSKI;LUKAVEC POSAVSKI 1C;100;49;49;49;0;4;37;1;0;0;5;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;062;GUŠÆE;MO GUŠÆE U ZGRADI DVD GUŠÆE;GUŠÆE 105;292;130;130;130;0;10;76;4;2;0;30;1;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;063;ÈIGOÆ;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA ÈIGOÆ;ÈIGOÆ 16;62;28;28;27;1;3;14;6;0;0;4;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;064;KRATEÈKO;DRUŠTVENI DOM MO KRATEÈKO;KRATEÈKO 96;149;73;73;70;3;7;50;1;0;0;10;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;065;MUŽILOVÈICA;VATROGASNI DOM MUŽILOVÈICA;MUŽILOVÈICA;67;34;34;31;3;2;20;1;1;1;5;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;066;SUVOJ;DRUŠTVENI DOM (PROSTORIJE PRIJAŠNJEG MO SUVOJ);SUVOJ;27;21;21;20;1;2;11;0;1;0;4;0;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;067;LONJA;PROSTORIJE DVD-A LONJA;LONJA BB;84;27;27;26;1;3;13;1;0;2;6;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;068;SVINJIÈKO;PROSTORIJE MO VELIKO SVINJIÈKO U PODRUÈNOJ ŠKOLI;VELIKO SVINJIÈKO 105;191;88;88;83;5;5;57;0;0;1;18;1;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;069;STARO SELO;KUÆA MILOŠA ÐUKIÆA;STARO SELO 61;108;47;47;45;2;0;1;2;1;31;7;3;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;001;DONJA VELEŠNJA;PROSTOR ISPRED STARE ŠKOLE;DONJA VELEŠNJA;258;141;141;130;11;5;66;10;5;22;8;5;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;002;DONJI KUKURUZARI;ZGRADA OPÆINE (DVORANA ZA UDRUGE);ULICA DON ANTE LIZATOVIÆA 2;417;196;196;178;18;14;109;5;3;26;9;4;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;003;MEÈENÈANI;OSNOVNA ŠKOLA KATARINA ZRINSKA;MEÈENÈANI BB;203;107;107;98;9;2;54;10;7;14;7;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;004;BOROJEVIÆI;DRUŠTVENI DOM BOROJEVIÆI;BOROJEVIÆI 30 B;192;102;102;88;14;4;47;5;10;13;6;2;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;005;UMETIÆ;PRIVATAN OBJEKT JOVANA PRERADOVIÆA;UMETIÆ 15;173;98;98;91;7;3;55;2;5;14;8;1;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;001;DVOR;DOM KULTURE;TRG BANA J. JELAÈIÆA 9;629;253;253;226;27;16;43;14;36;78;27;9;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;002;DVOR;OSNOVNA ŠKOLA;ANTE BRUNE BUŠIÆA 5;508;176;176;150;26;11;28;6;30;44;15;12;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;003;MATIJEVIÆI;ZGRADA KOMUNALCA DVOR D.O.O.;ULICA EUGEN KVATERNIKA 3;579;295;295;267;28;8;11;5;31;175;29;3;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;004;DIVUŠA;PROSTORIJE VATROGASNOG DOMA;DIVUŠA;487;199;199;187;12;20;114;3;16;17;10;1;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;005;GORNJA ORAOVICA;ZGRADA ŠKOLE;GORNJA ORAOVICA BB;164;55;55;53;2;0;1;0;5;39;4;0;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;006;GORNJI JAVORANJ;PROSTORIJE MJESNOG ODBORA;GORNJI JAVORANJ BB;278;133;133;125;8;1;5;3;21;76;15;4;0
