Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN ČEHOK;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, DEMOKRATSKA KNEGINEČKA STRANKA - DKS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;NARODNA STRANKA - REFORMISTI - REFORMISTI, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAVOR PATAFTA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAĆE RADIĆ 2;556;271;271;259;12;26;59;2;24;6;7;43;27;65
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;020;VARAŽDIN;"PROSTORIJE POSLOVNE ZGRADE ""ELEKTRA""";KRATKA 3;590;313;313;307;6;16;40;6;45;8;24;79;15;74
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;021;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;771;408;408;389;19;22;60;11;64;15;21;81;14;101
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;022;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;732;339;339;323;16;10;72;11;61;18;21;45;22;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;023;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE CENTRA ZA ODGOJ I OBRAZOVANJE  TOMISLAV ŠPOLJAR;JURJA KRIŽANIĆA 33;715;318;318;308;10;15;63;12;41;15;16;52;17;77
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;024;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;786;324;324;306;18;17;65;12;49;11;18;54;12;68
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;025;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;1086;484;484;461;23;27;86;18;66;13;22;61;31;137
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;026;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;790;394;394;378;16;14;75;15;48;12;26;77;28;83
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;027;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE VI. OSNOVNE ŠKOLE;DIMITRIJE DEMETRA 13;916;435;434;412;22;17;74;13;74;15;24;74;27;94
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;028;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;837;320;320;304;16;3;66;15;49;9;28;55;22;57
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;029;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;984;417;417;401;16;5;100;20;64;14;32;66;20;80
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;030;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;965;412;412;391;21;15;89;19;53;22;28;62;23;80
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;031;VARAŽDIN;BIRALIŠTE 4, PROSTORIJE IV. OSNOVNE ŠKOLE;M. A. RELJKOVIĆA 36;908;364;364;348;16;12;87;16;54;19;17;62;7;74
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;032;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;VLADIMIRA GORTANA 19;947;423;423;398;25;23;87;16;68;16;25;55;27;81
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;033;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;VLADIMIRA GORTANA 19;987;462;462;437;25;14;67;48;77;10;27;61;24;109
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;034;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;626;286;286;273;13;20;40;4;48;7;18;45;18;73
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;035;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;1016;422;422;407;15;18;58;13;63;14;35;75;22;109
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;036;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEČJEG VRTIĆA;DRAVSKA ULICA 1;777;327;327;317;10;8;51;13;47;22;32;60;18;66
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;037;VARAŽDIN;"BIRALIŠTE 1, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;803;411;411;396;15;15;74;15;61;4;31;77;22;97
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;038;VARAŽDIN;"BIRALIŠTE 2, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;888;409;409;390;19;24;68;17;68;8;27;63;23;92
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;039;VARAŽDIN;"BIRALIŠTE 3, PROSTORIJE VI. MJESNOG ODBORA ""BANFICA""";DRAVSKA 7 B;779;300;300;285;15;11;63;19;28;14;20;44;14;72
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;040;VARAŽDIN;PROSTORIJE III. OSNOVNE ŠKOLE;TRG IVANA PERKOVCA 35;725;305;305;284;21;6;94;12;37;4;21;43;20;47
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;041;VARAŽDIN;BIRALIŠTE 1,  PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIĆA 23;841;403;403;394;9;14;69;16;66;16;19;95;17;82
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;042;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DRUŠTVENOG DOMA;M. KOLARIĆA 23;641;305;305;291;14;9;64;8;52;8;18;52;25;55
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;043;HRAŠĆICA;PROSTORIJE MJESNOG ODBORA;SPORTSKI CENTAR HRAŠĆICA;1187;486;486;468;18;10;110;19;110;28;26;76;17;72
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;044;JALKOVEC;PROSTORIJE DRUŠTVENOG DOMA;BRAĆE RADIĆA 99;1065;380;380;363;17;8;109;10;41;16;14;85;17;63
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;045;POLJANA BIŠKUPEČKA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 56;396;197;197;192;5;0;81;2;56;6;10;9;9;19
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;046;ČRNEC BIŠKUPEČKI;PROSTORIJE DRUŠTVENOG DOMA;ČRNEC BIŠKUPEČKI 137;556;194;194;185;9;3;40;8;50;17;13;18;9;27
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;047;GOJANEC;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA;MATIJE GUPCA 24;512;263;263;252;11;3;75;9;51;33;14;26;13;28
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;048;KUĆAN MAROF;PROSTORIJE DRUŠTVENOG DOMA;MAROFSKA 2 A;1159;501;501;476;25;10;132;18;83;12;27;89;26;79
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;049;GORNJI KUĆAN;PROSTORIJE VATROGASNOG DOMA;GORNJI KUĆAN;901;385;385;373;12;6;88;7;81;24;18;55;21;73
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;050;DONJI KUĆAN;PROSTORIJE VATROGASNOG DOMA;DONJI KUĆAN;646;246;246;241;5;3;69;6;52;10;8;41;7;45
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;051;ZBELAVA;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA 119;401;172;172;165;7;4;65;4;15;3;3;23;16;32
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;001;VARAŽDINSKE TOPLICE;GRADSKA VIJEĆNICA;ULICA DR. FRANJE TUĐMANA 4 (RANIJA ADRESA: UL. MARŠALA TITA 4);357;186;186;178;8;2;15;5;67;10;10;44;7;18
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;002;VARAŽDINSKE TOPLICE;OSNOVNA ŠKOLA;ULICA GRADA VUKOVARA 1 (RANIJA ADRESA: UL. MARTINA PUŠTEKA);489;291;291;271;20;2;25;10;103;12;10;69;16;24
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;003;VARAŽDINSKE TOPLICE;SENZOMOTORNA DVORANA UZ DJEČJI VRTIĆ;ULICA BRAĆE RADIĆ 12;662;379;379;363;16;3;26;10;133;10;16;112;4;49
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;004;VRTLINOVEC;VATROGASNI DOM;VRTLINOVEC;339;142;142;136;6;4;16;6;24;4;1;66;1;14
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;005;ŠKARNIK;KUĆA IVICE RATKOVIĆA;ŠKARNIK 14;72;51;51;49;2;1;3;0;17;3;2;18;3;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;006;PIŠĆANOVEC;KUĆA RADOVANA KANEŠIĆA;PIŠĆANOVEC 16;52;32;32;29;3;0;8;3;4;0;2;9;2;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;007;MARTINKOVEC;KUĆA NIKOLE FOŠNJARA;MARTINKOVEC 1;86;44;44;42;2;1;6;0;12;5;1;11;0;6
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;008;JARKI HORVATIĆEVI;KUĆA ANTONIJE VUDRAG;JARKI HORVATIĆEVI 19;47;13;13;13;0;0;1;0;8;1;0;1;0;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;009;JALŠEVEC SVIBOVEČKI;VATROGASNI DOM;JALŠEVEC SVIBOVEČKI;247;156;156;148;8;0;8;4;29;5;4;84;2;12
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;010;SVIBOVEC;VATROGASNI DOM;SVIBOVEC;229;130;130;126;4;0;14;11;44;4;1;48;1;3
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;011;LESKOVEC TOPLIČKI;VATROGASNI DOM;LESKOVEC TOPLIČKI;397;247;247;236;11;3;14;6;83;10;11;88;8;13
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;012;DRENOVEC;VATROGASNI DOM;DRENOVEC;289;170;170;163;7;1;6;4;86;3;3;59;0;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;013;GORNJA POLJANA;VATROGASNI DOM;GORNJA POLJANA;209;126;126;119;7;0;11;1;37;2;2;61;5;0
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;014;DONJA POLJANA;VATROGASNI DOM;DONJA POLJANA;339;217;217;210;7;1;16;3;34;4;2;129;3;18
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;015;GREŠĆEVINA;VATROGASNI DOM;GREŠĆEVINA;147;93;93;87;6;2;10;1;19;12;1;39;1;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;016;TUHOVEC;DRUŠTVENI DOM;TUHOVEC;618;362;362;348;14;1;38;15;117;11;14;113;5;34
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;017;PETKOVEC TOPLIČKI;PODRUČNA ŠKOLA;PETKOVEC TOPLIČKI;208;132;132;122;10;0;42;7;26;6;3;27;3;8
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;018;ČRNILE;DRUŠTVENI DOM;ČRNILE;129;96;96;88;8;0;11;7;28;6;5;14;2;15
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;019;HRASTOVEC TOPLIČKI;KUĆA ROBERTA MRVČIĆA;HRASTOVEC TOPLIČKI 2A;189;137;137;131;6;0;8;1;61;4;2;47;0;8
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;020;ČURILOVEC;KUĆA STJEPANA DVEKARA;ČURILOVEC 22;108;63;63;62;1;0;7;7;27;6;1;8;1;5
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;021;LOVRENTOVEC;DRUŠTVENI DOM;LOVRENTOVEC;91;64;64;64;0;0;10;7;15;4;1;25;1;1
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;001;BEDNJA;OSNOVNA ŠKOLA;LJUDEVITA GAJA 15;783;475;475;457;18;3;7;2;337;10;7;74;3;14
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;002;PLEŠ;ŠPORTSKO REKREATIVNI CENTAR;PLEŠ BB;354;169;169;166;3;0;13;10;83;10;2;40;3;5
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;003;ŠAŠA;KUĆA MARICE KREŠ;ŠAŠA 49;157;77;77;76;1;2;2;4;39;5;2;16;0;6
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;004;ŠINKOVICA BEDNJANSKA;DRUŠTVENI DOM;ŠINKOVICA BEDNJANSKA BB;112;52;52;50;2;1;5;6;28;1;3;5;1;0
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;005;RINKOVEC;DRUŠTVENI DOM;RINKOVEC BB;312;139;139;137;2;4;10;6;59;20;4;22;5;7
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;006;BENKOVEC;KUĆA ANICE PRAVICA;BENKOVEC 33 D;158;91;91;87;4;4;5;7;43;3;1;17;1;6
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;007;PREBUKOVJE;KUĆA U VLASNIŠTVU OPĆINE BEDNJA;PREBUKOVJE 81;127;60;60;53;7;2;4;3;38;1;1;3;0;1
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;008;VRBNO;OSNOVNA ŠKOLA VRBNO;VRBNO 22A;466;269;269;256;13;5;8;9;152;16;6;49;0;11
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;009;CVETLIN;OSNOVNA ŠKOLA;CVETLIN BB;632;269;269;264;5;4;9;7;151;7;5;65;0;16
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;010;BREZOVA GORA;KUĆA ZDENKE GRABROVEC;BREZOVA GORA 11;76;37;37;34;3;0;2;2;28;1;0;1;0;0
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;011;JAMNO;ETNO KUĆA JAMNO;JAMNO BB;118;64;64;60;4;0;2;0;32;0;0;24;0;2
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;012;MELJAN;KUĆA GABRIJELA ŠTEFANCA;MELJAN 24;168;76;76;71;5;5;3;2;50;0;1;8;0;2
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;013;JEŽOVEC GORNJI;DRUŠTVENI DOM;JEŽOVEC BB;141;66;66;66;0;1;3;2;41;6;0;12;1;0
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;001;BERETINEC - 1;OPĆINSKA ZGRADA - VELIKA SALA, ULAZ RAVNO;BERETINEC;529;294;294;281;13;7;60;9;61;28;17;55;18;26
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;002;BERETINEC - 2;OPĆINSKA ZGRADA - VELIKA SALA, ULAZ DESNO;BERETINEC;362;196;196;192;4;3;33;8;57;14;11;31;12;23
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;003;ČREŠNJEVO - 1;PODRUČNA ŠKOLA - UČIONICA 1;ČREŠNJEVO;320;200;200;190;10;3;33;6;60;7;9;38;8;26
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;004;ČREŠNJEVO - 2;PODRUČNA ŠKOLA - UČIONICA 2;ČREŠNJEVO;334;188;188;183;5;10;26;12;61;9;7;31;7;20
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;005;LEDINEC;MJESNI ODBOR;LEDINEC, ŠKOLSKA BB;161;81;81;77;4;2;11;1;22;10;3;10;3;15
05;VARAŽDINSKA ŽUPANIJA;općina;BERETINEC;006;LEDINEC GORNJI;MJESNI ODBOR;LEDINEC GORNJI, ŠKOLSKA BB;158;112;112;107;5;5;26;5;20;4;0;33;3;11
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;001;BREZNICA;AMBULANTA;BREZNICA;331;167;167;161;6;1;10;8;70;9;5;22;1;35
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;002;BREZNICA;VATROGASNI DOM BRSTEC;BREZNICA;329;159;158;153;5;0;5;5;86;2;5;21;2;27
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;003;JAREK - JALES;DRUŠTVENI DOM JAREK;JAREK BISAŠKI;276;163;163;160;3;3;10;10;50;4;5;41;3;34
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;004;MIRKOVEC - PODVOREC;VATROGASNI DOM;MIRKOVEC BREZNIČKI;186;90;90;79;11;2;3;3;36;5;4;12;1;13
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;005;BISAG;DRUŠTVENI DOM;BISAG;310;177;177;174;3;2;7;7;103;10;2;25;1;17
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNICA;006;DRAŠKOVIĆ;VATROGASNI DOM;DRAŠKOVIĆ;326;177;177;172;5;2;4;10;111;8;5;17;0;15
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;001;BREZNIČKI HUM;OSNOVNA ŠKOLA BREZNIČKI HUM;BREZNIČKI HUM;409;238;238;229;9;1;12;7;101;16;3;65;3;21
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;002;BREZNIČKI HUM;VATROGASNI DOM BREZNIČKI HUM;BREZNIČKI HUM;263;143;143;137;6;3;6;1;83;13;6;19;2;4
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;003;ŠĆEPANJE;VATROGASNI DOM ŠĆEPANJE;ŠĆEPANJE;253;155;155;155;0;0;5;5;61;21;7;46;1;9
05;VARAŽDINSKA ŽUPANIJA;općina;BREZNIČKI HUM;004;RADEŠIĆ;VATROGASNI DOM RADEŠIĆ;RADEŠIĆ;169;105;105;99;6;2;2;4;56;8;1;19;0;7
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;001;GORNJE VRATNO;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA ULICA 136;923;424;424;408;16;7;35;15;67;84;23;88;9;80
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;002;RADOVEC;PROSTORIJE STARE ŠKOLE RADOVEC;TRG IVANA PAVLA II;260;142;142;139;3;1;8;0;37;31;5;22;1;34
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;003;CESTICA;PROSTORIJE KULTURNOG CENTRA OPĆINE CESTICA;DRAVSKA 1 A;628;349;349;329;20;1;21;14;61;91;3;43;3;92
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;004;OTOK VIRJE;PROSTORIJE DRUŠTVENOG DOMA;MOŠE PIJADE;177;89;89;86;3;2;6;0;12;22;3;7;1;33
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;005;VIRJE KRIŽOVLJANSKO;PROSTORIJE VATROGASNOG DOMA;ORMOŠKA ULICA;232;146;146;133;13;2;11;1;22;41;4;16;1;35
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;006;RADOVEC POLJE;PROSTORIJE DRUŠTVENOG DOMA;RADOVEC POLJE;119;79;79;76;3;2;4;3;15;21;2;11;3;15
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;007;BABINEC;PROSTORIJE VATROGASNOG DOMA DVD-A BABINEC;ŠKOLSKA ULICA;646;386;386;360;26;3;15;10;51;159;6;50;4;62
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;008;VELIKI LOVREČAN;PROSTORIJE VATROGASNOG DOMA DVD-A LOVREČAN-DUBRAVA;SVETOG LOVRE;498;264;264;253;11;1;12;0;40;81;7;54;2;56
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;009;DUBRAVA KRIŽOVLJANSKA;"PROSTORIJE ZGRADE ""MIHALIĆ""";DUBRAVA KRIŽOVLJANSKA;195;97;97;89;8;2;7;1;19;32;1;8;1;18
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;010;JARKI;PROSTORIJE MJESNOG ODBORA JARKI;JARKI;277;146;146;138;8;4;10;5;15;48;2;29;0;25
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;011;GRADIŠĆE;PROSTORIJE VATROGASNOG DOMA GRADIŠĆE;GRADIŠĆE;225;116;116;114;2;2;10;2;21;31;5;25;0;18
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;012;NATKRIŽOVLJAN;PROSTORIJE MJESNOG ODBORA NATKRIŽOVLJAN;NATKRIŽOVLJAN;233;152;152;148;4;0;9;2;55;29;2;15;3;33
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;013;GORNJE VRATNO - 2;PROSTORIJE PRIVATNE KUĆE MLADENA IGNACA;G.VRATNO, VARAŽDINSKA 408;141;99;99;98;1;2;1;4;2;85;0;0;0;4
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;001;DONJA VOĆA - 1;OSNOVNA ŠKOLA;DONJA VOĆA 19 D;426;232;232;227;5;2;23;4;54;23;12;87;3;19
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;002;SLIVARSKO;KUĆA NADE TELEBAR;SLIVARSKO 37 D;247;103;103;102;1;3;9;3;24;8;8;44;1;2
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;003;DONJA VOĆA - 2;KUĆA MARIJANA JUSTAMENTA;DONJA VOĆA 152 A;268;186;186;181;5;2;13;5;63;9;6;62;4;17
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;004;DONJA VOĆA - 3;KUĆA IVANKE DENAC;DONJA VOĆA 286 B;290;147;147;140;7;0;18;4;29;15;5;56;1;12
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;005;GORNJA VOĆA - 1;KUĆA ŽELJKA PREMUŽIĆA;GORNJA VOĆA 132A;267;123;123;120;3;1;7;5;35;15;7;42;1;7
05;VARAŽDINSKA ŽUPANIJA;općina;DONJA VOĆA;006;GORNJA VOĆA - 2;OSNOVNA ŠKOLA;GORNJA VOĆA BB;596;359;359;340;19;4;28;6;72;16;6;198;0;10
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;001;DONJI KNEGINEC;PROSTORIJE DRUŠTVENOG DOMA;ZAVRTNA BB;628;306;306;297;9;5;29;12;126;56;3;35;5;26
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;002;GORNJI KNEGINEC;PROSTORIJE OSNOVNE ŠKOLE KNEGINEC GORNJI - BIRALIŠTE 1;GORNJI KNEGINEC;698;314;314;298;16;7;28;8;99;41;10;48;6;51
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;003;GORNJI KNEGINEC;PROSTORIJE OSNOVNE ŠKOLE KNEGINEC GORNJI - BIRALIŠTE 2;GORNJI KNEGINEC;677;364;364;351;13;4;30;14;162;29;12;46;11;43
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;004;TURČIN;PROSTORIJE DRUŠTVENOG DOMA;TRG FRANJE TUĐMANA 1;785;346;346;336;10;6;42;11;142;17;18;45;13;42
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;005;VARAŽDIN BREG, MALI VRH;PROSTORIJE MJESNOG ODBORA VARAŽDINBREG II.;MALI VRH BB;586;227;227;215;12;3;20;12;85;24;10;28;7;26
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;006;VARAŽDIN BREG, HALIĆ;PROSTORIJE VATROGASNOG DOMA;HALIĆ BB;768;339;339;321;18;7;33;14;108;55;18;39;11;36
05;VARAŽDINSKA ŽUPANIJA;općina;GORNJI KNEGINEC;007;LUŽAN BIŠKUPEČKI;PROSTORIJE DRUŠTVENOG DOMA;ULICA KRALJA ZVONIMIRA BB;549;202;202;187;15;5;19;7;79;20;9;28;5;15
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;001;JALŽABET;DOM KULTURE JALŽABET;TRG BRAĆE RADIĆ 7;600;352;352;335;17;11;26;10;145;3;19;73;7;41
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;002;NOVAKOVEC;DRUŠTVENI DOM NOVAKOVEC;LUDBREŠKA 23;359;207;207;204;3;5;25;5;81;4;2;56;6;20
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;003;IMBRIOVEC;DRUŠTVENI DOM IMBRIOVEC;IMBRIOVEC 7 C;245;189;189;183;6;2;16;6;52;6;8;74;2;17
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;004;LEŠTAKOVEC;DRUŠTVENI DOM LEŠTAKOVEC;LEŠTAKOVEC 44 A;267;133;133;124;9;3;13;5;43;6;6;30;2;16
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;005;KELEMEN;DRUŠTVENI DOM KELEMEN;VARAŽDINSKA 51;424;256;256;248;8;6;33;5;106;8;7;45;5;33
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;006;KAŠTELANEC;DRUŠTVENI DOM KAŠTELANEC;PARTIZANSKA 1;341;162;162;157;5;2;12;5;46;7;1;71;2;11
05;VARAŽDINSKA ŽUPANIJA;općina;JALŽABET;007;JAKOPOVEC;DRUŠTVENI DOM JAKOPOVEC;VINOGRADSKA 9;397;165;165;156;9;0;13;15;30;5;6;71;1;15
05;VARAŽDINSKA ŽUPANIJA;općina;KLENOVNIK;001;KLENOVNIK - 1;OSNOVNA ŠKOLA - BIR 1;KLENOVNIK;478;306;306;298;8;4;24;6;58;92;11;53;2;48
