Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZDESLAV BENZON;ANTE FRANIÆ;IVICA GRKOVIÆ;NANSI IVANIŠEVIÆ;ŽELJKO KERUM;VICE MIHANOVIÆ;MARIJO POPOVIÆ;JAKOV PRKIÆ;IVICA PULJAK;BRANKA RAMLJAK;SINIŠA VUCO
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;128;SPLIT;O.Š. MARJAN;GAJEVA 1;885;390;390;378;12;13;27;13;7;66;71;2;31;115;32;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;129;SPLIT;O.Š. BRDA;BRDA 2;970;421;421;410;11;10;21;31;19;126;109;8;9;54;20;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;130;SPLIT;O.Š.BRDA;BRDA 2;1030;413;411;405;6;6;23;29;15;141;77;3;15;70;22;4
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;131;SPLIT;O.Š.BRDA;BRDA 2;933;460;460;447;13;5;21;24;24;142;109;7;17;63;33;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;132;SPLIT;O.Š.BRDA;BRDA 2;998;442;442;427;15;17;15;28;21;118;117;3;13;76;18;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;133;SPLIT;O.Š.BRDA;BRDA 2;991;419;419;413;6;8;32;16;7;121;84;0;13;87;39;6
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;134;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1637;707;707;691;16;6;18;20;17;100;350;49;13;94;23;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;135;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1146;488;488;481;7;3;13;20;11;67;259;11;16;52;28;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;136;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;869;364;364;360;4;8;11;12;7;55;191;8;5;40;20;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;137;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1106;498;498;487;11;6;9;25;13;71;247;21;7;64;23;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;138;SPLIT;OŠ MEJAŠI;MEJAŠI 20;1294;705;705;698;7;30;8;42;22;77;234;11;34;180;50;10
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;139;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1647;742;740;729;11;11;23;35;19;108;329;27;24;114;37;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;140;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1011;451;450;437;13;10;29;29;16;102;114;14;17;81;23;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;141;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;931;363;363;354;9;4;30;26;4;85;122;5;11;46;16;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;142;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1071;459;459;450;9;8;14;54;19;127;145;13;4;43;23;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;143;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÈEVA 30;1112;451;451;447;4;6;5;30;23;98;193;8;8;58;16;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;144;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÆEVA 34;1353;623;621;615;6;5;10;42;32;106;278;13;7;74;46;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;145;SPLIT;GRADSKI KOTAR ŠINE;JOSIPOVA 2;1538;573;572;564;8;6;14;84;26;91;202;9;13;80;34;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;146;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1624;670;670;657;13;7;31;28;30;131;205;19;11;149;39;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;147;SPLIT;GRADSKI KOTAR VISOKA;CESTA MIRA 3;1285;605;605;597;8;9;14;31;22;96;209;11;24;134;46;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;148;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1300;533;533;526;7;8;19;32;8;96;245;7;11;70;28;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;149;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1205;542;542;538;4;26;19;45;21;65;136;3;19;163;39;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;150;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1145;521;518;514;4;12;29;18;24;89;137;8;20;130;47;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;151;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1648;703;703;696;7;11;46;32;27;84;159;6;46;231;51;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;152;SPLIT;OŠ ŽNJAN-PAZDIGRAD;PAZDIGRADSKA 1;1292;585;584;570;14;7;23;30;29;82;153;9;35;159;43;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;153;SITNO DONJE;DRUŠTVENI DOM SITNO DONJE;HRVATSKIH DRAGOVOLJACA 48;238;147;147;143;4;1;3;6;6;23;88;2;1;11;2;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;154;SITNO GORNJE;DRUŠTVENI DOM SITNO GORNJE;SITNO GORNJE;219;127;127;127;0;1;8;2;2;27;60;0;0;19;5;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;155;SITNO GORNJE-SIROTKOVIÆI;DRUŠTVENI DOM SIROTKOVIÆI;SITNO GORNJE;134;82;82;79;3;2;0;1;8;16;34;1;0;13;3;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;156;KAMEN;MJESNI ODBOR KAMEN;SV.MIHOVILA 5;1578;649;649;635;14;11;22;30;24;101;305;11;9;84;35;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;157;SRINJINE;MJESNI ODBOR SRINJINE;SRINJINE;578;230;230;224;6;9;5;16;6;56;92;0;3;28;9;0
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;158;SRINJINE-TVRÈIÆI;MJESNI ODBOR TVRÈIÆI-SRINJINE;SRINJINE;426;188;188;187;1;3;8;4;21;38;71;3;3;28;7;1
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;159;STOBREÈ;O.Š.STOBREÈ;IVANKOVA 13;1478;576;576;561;15;8;12;40;21;104;236;8;14;96;20;2
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;160;STOBREÈ;O.Š.STOBREÈ;IVANKOVA 13;1196;512;512;501;11;5;25;36;20;108;156;5;8;102;33;3
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;161;ŽRNOVNICA;DOM KULTURE KOREŠNICA;KOREŠNICA;1307;512;512;506;6;14;32;26;17;65;160;10;17;118;42;5
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;162;ŽRNOVNICA;MJESNI ODBOR ŽRNOVNICA;ŽRNOVNICA;1475;573;573;557;16;42;31;38;21;97;173;8;20;93;27;7
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;163;SLATINE;MJESNI ODBOR SLATINE;DUBOKE GARME 2;1130;409;409;394;15;4;30;15;21;62;180;2;8;55;13;4
