Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZLATKO KOMADINA;GARI CAPPELLI
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;027;BELVEDER;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1001;317;317;303;14;188;115
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;028;KOZALA;"""DOM MLADIH"" RIJEKA";LAGINJINA 15;1004;419;419;392;27;234;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;029;KOZALA;"OŠ  ""KOZALA""";ANTE KOVAČIĆA 21;1172;485;485;464;21;292;172
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;030;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLČIĆEV TRG 2;1202;445;445;421;24;255;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;031;KOZALA;PROSTORIJE MJESNOG ODBORA;VOLČIĆEV TRG 2;948;365;365;343;22;217;126
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;032;BRAŠĆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;1041;405;405;391;14;199;192
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;033;BRAŠĆINE-PULAC;"OŠ ""BELVEDER""";KOZALA 41;931;295;295;281;14;128;153
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;034;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1190;381;381;363;18;199;164
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;035;DRENOVA;PROSTORIJE MJESNOG ODBORA;CVETKOV TRG 1;1242;381;381;369;12;206;163
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;036;DRENOVA;"""DVD"" DRENOVA";CVETKOV TRG 1;1363;480;480;456;24;221;235
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;037;DRENOVA;"PROSTORIJE ""LINGUAE"" ŠKOLE STRANIH JEZIKA";CVETKOV TRG 1;1203;400;400;385;15;206;179
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;038;DRENOVA;ZAVIČAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;861;263;263;253;10;133;120
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;039;DRENOVA;ZAVIČAJNI MUZEJ MO DRENOVA;DRENOVSKI PUT 138A;782;218;218;213;5;128;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;040;ŠKURINJE;"OŠ  ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1314;402;402;386;16;216;170
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;041;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1090;299;296;279;17;157;122
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;042;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1182;380;380;358;22;210;148
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;043;ŠKURINJE;"OŠ ""IVANA ZAJCA""";ŠKURINJSKA CESTA 7A;1106;322;321;312;9;180;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;044;ŠKURINJSKA DRAGA;GEODETSKI ZAVOD RIJEKA;FRANA KRESNIKA 33;959;311;311;300;11;178;122
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;045;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAČEVA DRAGA 13;1064;335;335;315;20;209;106
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;046;ŠKURINJSKA DRAGA;"OŠ ""ŠKURINJE""";MIHAČEVA DRAGA 13;862;207;207;201;6;116;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;047;ŠKURINJSKA DRAGA;PROSTORIJE MJESNOG ODBORA;POREČKA 94;807;267;267;259;8;156;103
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;048;OREHOVICA;PROSTORIJE MJESNOG ODBORA;KALINA 2;467;141;141;139;2;76;63
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;049;PAŠAC;"DOM ""PAŠAC""";BALDE FUĆKA 39;331;123;123;120;3;70;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;050;SVILNO;"DOM KULTURE ""SVILNO""";SVILNO 82;777;242;242;232;10;113;119
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;051;BRAJDA;PROSTORIJE MJESNOG ODBORA;POMERIO 26;899;295;295;283;12;167;116
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;052;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIĆA""";IVANA FILIPOVIĆA 2;978;306;306;296;10;181;115
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;053;BRAJDA;"EKONOMSKA ŠKOLA ""MIJE MIRKOVIĆA""";IVANA FILIPOVIĆA 2;858;303;303;284;19;161;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;054;DOLAC;PRVA RIJEČKA HRVATSKA GIMNAZIJA;FRANA KURELCA 1;583;203;203;186;17;102;84
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;055;LUKA;PROSTORIJE MJESNOG ODBORA;VERDIEVA 11;1136;432;432;412;20;205;207
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;056;ŠKOLJIĆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUČARIĆA 1;683;242;242;234;8;141;93
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;057;ŠKOLJIĆ;"OŠ ""NIKOLA TESLA""";TRG IVANA KLOBUČARIĆA 1;753;250;249;238;11;142;96
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;058;MLAKA;OŠ PODMURVICE;PODMURVICE 6;1212;385;384;374;10;219;155
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;059;MLAKA;SREDNJA ŠKOLA ZA ELEKTROTEHNIKU I RAČUNALSTVO;ZVONIMIROVA 12;1066;351;351;334;17;207;127
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;060;MLAKA;PROSTORIJE MJESNOG ODBORA;GIUSEPPEA DUELLE 2B;951;359;359;335;24;207;128
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;061;BANDEROVO;MEDICINSKI FAKULTET;BRAĆE BRANCHETTA 20;796;234;234;230;4;149;81
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;062;BANDEROVO;PROSTORIJE MJESNOG ODBORA;RUDOLFA TOMŠIĆA 15;1037;379;378;367;11;198;169
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;063;POTOK;PROSTORIJE MJESNOG ODBORA;MILANA BUTKOVIĆA 2;1152;497;497;475;22;256;219
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;064;PODMURVICE;PRAVNI FAKULTET;HAHLIĆ 6;1364;460;460;433;27;253;180
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;065;PODMURVICE;PRAVNI FAKULTET;HAHLIĆ 6;1233;405;404;386;18;236;150
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;066;PODMURVICE;PROSTORIJE MJESNOG ODBORA;DUBROVAČKA 2;1099;361;361;352;9;203;149
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;067;PODMURVICE;"DJEČJI VRTIĆ ""PODMURVICE""";CAVTATSKA 4;1126;364;364;344;20;193;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;068;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ČURBEGA 18;975;288;288;277;11;172;105
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;069;SVETI NIKOLA;"OŠ ""SAN NICOLO""";MIRKA ČURBEGA 18;1093;358;358;342;16;204;138
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;070;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1031;333;333;317;16;205;112
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;071;SVETI NIKOLA;PROSTORIJE MJESNOG ODBORA;ZAMETSKA 6;1057;347;346;339;7;221;118
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;072;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;1294;455;455;425;30;252;173
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;073;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;1222;426;425;414;11;237;177
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;074;SVETI NIKOLA;"DJEČJI VRTIĆ ""KRNJEVO""";KARASOVA 4;859;313;313;300;13;177;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;075;TURNIĆ;"OŠ ""TURNIĆ""";FRANJE ČANDEKA 20;840;244;244;231;13;150;81
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;076;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;870;255;255;250;5;165;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;077;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;927;251;251;247;4;143;104
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;078;TURNIĆ;PROSTORIJE MJESNOG ODBORA;FRANJE ČANDEKA 36B;904;233;233;222;11;135;87
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;079;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAČIĆA 14;777;357;357;331;26;179;152
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;080;BULEVARD;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE IVANA GORANA KOVAČIĆA 14;895;357;356;337;19;180;157
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;081;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIČIĆEVA 50;1205;470;470;451;19;256;195
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;082;KRIMEJA;PROSTORIJE MJESNOG ODBORA;KUMIČIĆEVA 50;1255;459;457;431;26;273;158
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;083;CENTAR - SUŠAK;PROSTORIJE MJESNOG ODBORA;ŠETALIŠTE ANDRIJE KAČIĆA MIOŠIĆA 8A;606;229;229;216;13;142;74
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;084;CENTAR - SUŠAK;"OŠ ""CENTAR""";PODHUMSKIH ŽRTAVA 5;843;294;293;277;16;156;121
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;085;PEĆINE;PROSTORIJE MJESNOG ODBORA;JANKA POLIĆA KAMOVA 73A;1204;496;496;477;19;287;190
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;086;PEĆINE;"OŠ ""PEĆINE""";ŠETALIŠTE TRINAESTE DIVIZIJE 25;759;329;329;317;12;170;147
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;087;PODVEŽICA;DOM UČENIKA SUŠAK;DRAGE GERVAISA 34;1062;391;391;378;13;223;155
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;088;PODVEŽICA;PROSTORIJE MJESNOG ODBORA;KVATERNIKOVA 58B;1237;495;493;479;14;268;211
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;089;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1298;409;409;397;12;227;170
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;090;PODVEŽICA;"OŠ ""VEŽICA""";KVATERNIKOVA 49;1160;410;410;389;21;196;193
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;091;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;951;374;374;348;26;170;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;092;TRSAT;"OŠ ""TRSAT""";SLAVKA KRAUTZEKA 23;974;378;378;357;21;171;186
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;093;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1166;540;540;519;21;339;180
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;094;VOJAK;"OŠ ""VLADIMIR GORTAN""";PRILAZ VLADIMIRA GORTANA 2;1111;442;442;425;17;227;198
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;095;GORNJA VEŽICA;HRVATSKI DOM VEŽICA;ZDRAVKA KUČIĆA 1;1173;408;408;390;18;239;151
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;096;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;1038;390;390;367;23;201;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;097;GORNJA VEŽICA;"OŠ ""GORNJA VEŽICA""";GORNJA VEŽICA 31;990;346;346;335;11;206;129
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;098;GORNJA VEŽICA;"DJEČJI VRTIĆ ""MORČIĆ""";BRAĆE STIPČIĆ 32;1024;384;384;366;18;214;152
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;099;GORNJA VEŽICA;"DJEČJI VRTIĆ ""MORČIĆ""";BRAĆE STIPČIĆ 32;1023;380;380;365;15;222;143
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;100;DRAGA;HRVATSKI DOM DRAGA;BRIG 24;1243;344;344;328;16;159;169
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;101;SVETI KUZAM;"HRVATSKI DOM ""SVETI KUZAM""";SVETI KUZAM 19;189;56;56;51;5;32;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;001;BIRAČKO MJESTO BR. 1;DOM KULTURE JABLAN;ULICA JABLAN;157;85;85;85;0;33;52
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;002;BIRAČKO MJESTO BR. 2;PODRUČNA ŠKOLA SENJSKO;VRBOVSKO, SENJSKO 108;387;229;229;218;11;94;124
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;003;BIRAČKO MJESTO BR. 3;ZGRADA ŠUMARIJE VRBOVSKO;VRBOVSKO, IVANA GORANA KOVAČIĆA 19;508;238;238;226;12;125;101
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;004;BIRAČKO MJESTO BR. 4;PROSTORIJE OSNOVNE ŠKOLE IVANA GORANA KOVAČIĆA U VRBOVSKOM;VRBOVSKO, KRALJA TOMISLAVA 18;703;393;393;380;13;202;178
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;005;BIRAČKO MJESTO BR. 5;VATROGASNI DOM BLAŽEVCI;BLAŽEVCI;117;71;71;71;0;26;45
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;006;BIRAČKO MJESTO BR. 6;DOM KULTURE LUKOVDOL;LUKOVDOL;234;103;103;98;5;39;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;007;BIRAČKO MJESTO BR. 7;PODRUČNA ŠKOLA SEVERIN NA KUPI;SEVERIN NA KUPI 4;398;193;193;184;9;91;93
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;008;BIRAČKO MJESTO BR. 8;PODRUČNA ŠKOLA VELIKI JADRČ;VELIKI JADRČ;161;93;93;86;7;42;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;009;BIRAČKO MJESTO BR. 9;PODRUČNA ŠKOLA GOMIRJE;GOMIRJE, ULICA JOVE MAMULE;544;216;216;210;6;179;31
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;010;BIRAČKO MJESTO BR. 10;DOM KULTURE  /DVORANA TZK/ MORAVICE;ULICA MARKA VUČKOVIĆA 2 MORAVICE;664;296;296;289;7;243;46
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;011;BIRAČKO MJESTO BR. 11;PODRUČNA ŠKOLA MORAVICE;MORAVICE, ULICA DOKMANOVIĆI;293;106;106;105;1;97;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;BAŠKA;001;BAŠKA;PROSTORIJA VJENČAONE - SOBA BR.1;BAŠKA, ZVONIMIROVA 114;653;170;170;159;11;94;65
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;BAŠKA;002;BAŠKA;PROSTORIJA VJENČAONE - SOBA BR.2;BAŠKA, ZVONIMIROVA 114;426;92;92;92;0;45;47
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;BAŠKA;003;JURANDVOR;"PROSTORIJA NARODNOG DOMA ""JURANDVOR""";JURANDVOR, JURANDVOR BB;438;90;90;87;3;44;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;BAŠKA;004;DRAGA BAŠĆANSKA;"PROST.ZADR.DOMA""DRAGA BAŠĆANSKA""";DRAGA BAŠĆANSKA 239;304;67;67;67;0;41;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;BROD MORAVICE;001;BIRAČKO MJESTO BR. 1;DOM KULTURE BROD MORAVICE;BROD MORAVICE, S.RADIĆA 1;651;181;181;176;5;102;74
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;001;ČAVLE;DOM ČAVLE (VIJEĆNICA);ČAVJA 17;1251;220;220;210;10;132;78
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;002;CERNIK;ZGRADA ČITAONICE;TRG ANTIFAŠISTIČKIH BORACA 1;1180;223;223;214;9;129;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;003;MAVRINCI;SPORTSKA DVORANA MAVRINCI;MAVRINCI 2;912;165;165;158;7;88;70
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;004;BUZDOHANJ;"""BAJČEVO SELO"" - PROSTORIJE BK ""BAJCI""";GRIŽA 16;561;111;111;107;4;57;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;005;BUZDOHANJ;BOĆARSKA DVORANA HRASTENICA;HRASTENICA 25;814;191;191;189;2;97;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;006;PODČUDNIČ;KRENOVAC;KRENOVAC 2;1117;219;219;216;3;107;109
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;ČAVLE;007;GROBNIK;ZGRADA ČITAONICE;HARTERAŠKA 1;380;85;85;82;3;56;26
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;001;DOBRINJ;DRUŠTVENI DOM;DOBRINJ;116;33;33;31;2;19;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;002;SUŽAN;DRUŠTVENI DOM;SUŽAN;76;32;32;30;2;21;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;003;ŠILO;ZGRADA AMBULANTE ŠILO;ŠILO;465;115;115;113;2;73;40
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;004;POLJE;DRUŠTVENI DOM;POLJE;320;65;65;65;0;51;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;005;GABONJIN;DRUŠTVENI DOM;GABONJIN;191;42;42;38;4;22;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;006;KRAS;DRUŠTVENI DOM;KRAS;254;65;65;63;2;41;22
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;007;ČIŽIĆI;DRUŠTVENI DOM;ČIŽIČI;198;48;48;46;2;26;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;008;SV. VID;VATROGASNI DOM;SVETI VID;141;35;35;34;1;24;10
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;009;HLAPA;DRUŠTVENI DOM;HLAPA;120;18;18;17;1;10;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;010;KLANICE;DRUŠTVENE PROSTORIJE;KLANICE;95;39;39;39;0;27;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;011;KLIMNO;DRUŠTVENI DOM;KLIMNO;233;42;42;42;0;28;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;012;RASOPASNO;DRUŠTVENE PROSTORIJE;RASOPASNO;135;36;36;34;2;23;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;DOBRINJ;013;SV. IVAN;DRUŠTVENE PROSTORIJE;SV. IVAN;45;20;20;20;0;15;5
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;FUŽINE;001;BIRAČKO MJESTO BR. 1;ZGRADA ZADRUŽNOG DOMA U FUŽINAMA;FUŽINE, DR. F. RAČKOG 19;630;140;140;136;4;85;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;FUŽINE;002;BIRAČKO MJESTO BR. 2;VATROGASNI DOM U VRATIMA;VRATA, VRATA 48;332;59;59;59;0;44;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;FUŽINE;003;BIRAČKO MJESTO BR. 3;DOM KULTURE U LIČU;LIČ, VICIĆEVA 31;464;93;93;93;0;49;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;001;ZORETIĆI;"PROSTORIJA BK ""ZORETIĆI""";ZORETIĆI 8A;354;99;99;97;2;58;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;002;RATULJE;"U PROSTORIJI ""STARE ŠKOLE""";RATULJE 5;349;92;92;90;2;59;31
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;003;JELENJE;"U PROSTORIJI LOVAČKOG DRUŠTVA ""JELEN""";JELENJE 26;356;111;111;110;1;75;35
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;004;LUKEŽI;"U PROSTORIJI ""ČITAONICE""";LUKEŽI 81;174;40;40;38;2;22;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;005;DRAŽICE;"U PROSTORIJI ""ČITAONICE""";OKRŠAJ 18;837;220;220;216;4;160;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;006;DRAŽICE;"U PROSTORIJI ""DOMA KULTURE""";DRAŽIČKIH BORACA 64;974;210;210;204;6;112;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;007;PODKILAVAC;"U PROSTORIJI ""ČITAONICE""";PODKILAVAC 86;296;79;79;78;1;54;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;008;PODHUM;"U PODHUMU I, U PROSTORIJI ""BOĆARSKOG KLUBA""";PODHUM 125;695;115;115;115;0;59;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;JELENJE;009;PODHUM;"U PODHUMU II, U PROSTORIJI NA I. KATU IZNAD DISKONTA ""DIANO""";PODHUM 340A;523;114;114;114;0;71;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;001;KLANA;"OSNOVNA ŠKOLA ""KLANA""";ZATREP 5;510;161;161;159;2;113;46
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;002;KLANA;VIJEĆNICA OPĆINE KLANA (NA KATU);KLANA 33;470;121;121;117;4;68;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;003;STUDENA;SALA STUDENA;STUDENA  BB;304;97;97;96;1;57;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;004;ŠKALNICA;VATROGASNI DOM ŠKALNICA;ŠKALNICA 2B;182;50;50;50;0;38;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;005;LISAC;DRUŠTVENI DOM LISAC;LISAC BB;100;30;30;30;0;23;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KLANA;006;BREZA;STARA ŠKOLA BREZA;BREZA 8;44;17;17;15;2;10;5
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KOSTRENA;001;KOSTRENA;NARODNA ČITAONICA KOSTRENA;SVETA LUCIJA 14;1286;647;647;615;32;292;323
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KOSTRENA;002;KOSTRENA;SPORTSKA DVORANA KOSTRENA;ŽUKNICA 1B;1349;646;646;605;41;275;330
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;KOSTRENA;003;KOSTRENA;NARODNA ČITAONICA SV. BARBARA;TRG SVETE BARBARE 2;1355;642;642;612;30;326;286
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOKVE;001;BIRAČKO MJESTO BR. 1;ZGRADA OPĆINE LOKVE - OPĆINSKA VIJEĆNICA;LOKVE, ŠETALIŠTE GOLUBINJAK 6;803;346;346;337;9;171;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOPAR;001;LOPAR;PODRUČNA ŠKOLA LOPAR;LOPAR 289;1117;880;880;849;31;463;386
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;001;LOVRAN;"PROSTORIJE  ""OPĆINE LOVRAN - VIJEĆNICA""";ŠETALIŠTE MARŠALA TITA 41/I;307;131;131;123;8;80;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;002;LOVRAN;"PROSTORIJE OŠ ""VIKTOR CAR EMIN""";UL.9.RUJNA 4;860;434;434;416;18;311;105
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;003;LOVRAN;"PROSTORIJE HOTELA ""LOVRAN""";ŠETALIŠTE MARŠALA TITA 19;765;372;372;358;14;245;113
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;004;LOVRAN;PROSTORIJE ZAJEDNICE TALIJANA LOVRAN;ŠET.M.TITA 36;643;254;254;240;14;172;68
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;005;MEDVEJA;PROSTORIJE TUR.INF.CENTRA MJESTA MEDVEJA;MEDVEJA 6A;130;81;81;80;1;44;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;LOVRAN;006;LIGANJ;PROSTORIJE DRUŠTVENOG DOMA LIGANJ;LIGANJ 42;746;357;357;341;16;269;72
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MALINSKA-DUBAŠNICA;001;MALINSKA-DUBAŠNICA;PROST. DRUŠTV.DOMA MATE JUSTINIĆ;SV. VID MIHOLJICE 44;373;53;53;51;2;21;30
