Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS;MARKO MARUŠIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;011;VELIKI ZDENCI;ZGRADA U PARKU VELIKI ZDENCI;TRG KRALJA TOMISLAVA 3;439;178;178;172;6;66;106
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;012;MALI ZDENCI;MJESNI DOM U MALIM ZDENCIMA;ANTUNA MIHANOVIĆA 77;354;162;162;159;3;47;112
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;013;ORLOVAC ZDENAČKI;MJESNI DOM U ORLOVCU ZDENAČKOM;ORLOVAC ZDENAČKI 70A;223;89;89;89;0;30;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;014;GRBAVAC;MJESNI DOM U GRBAVCU;GRBAVAC 76;173;115;115;112;3;61;51
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;015;VELIKA BARNA;MJESNI DOM U VELIKOJ BARNI;KRALJA TOMISLAVA 1A;282;113;113;112;1;50;62
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;016;LONČARICA;MJESNI DOM U LONČARICI;LONČARICA 50;101;52;52;52;0;23;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;GRUBIŠNO POLJE;017;DAPČEVAČKI BRĐANI;MJESNI DOM U DAPČEVAČKIM BRĐANIMA;DAPČEVAČKI BRĐANI 7;114;60;60;60;0;15;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;001;BEREK;MJESNI DOM BEREK;BEREK 77 A;345;112;112;111;1;51;60
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;002;POTOK;MJESNI DOM POTOK;POTOK 15;42;18;18;17;1;7;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;003;RUŠKOVAC;MJESNI DOM RUŠKOVAC;RUŠKOVAC 38;74;36;36;36;0;14;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;004;ŠIMLJANICA;MJESNI DOM ŠIMLJANICA;ŠIMLJANICA 53;85;27;27;27;0;16;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;005;ŠIMLJANA;MJESNI DOM ŠIMLJANA;ŠIMLJANA 30;71;26;26;25;1;12;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;006;PODGARIĆ;MJESNI DOM PODGARIĆ;PODGARIĆ 24 B;33;14;14;14;0;14;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;007;NOVO SELO GAREŠNIČKO;MJESNI DOM NOVO SELO GAREŠNIČKO;NOVO SELO GAREŠNIČKO 28 A;33;22;22;22;0;17;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;008;GORNJA GAREŠNICA;MJESNI DOM GORNJA GAREŠNICA;GORNJA GAREŠNICA 36;118;52;52;52;0;28;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;009;ŠIMLJANIK;MJESNI DOM ŠIMLJANIK;ŠIMLJANIK 22;24;13;13;13;0;7;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;010;KOSTANJEVAC;MJESNI DOM KOSTANJEVAC;KOSTANJEVAC 93;92;21;21;21;0;11;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;011;BEGOVAČA;MJESNI DOM BEGOVAČA;BEGOVAČA 27;24;10;10;10;0;9;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;012;OŠTRI ZID;MJESNI DOM OŠTRI ZID;OŠTRI ZID 37 A;80;44;44;43;1;33;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;BEREK;013;KRIVAJA;MJESNI DOM KRIVAJA;KRIVAJA 18;33;20;20;20;0;14;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;001;GORNJI DEŽANOVAC;VATROGASNI DOM;GORNJI DEŽANOVAC 46;243;74;74;74;0;15;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;002;DONJI DEŽANOVAC;DRUŠTVENI DOM;DONJI DEŽANOVAC 285;453;146;146;141;5;67;74
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;003;IVANOVO POLJE;VATROGASNI DOM;IVANOVO POLJE 53;167;53;53;52;1;15;37
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;004;KREŠTELOVAC;DOM KULTURE;KREŠTELOVAC 65;86;29;29;29;0;19;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;005;SOKOLOVAC;VATROGASNI DOM;BRAĆE RADIĆA 14;176;56;56;53;3;25;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;006;BLAGORODOVAC;DOM KULTURE;BANA JELAČIĆA BB;169;32;32;32;0;14;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;007;GOVEĐE POLJE;VATROGASNI DOM;GOVEĐE POLJE 31;77;34;34;34;0;31;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;008;TROJEGLAVA;DOM KULTURE;HRVATSKIH VELIKANA 1;204;46;46;46;0;12;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;009;GORNJI SREĐANI;VATROGASNI DOM;GORNJI SREĐANI 70;184;35;35;34;1;13;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;010;DONJI SREĐANI;ČEŠKI DOM;DONJI SREĐANI 22;158;35;35;35;0;20;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;011;GOLUBINJAK;ČEŠKI DOM;GOLUBINJAK 62;109;47;47;46;1;11;35
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;001;BATINJANI;DOM U BATINJANIMA;BATINJANI 70;227;101;101;98;3;41;57
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;002;VUKOVJE;DOM U VUKOVJU;VUKOVJE 33;131;83;83;78;5;25;53
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;003;BOROVA KOSA;DOM U BOROVOJ KOSI;BOROVA KOSA 41;55;41;41;41;0;26;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;004;MASLENJAČA;DOM U MALOJ MASLENJAČI;MALA MASLENJAČA 2D;222;143;143;143;0;66;77
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;005;VELIKI BASTAJI;OSNOVNA ŠKOLA U VELIKIM BASTAJIMA;VELIKI BASTAJI 82;506;437;437;430;7;211;219
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;006;VELIKI MILETINAC;DOM U VELIKOM MILETINCU;VELIKI MILETINAC 38;58;53;53;53;0;25;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;007;ĐULOVAC;HRVATSKI DOM U ĐULOVCU- LIJEVO;FRANKOPANSKA 2;690;528;528;512;16;270;242
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;008;ĐULOVAC;HRVATSKI DOM U ĐULOVCU-DESNO;FRANKOPANSKA 2;350;228;228;224;4;165;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;009;MALA BABINA GORA;DOM U MALOJ BABINOJ GORI;MALA BABINA GORA 16;73;51;51;51;0;32;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;010;KORENIČANI;DOM U KORENIČANIMA;KORENIČANI BB;178;147;147;145;2;78;67
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;001;HERCEGOVAC;HRVATSKI SELJAČKI DOM;MOSLAVAČKA 154;527;199;199;197;2;47;150
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;002;HERCEGOVAC;MASARYKOV DOM;MOSLAVAČKA ULICA 142;336;105;105;103;2;29;74
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;003;VELIKA TRNAVA;MJESNI DOM;VELIKA TRNAVA 50;243;71;71;69;2;9;60
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;004;LADISLAV;MJESNI DOM;LADISLAV 114;286;76;76;75;1;31;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;005;ILOVSKI KLOKOČEVAC;MJESNI DOM;ILOVSKI KLOKOČEVAC 43;117;22;22;21;1;8;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;HERCEGOVAC;006;PALEŠNIK;MJESNI DOM;PALEŠNIK 105;402;127;127;124;3;30;94
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;001;IVANSKA;DRUŠTVENI DOM  IVANSKA;IVANSKA, SLAVKA KOLARA 1;577;271;271;268;3;204;64
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;002;KOLAREVO SELO;DRUŠTVENI DOM;KOLAREVO SELO 71;105;25;25;25;0;21;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;003;UTISKANI;HRVATSKI SELJAČKI DOM;UTISKANI 31 A;139;80;80;78;2;60;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;004;ĐURĐIC;DRUŠTVENI DOM;ĐURĐIC 33;157;60;60;60;0;39;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;005;KRIŽIC;DRUŠTVENI DOM;KRIŽIC 84;134;81;81;79;2;67;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;006;RASTOVAC;DOM RASTOVAC;RASTOVAC 28;25;15;15;15;0;8;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;007;SAMARICA;VATROGASNI DOM;SAMARICA 60A;118;84;84;81;3;69;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;008;DONJA PETRIČKA;VATROGASNI DOM;DONJA PETRIČKA 60;120;72;72;71;1;62;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;009;GORNJA PETRIČKA;VATROGASNI DOM;GORNJA PETRIČKA 30;86;53;53;52;1;45;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;010;BABINAC;DRUŠTVENI DOM;BABINAC 50;113;72;72;71;1;63;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;011;SRIJEDSKA;VATROGASNI DOM;SRIJEDSKA 47;228;80;80;79;1;64;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;012;STARA PLOŠĆICA;DRUŠTVENI DOM;STARA PLOŠĆICA 72;200;101;101;95;6;35;60
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;013;PALJEVINE;DRUŠTVENI DOM;PALJEVINE 9;184;72;72;72;0;42;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;001;KAPELA;VATROGASNI DOM;BILOGORSKA 56;362;110;110;109;1;68;41
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;002;BOTINAC;VATROGASNI DOM;BOTINAC 29;84;50;50;50;0;22;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;003;LIPOVO BRDO;VATROGASNI DOM;LIPOVO BRDO 38;88;32;32;32;0;14;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;004;SREDNJA DIKLENICA;DRUŠTVENI DOM;SREDNJA DIKLENICA 23;49;27;27;27;0;19;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;005;NOVI SKUCANI;KUĆA-OPĆINA KAPELA;NOVI SKUCANI 39;146;43;43;43;0;12;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;006;STARA DIKLENICA;DRUŠTVENI DOM;STARA DIKLENICA 13;39;27;27;27;0;25;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;007;KOBASIČARI;VATROGASNI DOM;KOBASIČARI 136;167;53;53;53;0;39;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;008;STANIĆI;VATROGASNI DOM;STANIĆI 39;93;33;33;33;0;23;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;009;STARI SKUCANI;DRUŠTVENI DOM;STARI SKUCANI 81;106;55;55;55;0;25;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;010;STARČEVLJANI;VATROGASNI DOM;STARČEVLJANI 55;123;59;59;57;2;38;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;011;NOVA DIKLENICA;VATROGASNI DOM;NOVA DIKLENICA 15;113;49;49;49;0;35;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;012;JABUČETA;VATROGASNI DOM;JABUČETA 40A;39;14;14;14;0;9;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;013;GORNJE ZDELICE;VATROGASNI DOM;GORNJE ZDELICE 52;114;34;34;34;0;30;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;014;GORNJI MOSTI;VATROGASNI DOM;GORNJI MOSTI 38;46;30;30;30;0;28;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;015;SREDNJI MOSTI;VATROGASNI DOM;SREDNJI MOSTI 31A;55;27;27;27;0;23;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;016;DONJI MOSTI;VATROGASNI DOM;DONJI MOSTI 57;147;56;56;56;0;33;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;017;POLJANČANI;VATROGASNI DOM;POLJANČANI 22;53;22;22;22;0;15;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;018;GORNJE SREDICE;VATROGASNI DOM;GORNJE SREDICE 76;105;46;46;46;0;36;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;019;ŠIPTARI;MLJEKARSKA KUĆICA U ŠIPTARIMA;ŠIPTARI 11A;60;18;18;18;0;11;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;020;PAVLIN KLOŠTAR;VATROGASNI DOM;PAVLIN KLOŠTAR 44;106;42;42;42;0;22;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;021;VISOVI;KONTEJNER MJESNOG ODBORA VISOVI;VISOVI 33 A;82;23;23;23;0;12;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;022;TVRDA REKA;DRUŠTVENI DOM;TVRDA REKA 22A;19;14;14;14;0;11;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;023;PRNJAVOR;PRIVATNA KUĆA-KUŠTER DALIBOR;PRNJAVOR 20;19;14;14;14;0;11;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KAPELA;024;BABOTOK;VATROGASNI DOM;BABOTOK 21;84;47;47;43;4;30;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;001;KONČANICA;ČEŠKI DOM KONČANICA;KONČANICA 260;653;226;226;220;6;116;104
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;002;OTKOPI;MJESNI DOM;OTKOPI 8;51;28;28;28;0;19;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;003;DARUVARSKI BRESTOVAC;ČEŠKI DOM DARUVARSKI BRESTOVAC;DARUVARSKI BRESTOVAC 185;592;157;157;157;0;79;78
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;004;ŠUPLJA LIPA;VATROGASNI DOM;ŠUPLJA LIPA 28;143;65;65;63;2;13;50
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;005;DIOŠ;PODRUČNA ŠKOLA DIOŠ;DIOŠ 68/A;118;65;65;62;3;35;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;006;STRAŽANAC;DOM  KULTURE;STRAŽANAC 66;104;26;26;26;0;5;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;KONČANICA;007;IMSOVAC;DOM  KULTURE;IMSOVAC 67;142;27;27;27;0;22;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;001;NOVA RAČA;MJESNI DOM;TRG S. RADIĆA 9;381;145;145;144;1;98;46
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;002;MEĐURAČA;MJESNI DOM;MEĐURAČA 204A;256;72;72;69;3;25;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;003;DAUTAN;MJESNI DOM;DAUTAN 98;225;86;86;85;1;40;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;004;NEVINAC;MJESNI DOM;NEVINAC 32;156;46;46;46;0;22;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;005;STARA RAČA;MJESNI DOM;STARA RAČA 74;241;82;82;82;0;56;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;006;TOCILJEVAC;MJESNI DOM;TOCILJEVAC 7;67;24;24;24;0;16;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;007;SASOVAC;OSNOVNA ŠKOLA;SASOVAC 25;165;56;56;56;0;36;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;008;ORLOVAC;MJESNI DOM;ORLOVAC 65A;118;39;39;39;0;23;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;009;SLOVINSKA KOVAČICA;MJESNI DOM;SLOVINSKA KOVAČICA 67;105;63;63;62;1;46;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;010;KOZAREVAC RAČANSKI;MJESNI DOM;KOZAREVAC RAČANSKI 44;84;45;45;45;0;29;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;011;BULINAC;MJESNI DOM;BULINAC 90;262;77;77;76;1;49;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;012;BEDENIK;MJESNI DOM;BEDENIK 125;355;84;84;83;1;52;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;NOVA RAČA;013;DRLJANOVAC;MJESNI DOM;DRLJANOVAC 34;186;64;64;63;1;27;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;001;ROVIŠĆE;DRUŠTVENI DOM (VELIKA DVORANA);TRG HRVATSKIH BRANITELJA 2;963;342;341;335;6;101;234
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;002;PREDAVAC;DRUŠTVENI DOM PREDAVAC;TRG HRVATSKIH GRANIČARA 25;989;356;356;348;8;57;291
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;003;PREKOBRDO;DRUŠTVENI DOM;PREKOBRDO 100;96;34;34;34;0;7;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;004;DOMANKUŠ;DRUŠTVENI DOM;DOMANKUŠ 44;195;95;95;95;0;9;86
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;005;GORNJE ROVIŠĆE;DRUŠTVENI DOM;GORNJE ROVIŠĆE 44;72;19;19;19;0;6;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;006;KAKINAC;VATROGASNI DOM;KAKINAC 32;47;33;33;33;0;2;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;007;KOVAČEVAC;VATROGASNI DOM;KOVAČEVAC 29;143;28;28;28;0;10;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;008;PODGORCI;DRUŠTVENI DOM;PODGORCI 68;328;141;141;138;3;26;112
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;009;TUK;VATROGASNI DOM;TUK 69;288;79;79;77;2;18;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;010;ŽABJAK;VATROGASNI DOM;ŽABJAK 40;348;103;103;102;1;22;80
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;011;KRALJEVAC;VATROGASNI DOM;KRALJEVAC 292;335;95;95;93;2;15;78
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;012;LIPOVČANI;PRIVATNA KUĆA JOSIPA TUNIĆA;LIPOVČANI 14;38;27;27;27;0;3;24
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SEVERIN;001;SEVERIN;ZGRADA OPĆINE SEVERIN;SEVERIN 137;267;164;164;160;4;71;89
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SEVERIN;002;SEVERIN;PODRUČNA ŠKOLA U SEVERINU;SEVERIN 235;160;121;121;118;3;53;65
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SEVERIN;003;OROVAC;VATROGASNI DOM U OROVCU;OROVAC 49;258;188;188;183;5;102;81
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;001;SIRAČ;OPĆINA SIRAČ - UDRUGA UMIROVLJENIKA;STJEPANA RADIĆA 120;665;232;232;232;0;48;184
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;002;SIRAČ;OSNOVNA ŠKOLA U SIRAČU;VLADIMIRA  NAZORA 10;521;220;220;217;3;40;177
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;003;ŠIBOVAC;OSNOVNA ŠKOLA U ŠIBOVCU;ŠIBOVAC 16;186;53;53;51;2;15;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;004;MILJANOVAC;DOM KULTURE MILJANOVAC;MILJANOVAC 55;132;43;43;43;0;13;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;005;KIP;OSNOVNA ŠKOLA;KIP 40;132;55;55;54;1;5;49
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;006;PAKRANI;DOM KULTURE U PAKRANIMA;PAKRANI 54;104;22;22;22;0;8;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;SIRAČ;007;BIJELA;DOM KULTURE BIJELA;BIJELA 26;83;20;20;20;0;11;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;001;LASOVAC;DRUŠTVENI DOM;LASOVAC 122;371;244;244;236;8;81;155
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;002;RAVNEŠ;DRUŠTVENI DOM;RAVNEŠ 78;91;66;66;65;1;42;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;003;KAŠLJAVAC;DRUŠTVENI DOM;KAŠLJAVAC 27;102;55;55;54;1;37;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;004;PUPELICA;DRUŠTVENI DOM;PUPELICA 44;119;71;71;70;1;25;45
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;005;JASENIK;DRUŠTVENI DOM;JASENIK 7;31;28;28;28;0;8;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠANDROVAC;006;ŠANDROVAC;DRUŠTVENI DOM-VELIKA SALA;BJELOVARSKA 6;529;345;345;333;12;127;206
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;001;NARTA;ZDRAVSTVENA AMBULANTA - NARTA;NARTA 294;206;78;78;78;0;19;59
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;002;NARTA;VARTOGASNI DOM NARTA;NARTA 180;339;97;97;96;1;49;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;003;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE;ŠTEFANJE 61;233;98;98;96;2;22;74
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;004;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE BRIJEG;ŠTEFANJE 236 A;54;23;23;22;1;10;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;005;STARO ŠTEFANJE;DRUŠTVENI DOM STARO ŠTEFANJE;STARO ŠTEFANJE 90;148;83;83;83;0;20;63
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;006;LAMINAC;DRUŠTVENI DOM LAMINAC;LAMINAC 133;244;71;71;68;3;28;40
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;007;BLATNICA;DRUŠTVENI DOM BLATNICA;BLATNICA 78;78;29;29;29;0;16;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;008;DONJA ŠUŠNJARA;DRUŠTVENI DOM DONJA ŠUŠNJARA;DONJA ŠUŠNJARA 67;101;61;61;60;1;13;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;009;GORNJA ŠUŠNJARA;DRUŠTVENI DOM GORNJA ŠUŠNJARA;GORNJA ŠUŠNJARA 24 A;25;15;15;14;1;4;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;010;STARINE;DRUŠTVENI DOM STARINE;STARINE 13;46;28;28;28;0;12;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ŠTEFANJE;011;DASKATICA;DRUŠTVENI DOM DASKATICA;DASKATICA 26;82;29;29;29;0;6;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;001;VELIKA PISANICA;DONJI MJESNI DOM;HRVATSKIH MUČENIKA 159;413;134;134;132;2;74;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;002;VELIKA PISANICA;GORNJI MJESNI DOM;TRG HRVATSKIH BRANITELJA 3;385;74;74;74;0;32;42
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;003;POLUM;MJESNI DOM;POLUM 15;33;9;9;7;2;6;1
