Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORAN GOTAL;DEJAN LEVAČIĆ;MARIO MEDVED;MATIJA POSAVEC
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;002;FRKANOVEC;DRUŠTVENI DOM FRKANOVEC;FRKANOVEC 85;305;117;117;117;0;10;3;8;96
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;003;MALI MIHALJEVEC;DRUŠTVENI DOM MALI MIHALJEVEC;ULICA RADE KONČARA 23C;374;200;200;198;2;11;3;28;156
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;004;LOPATINEC;DOM MLADEŽI LOPATINEC;I.G.KOVAČIĆA 111A;835;265;265;259;6;19;8;40;192
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;005;BREZJE;VATROGASNI DOM BREZJE;BREZJE 147;626;288;288;281;7;10;7;46;218
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;006;OKRUGLI VRH;DRUŠTVENI DOM OKRUGLI VRH;OKRUGLI VRH 62B;323;140;140;136;4;11;3;14;108
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;007;PLEŠKOVEC;DOM KULTURE JURICE MURAIA;PLEŠKOVEC 25;415;127;127;126;1;10;7;12;97
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;008;VUČETINEC;DRUŠTVENI DOM VUČETINEC;VUČETINEC 44;558;185;185;179;6;18;12;24;125
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI JURAJ NA BREGU;009;DRAGOSLAVEC;DRUŠTVENI DOM DRAGOSLAVEC;DRAGOSLAVEC 156;361;134;134;131;3;16;3;19;93
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI MARTIN NA MURI;001;LAPŠINA;DRUŠTVENI DOM LAPŠINA;LAPŠINA 6;459;149;149;147;2;29;2;11;105
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI MARTIN NA MURI;002;SVETI MARTIN NA MURI;OSNOVNA ŠKOLA SVETI MARTIN NA MURI - UČIONICA BR. 1;TRG SVETOG MARTINA 4;856;382;382;379;3;66;10;28;275
20;MEĐIMURSKA ŽUPANIJA;općina;SVETI MARTIN NA MURI;003;SVETI MARTIN NA MURI;OSNOVNA ŠKOLA SVETI MARTIN NA MURI - UČIONICA BR. 2;TRG SVETOG MARTINA 4;1067;426;426;422;4;59;10;30;323
20;MEĐIMURSKA ŽUPANIJA;općina;ŠENKOVEC;001;ŠENKOVEC;"PROSTORIJE OSNOVNE ŠKOLE ""PETAR ZRINSKI""";MARŠALA TITA 21;1113;606;606;597;9;66;37;108;386
20;MEĐIMURSKA ŽUPANIJA;općina;ŠENKOVEC;002;ŠENKOVEC;ZGRADA OPĆINE ŠENKOVEC;J.BEDEKOVIĆA 11;1014;497;497;488;9;56;18;60;354
20;MEĐIMURSKA ŽUPANIJA;općina;ŠENKOVEC;003;KNEZOVEC;ZGRADA KULTURNOG CENTRA KNEZOVEC;KNEZOVEC 124;368;181;181;181;0;35;2;12;132
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;001;STANETINEC;OSNOVNA ŠKOLA;STANETINEC 19B;151;68;68;68;0;8;1;4;55
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;002;SVETI URBAN;DOM KULTURE;SVETI URBAN 27A;419;187;187;185;2;31;9;10;135
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;003;ŽELEZNA GORA;DOM KULTURE;ŽELEZNA GORA 126;395;171;171;171;0;20;2;14;135
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;004;PREKOPA;OSNOVNA ŠKOLA;PREKOPA 45;227;94;94;93;1;2;4;12;75
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;005;ŠTRIGOVA;VATROGASNI DOM - DVORANA DESNO;ŠTRIGOVA 101;571;280;280;276;4;27;6;39;204
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;006;ROBADJE;VATROGASNI DOM;ROBADJE 65A;129;50;50;47;3;5;3;7;32
20;MEĐIMURSKA ŽUPANIJA;općina;ŠTRIGOVA;007;ŠTRIGOVA;VATROGASNI DOM - DVORANA LIJEVO;ŠTRIGOVA 101;491;138;138;137;1;21;3;15;98
20;MEĐIMURSKA ŽUPANIJA;općina;VRATIŠINEC;001;VRATIŠINEC;DOM KULTURE;DR.VINKA ŽGANCA 2;452;207;207;201;6;19;6;28;148
20;MEĐIMURSKA ŽUPANIJA;općina;VRATIŠINEC;002;VRATIŠINEC;"OSNOVNA ŠKOLA ""DR. VINKA ŽGANCA"" VRATIŠINEC";ŠKOLSKA ULICA 4;697;348;348;342;6;34;3;54;251
20;MEĐIMURSKA ŽUPANIJA;općina;VRATIŠINEC;003;GORNJI KRALJEVEC;DRUŠTVENI DOM GORNJI KRALJEVEC;POLJSKA ULICA 1;497;209;209;207;2;7;1;17;182
