Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BOŽIDAR LONGIN;IVICA ŽUVELA
13;ZADARSKA ŽUPANIJA;opæina;LIŠANE OSTROVIÈKE;003;DOBROPOLJCI;KUÆA IVANA IVKOVIÆA POK. TOME ROÐ. 1951. GODINE;DOBROPOLJCI KBR. 66;146;16;16;16;0;15;1
13;ZADARSKA ŽUPANIJA;opæina;NOVIGRAD;001;NOVIGRAD;OSNOVNA ŠKOLA NOVIGRAD;BUTKA KURJAKOVIÆA 7, NOVIGRAD;500;108;108;107;1;67;40
13;ZADARSKA ŽUPANIJA;opæina;NOVIGRAD;002;PRIDRAGA;OSNOVNA ŠKOLA BRAÆE RADIÆ PRIDRAGA;TRG STJEPANA RADIÆA 8, PRIDRAGA;1341;257;257;252;5;186;66
13;ZADARSKA ŽUPANIJA;opæina;NOVIGRAD;003;PALJUV;PODRUÈNA ŠKOLA PALJUV;VILE VELEBITA 1, PALJUV;325;87;87;86;1;38;48
13;ZADARSKA ŽUPANIJA;opæina;PAKOŠTANE;001;PAKOŠTANE;MALA VIJEÆNICA (ZAPADNO KRILO) ZGRADE OPÆINE PAKOŠTANE;KRALJICE JELENE 78, PAKOŠTANE;1132;240;240;232;8;152;80
13;ZADARSKA ŽUPANIJA;opæina;PAKOŠTANE;002;PAKOŠTANE;VELIKA VIJEÆNICA (ISTOÈNO KRILO) ZGRADE OPÆINE PAKOŠTANE;KRALJICE JELENE 78, PAKOŠTANE;963;211;211;208;3;124;84
13;ZADARSKA ŽUPANIJA;opæina;PAKOŠTANE;003;VRANA;OSNOVNA ŠKOLA U VRANI;VRANA;683;117;117;114;3;92;22
13;ZADARSKA ŽUPANIJA;opæina;PAKOŠTANE;004;DRAGE;OSNOVNA ŠKOLA U DRAGAMA;DRAGE;923;318;318;308;10;211;97
13;ZADARSKA ŽUPANIJA;opæina;PAKOŠTANE;005;VRGADA;OSNOVNA ŠKOLA U VRGADI;VRGADA;238;64;64;62;2;27;35
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;001;KRAJ;OSNOVNA ŠKOLA KRAJ;KRAJ, SVETOG DUJE 3;277;89;89;88;1;73;15
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;002;PAŠMAN;PROSTORIJA OPÆINE PAŠMAN;PAŠMAN, OBALA TAMARISA 6;351;89;89;87;2;46;41
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;003;BAROTUL;PROSTORIJA MJESNOG ODBORA BAROTUL;BAROTUL, PUT BRAKA 1;88;28;28;27;1;19;8
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;004;MRLJANE;KUÆA ŽIVKA RALIÆA;MRLJANE, MRLJANE 60;276;45;45;45;0;31;14
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;005;NEVIÐANE;MLIN NEVIÐANE;NEVIÐANE, KLANAC B.B.;409;90;90;89;1;38;51
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;006;DOBROPOLJANA;"PROSTORIJA ""DJEÈJEG VRTIÆA DOBROPOLJANA""";DOBROPOLJANA, ULICA KREŠIMIRA ÆOSIÆA 4;260;85;85;83;2;50;33
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;007;BANJ;PROSTORIJA MJESNOG ODBORA BANJ;BANJ, TRG SV. KUZME I DAMJANA 3;217;69;69;67;2;36;31
13;ZADARSKA ŽUPANIJA;opæina;PAŠMAN;008;ŽDRELAC;PROSTORIJA MJESNOG ODBORA ŽDRELAC;ŽDRELAC, TRG 5;497;110;110;106;4;65;41
13;ZADARSKA ŽUPANIJA;opæina;POLAÈA;001;POLAÈA;ZGRADA OPÆINE  POLAÈA;POLAÈA;1157;174;174;174;0;94;80
13;ZADARSKA ŽUPANIJA;opæina;POLAÈA;002;KAKMA;OSNOVNA ŠKOLA;KAKMA;300;25;25;24;1;12;12
13;ZADARSKA ŽUPANIJA;opæina;POLAÈA;003;GORNJA JAGODNJA;BIVŠA TRGOVINA PIJOR;GORNJA JAGODNJA;171;13;13;12;1;3;9
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;001;BRIŠEVO;DRUŠTVENI DOM U BRIŠEVU;BRIŠEVO;637;128;128;124;4;76;48
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;002;DRAÈEVAC NINSKI;OSNOVNA ŠKOLA 'BARTOL KAŠIÆ' , PODRUÈNA ŠKOLA U DRAÈEVCU NINSKOM;DRAÈEVAC NINSKI;273;62;62;60;2;45;15
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;003;GORNJI POLIÈNIK;DRUŠTVENI DOM U GORNJEM POLIÈNIKU;GORNJI POLIÈNIK;128;56;56;54;2;40;14
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;004;LOVINAC;OSNOVNA ŠKOLA POLIÈNIK, PODRUÈNA ŠKOLA LOVINAC;LOVINAC;268;96;96;96;0;72;24
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;005;MURVICA;DRUŠTVENI DOM U MURVICI;MURVICA;762;171;171;168;3;101;67
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;006;MURVICA GORNJA;DRUŠTVENI DOM U MURVICI GORNJOJ;MURVICA GORNJA;224;69;69;69;0;57;12
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;007;POLIÈNIK;OSNOVNA ŠKOLA POLIÈNIK;POLIÈNIK;971;197;197;196;1;148;48
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;008;RUPALJ;OSNOVNA ŠKOLA POLIÈNIK, PODRUÈNA ŠKOLA RUPALJ;RUPALJ;230;98;98;97;1;72;25
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;009;SUHOVARE;DRUŠTVENI DOM U SUHOVARAMA;SUHOVARE;525;113;113;110;3;73;37
13;ZADARSKA ŽUPANIJA;opæina;POLIÈNIK;010;VISOÈANE;OSNOVNA ŠKOLA POLIÈNIK, PODRUÈNA ŠKOLA VISOÈANE;VISOÈANE;330;52;52;50;2;37;13
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;001;POSEDARJE;"OSNOVNA ŠKOLA ""BRAÆE RIBAR"" U POSEDARJU";POSEDARJE, ŠPORTSKA 3;1269;265;265;263;2;131;132
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;002;PODGRADINA;"PODRUÈNA ŠKOLA ""BRAÆE RIBAR"" U PODGRADINI";PODGRADINA, ŽUŽE 63;571;98;98;95;3;60;35
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;003;ISLAM LATINSKI;"PODRUÈNA ŠKOLA ""BRAÆE RIBAR"" U ISLAMU LATINSKOM";ISLAM LATINSKI;273;71;71;71;0;47;24
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;004;GRGURICE;MJESNI ODBOR GRGURICE;GRGURICE;134;50;50;50;0;44;6
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;005;SLIVNICA DONJA;"PODRUÈNA ŠKOLA ""BRAÆE RIBAR"" U SLIVNICI DONJOJ";SLIVNICA DONJA;367;66;66;66;0;50;16
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;006;SLIVNICA GORNJA;"PODRUÈNA ŠKOLA ""BRAÆE RIBAR"" U SLIVNICI GORNJOJ";SLIVNICA GORNJA;357;70;70;70;0;55;15
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;007;VINJERAC;MJESNI ODBOR (NA RIVI) U VINJERCU;VINJERAC;179;51;51;49;2;26;23
13;ZADARSKA ŽUPANIJA;opæina;POSEDARJE;008;ŽDRILO;"PODRUÈNA ŠKOLA ""BRAÆE RIBAR"" U ŽDRILU";ŽDRILO;93;50;50;48;2;39;9
13;ZADARSKA ŽUPANIJA;opæina;POVLJANA;001;POVLJANA;DOM KULTURE POVLJANA;TRG BANA JOSIPA JELAÈIÆA 1;687;128;128;126;2;58;68
13;ZADARSKA ŽUPANIJA;opæina;PREKO;001;LUKORAN;"PODRUÈNA ŠKOLA ""VALENTIN KLARIN""";LUKORAN, LUKORANSKA CESTA 7;550;143;143;141;2;76;65
13;ZADARSKA ŽUPANIJA;opæina;PREKO;002;OŠLJAK;STARA ZGRADA OSNOVNE ŠKOLE NA OŠLJAKU;OŠLJAK;67;20;20;20;0;9;11
13;ZADARSKA ŽUPANIJA;opæina;PREKO;003;POLJANA;"PODRUÈNA ŠKOLA ""VALENTIN KLARIN""";POLJANA;371;104;104;104;0;63;41
13;ZADARSKA ŽUPANIJA;opæina;PREKO;004;PREKO;"DJEÈJI VRTIÆ ""LASTAVICA""";PRIJEŠKIH MUÈENIKA 1, PREKO;1374;374;374;367;7;231;136
13;ZADARSKA ŽUPANIJA;opæina;PREKO;005;RIVANJ;MJESNI ODBOR RIVANJ;RIVANJ;53;30;30;28;2;8;20
13;ZADARSKA ŽUPANIJA;opæina;PREKO;006;SESTRUNJ;MJESNI ODBOR SESTRUNJ;SESTRUNJ;105;38;38;35;3;16;19
13;ZADARSKA ŽUPANIJA;opæina;PREKO;007;SUTOMIŠÆICA;"PODRUÈNA ŠKOLA ""VALENTIN KLARIN"" U SUTOMIŠÆICI";SUTOMIŠÆICA;392;115;115;113;2;52;61
13;ZADARSKA ŽUPANIJA;opæina;PREKO;008;UGLJAN;"PODRUÈNA ŠKOLA ""VALENTIN KLARIN"" U MJESTU UGLJAN";UGLJAN;1100;260;260;257;3;109;148
13;ZADARSKA ŽUPANIJA;opæina;PRIVLAKA;001;PRIVLAKA 1;OSNOVNA ŠKOLA PRIVLAKA;PRIVLAKA;1361;301;301;297;4;207;90
13;ZADARSKA ŽUPANIJA;opæina;PRIVLAKA;002;PRIVLAKA 2;OSNOVNA ŠKOLA  PRIVLAKA;PRIVLAKA;917;216;216;212;4;144;68
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;001;RAŽANAC;"OŠ ""JURAJ BARAKOVIÆ""";RAŽANAC;788;152;152;147;5;84;63
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;002;RTINA;"OŠ ""JURAJ BARAKOVIÆ""";RTINA;479;182;182;179;3;143;36
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;003;JOVIÆI;"OŠ ""JURAJ BARAKOVIÆ""";JOVIÆI;342;122;122;121;1;78;43
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;004;LJUBAÈ;"OŠ ""JURAJ BARAKOVIÆ""";LJUBAÈ;316;102;102;98;4;79;19
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;005;KRNEZA;"OŠ ""JURAJ BARAKOVIÆ""";KRNEZA;156;46;46;46;0;21;25
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;006;RADOVIN;"OŠ ""JURAJ BARAKOVIÆ""";RADOVIN;503;200;200;198;2;146;52
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;007;PODVRŠJE;DOM  MJESNOG ODBORA;PODVRŠJE;98;38;38;38;0;20;18
13;ZADARSKA ŽUPANIJA;opæina;RAŽANAC;008;LJUBAÈKI STANOVI;DOM MJESNOG ODBORA;LJUBAÈKI STANOVI;129;51;51;51;0;41;10
13;ZADARSKA ŽUPANIJA;opæina;SALI;001;SALI;"OSNOVNA ŠKOLA ""PETAR LORINI""";SALI;776;171;171;166;5;98;68
13;ZADARSKA ŽUPANIJA;opæina;SALI;002;ZAGLAV;OSNOVNA ŠKOLA ZAGLAV;ZAGLAV;219;57;57;55;2;22;33
13;ZADARSKA ŽUPANIJA;opæina;SALI;003;ŽMAN;OSNOVNA ŠKOLA ŽMAN;ŽMAN;257;35;35;34;1;15;19
13;ZADARSKA ŽUPANIJA;opæina;SALI;004;LUKA;TURISTIÈKO DRUŠTVO LUKA;LUKA;150;36;36;36;0;14;22
13;ZADARSKA ŽUPANIJA;opæina;SALI;005;SAVAR;MJESNI ODBOR SAVAR;SAVAR;81;28;28;28;0;18;10
13;ZADARSKA ŽUPANIJA;opæina;SALI;006;BRBINJ;DRUŠTVENI DOM BRBINJ;BRBINJ;139;26;26;26;0;13;13
13;ZADARSKA ŽUPANIJA;opæina;SALI;007;DRAGOVE;OSNOVNA ŠKOLA DRAGOVE;DRAGOVE;73;21;21;21;0;8;13
13;ZADARSKA ŽUPANIJA;opæina;SALI;008;BOŽAVA;OSNOVNA ŠKOLA BOŽAVA;BOŽAVA;177;74;74;69;5;28;41
13;ZADARSKA ŽUPANIJA;opæina;SALI;009;SOLINE;OSNOVNA ŠKOLA SOLINE;SOLINE;103;31;31;27;4;5;22
13;ZADARSKA ŽUPANIJA;opæina;SALI;010;VELI RAT;DRUŠTVENI DOM VELI RAT;VELI RAT;122;38;38;37;1;20;17
13;ZADARSKA ŽUPANIJA;opæina;SALI;011;VERUNIÆ;MJESNI ODBOR VERUNIÆ;VERUNIÆ;71;35;35;35;0;17;18
13;ZADARSKA ŽUPANIJA;opæina;SALI;012;ZVERINAC;MJESNI ODBOR ZVERINAC;ZVERINAC;78;42;42;42;0;29;13
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;001;STANKOVCI;DOM KULTURE U STANKOVCIMA;STANKOVCI;575;395;395;377;18;141;236
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;002;BANJEVCI;PODRUÈNA ŠKOLA BANJEVCI;BANJEVCI;366;264;264;259;5;125;134
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;003;BUDAK;VATROGASNI DOM STANKOVCI;BUDAK;344;242;242;234;8;110;124
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;004;CRLJENIK;PODRUÈNA ŠKOLA CRLJENIK;CRLJENIK;123;78;78;77;1;29;48
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;005;VELIM;MJESNI ODBOR VELIM;VELIM;101;84;84;83;1;34;49
13;ZADARSKA ŽUPANIJA;opæina;STANKOVCI;006;BILA VLAKA;MJESNI DOM BILA VLAKA;BILA VLAKA;283;156;156;155;1;57;98
13;ZADARSKA ŽUPANIJA;opæina;STARIGRAD;001;STARIGRAD;OSNOVNA ŠKOLA STARIGRAD;STARIGRAD;1162;246;246;243;3;183;60
13;ZADARSKA ŽUPANIJA;opæina;STARIGRAD;002;SELINE;TURISTIÈKI URED SELINE;SELINE;500;122;122;121;1;80;41
13;ZADARSKA ŽUPANIJA;opæina;STARIGRAD;003;TRIBANJ;PROSTORIJE MJESNOG ODBORA (STARA ŽUPNA KUÆA);TRIBANJ-KRUŠÈICA;259;75;75;75;0;56;19
13;ZADARSKA ŽUPANIJA;opæina;SUKOŠAN;001;SUKOŠAN;OSNOVNA ŠKOLA SUKOŠAN;SUKOŠAN;1345;287;287;281;6;156;125
13;ZADARSKA ŽUPANIJA;opæina;SUKOŠAN;002;SUKOŠAN;OSNOVNA ŠKOLA SUKOŠAN;SUKOŠAN;1383;266;266;258;8;132;126
13;ZADARSKA ŽUPANIJA;opæina;SUKOŠAN;003;DEBELJAK;OSNOVNA ŠKOLA DEBELJAK;DEBELJAK;817;220;220;214;6;113;101
13;ZADARSKA ŽUPANIJA;opæina;SUKOŠAN;004;GORICA;OSNOVNA ŠKOLA GORICA;GORICA;557;171;171;163;8;128;35
13;ZADARSKA ŽUPANIJA;opæina;SUKOŠAN;005;GLAVICA;MJESNI ODBOR GLAVICA;GLAVICA;148;62;62;62;0;51;11
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;001;SV. FILIP I JAKOV;KINO DVORANA;IVANA DANILA, SV.FILIP I JAKOV;1434;622;622;616;6;497;119
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;002;TURANJ;PODRUÈNA ŠKOLA TURANJ;TURANJ;1075;313;313;308;5;244;64
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;003;SV. PETAR NA MORU;PODRUÈNA ŠKOLA SV. PETAR NA MORU;SV. PETAR NA MORU;458;121;121;119;2;91;28
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;004;GORNJE RAŠTANE;PODRUÈNA ŠKOLA GORNJE RAŠTANE;GORNJE RAŠTANE;254;82;82;81;1;67;14
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;005;DONJE RAŠTANE;PODRUÈNA ŠKOLA DONJE RAŠTANE;DONJE RAŠTANE;421;133;133;128;5;98;30
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;006;SIKOVO;PODRUÈNA ŠKOLA SIKOVO;SIKOVO;329;119;119;115;4;98;17
13;ZADARSKA ŽUPANIJA;opæina;SVETI FILIP I JAKOV;007;TIÈEVO VITERINCI;MJESNI ODBOR TIÈEVO VITERINCI;TIÈEVO VITERINCI;146;43;43;43;0;36;7
13;ZADARSKA ŽUPANIJA;opæina;ŠKABRNJA;001;ŠKABRNJA;"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";ŠKABRNJA, PUT MARINOVACA 9;1214;258;258;257;1;199;58
13;ZADARSKA ŽUPANIJA;opæina;ŠKABRNJA;002;PRKOS;OSNOVNA ŠKOLA PRKOS;PRKOS, DR. FRANJE TUÐMANA 18;309;68;68;68;0;52;16
13;ZADARSKA ŽUPANIJA;opæina;TKON;001;TKON;ZGRADA OPÆINE TKON (NA RIVI);MULINA 7, TKON;624;138;138;136;2;81;55
13;ZADARSKA ŽUPANIJA;opæina;TKON;002;UGRINIÆ;ZGRADA STARE OSNOVNE ŠKOLE;KAŠEVICA 11, UGRINIÆ;76;26;26;26;0;3;23
13;ZADARSKA ŽUPANIJA;opæina;VIR;001;VIR;PROSTORIJE OPÆINE VIR;TRG SVETOG JURJA 1, VIR;1321;694;692;640;52;356;284
13;ZADARSKA ŽUPANIJA;opæina;VIR;002;VIR;OSNOVNA ŠKOLA PRIVLAKA, PODRUÈNA ŠKOLA VIR;PUT MULA 16, VIR;1013;500;500;469;31;255;214
13;ZADARSKA ŽUPANIJA;opæina;VIR;003;VIR;OSNOVNA ŠKOLA PRIVLAKA, PODRUÈNA ŠKOLA VIR;PUT MULA 16, VIR;960;492;491;456;35;234;222
13;ZADARSKA ŽUPANIJA;opæina;VIR;004;VIR;OSNOVNA ŠKOLA PRIVLAKA, PODRUÈNA ŠKOLA VIR;PUT MULA 16, VIR;888;455;455;432;23;243;189
13;ZADARSKA ŽUPANIJA;opæina;VRSI;001;VRSI;"OSNOVNA ŠKOLA ""PETAR ZORANIÆ"", PODRUÈNA ŠKOLA VRSI";ULICA DR. FRANJE TUÐMANA 33, VRSI;1533;300;300;296;4;134;162
13;ZADARSKA ŽUPANIJA;opæina;VRSI;002;POLJICA;MJESNI ODBOR POLJICA;POLJICA;409;66;66;66;0;28;38
13;ZADARSKA ŽUPANIJA;opæina;ZEMUNIK DONJI;001;ZEMUNIK DONJI;U PROSTORIJAMA OPÆINE ZEMUNIK DONJI;ZEMUNIK DONJI;1305;520;520;509;11;392;117
13;ZADARSKA ŽUPANIJA;opæina;ZEMUNIK DONJI;002;ZEMUNIK GORNJI;ŠPORTSKO-REKREACIONI CENTAR ZEMUNIK GORNJI;ZEMUNIK GORNJI;457;210;210;203;7;173;30
13;ZADARSKA ŽUPANIJA;opæina;ZEMUNIK DONJI;003;SMOKOVIÆ;BIVŠI DOM KULTURE;SMOKOVIÆ;254;27;27;26;1;11;15
