Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MIRJANA HANŽEKOVIĆ;MLADEN KEŠER;DARKO KOREN;ŽELJKO LACKOVIĆ;ZDRAVKO MATOTAN
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;002;FERDINANDOVAC;OSNOVNA ŠKOLA FERDINANDOVAC;DRAVSKA ULICA 66;254;141;141;137;4;1;5;68;63;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;003;PAVLJANCI;DRUŠTVENI DOM PAVLJANCI;ULICA PAVLJANCI 54;134;94;94;93;1;0;4;49;39;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;004;FERDINANDOVAC;DRUŠTVENI DOM FERDINANDOVAC;TRG SLOBODE 29;263;165;165;160;5;2;21;86;51;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;005;FERDINANDOVAC;VATROGASNA VIJEĆNICA FERDINANDOVAC;TRG SLOBODE 28/A;399;244;244;240;4;0;25;120;92;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;FERDINANDOVAC;006;FERDINANDOVAC;OSNOVNA ŠKOLA FERDINANDOVAC;DRAVSKA ULICA 66;198;120;120;118;2;4;9;57;48;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GOLA;001;GOLA;OSNOVNA ŠKOLA GOLA;TRG KARDINALA ALOJZIJA STEPINCA 4A;652;390;390;374;16;22;35;209;73;35
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GOLA;002;GOTALOVO;PODRUČNA ŠKOLA GOTALOVO;ULICA STJEPANA RADIĆA 53;241;124;124;118;6;12;25;55;23;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GOLA;003;NOVAČKA;PODRUČNA ŠKOLA NOVAČKA;NOVAČKA 97/A;280;140;140;135;5;3;16;67;46;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GOLA;004;OTOČKA;PODRUČNA ŠKOLA OTOČKA;OTOČKA 59/A;173;87;87;82;5;3;8;48;19;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GOLA;005;ŽDALA;PODRUČNA ŠKOLA ŽDALA;ULICA BRAĆE RADIĆ 1;449;168;168;165;3;4;17;81;61;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;001;DROPKOVEC;PROSTORIJE VATROGASNOG DOMA U DROPKOVCU;DROPKOVEC 10;156;118;118;115;3;1;34;80;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;002;DONJA RIJEKA;PROSTORIJE LOVAČKOG DOMA KOŠUTA PRIGORJE;FAJEROVEC BB;246;144;144;143;1;1;59;79;4;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;003;GORNJA RIJEKA;PROSTORIJE OSNOVNE ŠKOLE SIDONIJE RUBIDO ERDÖDY;ULICA JABLANOVA 1;408;267;267;261;6;9;137;107;8;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;004;KOLAREC;PROSTORIJE VATROGASNOG DOMA U KOLARCU;KOLAREC 36;219;125;125;123;2;0;47;72;4;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;005;KOSTANJEVEC RIJEČKI;PROSTORIJE VATROGASNOG DOMA U KOSTANJEVCU RIJEČKOM;KOSTANJEVEC RIJEČKI 29;192;118;118;116;2;4;65;46;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;GORNJA RIJEKA;006;POFUKI;PROSTORIJE DRUŠTVENOG DOMA U POFUKIMA;POFUKI BB;151;102;102;98;4;1;33;59;5;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;HLEBINE;001;HLEBINE;PODRUČNA ŠKOLA HLEBINE;TRG IVANA GENERALIĆA 6;413;255;255;240;15;15;47;124;46;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;HLEBINE;002;HLEBINE;PODRUČNA ŠKOLA HLEBINE;TRG IVANA GENERALIĆA 6;457;282;282;271;11;12;68;133;46;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;HLEBINE;003;GABAJEVA GREDA;DRUŠTVENI DOM GABAJEVA GREDA;GABAJEVA GREDA 21 A;114;70;70;54;16;2;9;32;7;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALINOVAC;001;KALINOVAC;OSNOVNA ŠKOLA IVAN LACKOVIĆ CROATA KALINOVAC;DRAVSKA ULICA 6;576;383;383;373;10;3;29;170;160;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALINOVAC;002;KALINOVAC;OSNOVNA ŠKOLA IVAN LACKOVIĆ CROATA KALINOVAC;DRAVSKA ULICA 6;538;329;329;321;8;8;28;168;106;11
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALINOVAC;003;BATINSKE;DRUŠTVENI DOM BATINSKE;KANALSKA ULICA 11;96;53;53;51;2;2;7;24;18;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;001;KALNIK;DOM  HRVATSKIH BRANITELJA;TRG STJEPANA RADIĆA 5;274;182;182;174;8;2;106;60;5;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;002;KAMEŠNICA;PROSTORIJE DVD-A KAMEŠNICA;ĐURCI 2;128;96;96;95;1;1;52;39;3;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;003;POTOK KALNIČKI;PROSTORIJE DRUŠTVENOG DOMA POTOK KALNIČKI;POTOK KALNIČKI 38;134;95;95;92;3;1;56;33;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;004;BORJE;PROSTORIJE DRUŠTVENOG DOMA DONJE BORJE;DONJE BORJE 19;146;107;107;104;3;3;47;49;3;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;005;ŠOPRON;PROSTORIJE DRUŠTVENOG DOMA ŠOPRON;ŠOPRON 57;146;100;100;99;1;3;58;32;5;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;006;POPOVEC KALNIČKI;PROSTORIJE DRUŠTVENOG DOMA POPOVEC KALNIČKI;POPOVEC KALNIČKI 5;136;94;94;90;4;3;32;50;5;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KALNIK;007;VOJNOVEC KALNIČKI;PROSTORIJE (NOVOG) DRUŠTVENOG DOMA VOJNOVEC KALNIČKI;VOJNOVEC KALNIČKI 70;95;65;65;63;2;1;45;17;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KLOŠTAR PODRAVSKI;001;KLOŠTAR PODRAVSKI;ZGRADA DRUŠTVENOG DOMA KLOŠTAR PODRAVSKI;TRG SVETE OBITELJI 2;892;540;540;510;30;22;48;239;187;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KLOŠTAR PODRAVSKI;002;ODERJAN;ZGRADA DRUŠTVENOG DOMA ODERJAN;KLOŠTAR PODRAVSKI, ODERJAN 40;243;155;155;147;8;13;14;46;71;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KLOŠTAR PODRAVSKI;003;BUDANČEVICA;ZGRADA DRUŠTVENOG DOMA BUDANČEVICA;STJEPANA RADIĆA 3;370;238;238;230;8;10;18;115;78;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KLOŠTAR PODRAVSKI;004;PRUGOVAC;ZGRADA DRUŠTVENOG DOMA PRUGOVAC;VINOGRADSKA BB;542;284;284;278;6;10;12;138;108;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KLOŠTAR PODRAVSKI;005;KOZAREVAC;ZGRADA DRUŠTVENOG DOMA KOZAREVAC;KOZAREVAC, PETRA PRERADOVIĆA 3;407;267;267;257;10;4;16;147;81;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI BREGI;001;KOPRIVNIČKI BREGI;ZGRADA OPĆINE KOPRIVNIČKI BREGI;KOPRIVNIČKI BREGI;519;275;275;254;21;19;52;101;53;29
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI BREGI;002;KOPRIVNIČKI BREGI;ZGRADA OPĆINE KOPRIVNIČKI BREGI;KOPRIVNIČKI BREGI;567;328;328;309;19;14;67;136;58;34
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI BREGI;003;GLOGOVAC;PODRUČNA ŠKOLA GLOGOVAC;GLOGOVAC;664;324;324;314;10;8;112;108;64;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI BREGI;004;JEDUŠEVAC;DRUŠTVENI DOM JEDUŠEVAC;JEDUŠEVAC;77;50;50;49;1;4;9;21;12;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;001;KOPRIVNIČKI IVANEC;OSNOVNA ŠKOLA;KOPRIVNIČKA ULICA 27;469;279;279;271;8;22;62;100;41;46
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;002;KOPRIVNIČKI IVANEC;DRUŠTVENI DOM;MATIJE GUPCA 14;501;298;298;285;13;9;64;118;41;53
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;003;KUNOVEC;OSNOVNA ŠKOLA;ULICA SELJAČKE BUNE 10;400;175;175;169;6;17;29;94;8;21
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;004;BOTINOVEC;DRUŠTVENI DOM;BOTINOVEC 1;130;99;98;86;12;4;8;45;17;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;005;GORIČKO;DRUŠTVENI DOM;GORIČKO 8 A;113;71;71;67;4;2;16;27;7;15
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;KOPRIVNIČKI IVANEC;006;PUSTAKOVEC;DRUŠTVENI DOM;PUSTAKOVEC 64;98;55;55;55;0;6;9;28;5;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;001;LEGRAD;DRUŠTVENI DOM LEGRAD;TRG SVETOG TROJSTVA 52 A;857;441;441;415;26;17;159;159;55;25
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;002;MALI OTOK;VATROGASNI DOM;MALI OTOK 68 A;109;64;64;61;3;3;2;36;4;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;003;VELIKI OTOK;VATROGASNI DOM;VELIKI OTOK 29;214;123;123;121;2;12;34;44;15;16
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;004;SELNICA PODRAVSKA;VATROGASNI DOM;SELNICA PODRAVSKA 119;227;115;115;109;6;5;27;26;20;31
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;005;KUTNJAK;VATROGASNI DOM;KUTNJAK 113;262;127;127;122;5;0;12;20;1;89
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;LEGRAD;006;ZABLATJE;VATROGASNI DOM;ZABLATJE 7;152;56;56;56;0;0;5;30;9;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;MOLVE;001;MOLVE;OSNOVNA ŠKOLA MOLVE;TRG KRALJA TOMISLAVA 10;474;294;294;271;23;5;42;78;143;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;MOLVE;002;MOLVE;KINO-SALA MOLVE;TRG KRALJA TOMISLAVA 4;520;343;343;328;15;11;25;120;165;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;MOLVE;003;MOLVE;VATROGASNI DOM GORNJA ŠUMA;GORNJA ŠUMA BB;119;88;88;86;2;3;11;24;46;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;MOLVE;004;MOLVE GREDE;VATROGASNI DOM MOLVE GREDE;MOLVE GREDE 20;174;123;123;118;5;1;9;29;78;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;MOLVE;005;REPAŠ;PODRUČNA ŠKOLA REPAŠ (NOVA ZGRADA);REPAŠ 66;315;205;205;198;7;12;13;68;99;6
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;001;NOVIGRAD PODRAVSKI;"""DOM KULTURE""";VIROVSKA ULICA 2;605;329;329;308;21;9;60;119;113;7
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;002;NOVIGRAD PODRAVSKI;"""VATROGASNI DOM""";TRG DR. FRANJE TUĐMANA 3;673;315;315;301;14;10;63;84;131;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;003;NOVIGRAD PODRAVSKI;"OSNOVNA ŠKOLA ""PROF. BLAŽ MAĐER""";GAJEVA ULICA 17A;328;169;169;159;10;2;32;70;46;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;004;DELOVI;"""PODRUČNA ŠKOLA DELOVI""";DELOVI 59;177;79;79;79;0;1;16;37;17;8
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;005;BOROVLJANI;"""DRUŠTVENI DOM BOROVLJANI""";BOROVLJANI 77;183;93;93;91;2;11;27;28;22;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;006;VLAISLAV;"""DRUŠTVENI DOM VLAISLAV""";VLAISLAV 30B;182;97;97;91;6;2;25;29;32;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVIGRAD PODRAVSKI;007;PLAVŠINAC;"""PODRUČNA ŠKOLA PLAVŠINAC""";PLAVŠINAC 9;120;48;48;41;7;2;9;10;16;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVO VIRJE;001;CRNEC;VATROGASNI DOM CRNEC;TRG MLADOSTI 1, NOVO VIRJE;284;163;163;156;7;1;35;37;81;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVO VIRJE;002;DRENOVICA;DRUŠTVENI DOM DRENOVICA;TRG VLADIMIRA JAGARINCA 2, NOVO VIRJE;360;222;222;217;5;5;46;38;128;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;NOVO VIRJE;003;MEDVEDIČKA;VATROGASNI DOM MEDVEDIČKA;MEDVEDIČKA 63, NOVO VIRJE;268;134;134;131;3;3;2;24;101;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PETERANEC;001;PETERANEC;PODRUČNA ŠKOLA FRAN GALOVIĆ;ULICA MATIJE GUPCA 15;1092;704;704;676;28;36;175;302;94;69
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PETERANEC;002;SIGETEC;PODRUČNA ŠKOLA SIGETEC;ULICA BRAĆE RADIĆ 23;885;417;417;403;14;32;68;187;97;19
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PETERANEC;003;KOMATNICA;DRUŠTVENI DOM U KOMATNICI;KOMATNICA BB;40;19;19;18;1;0;2;15;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PODRAVSKE SESVETE;001;PODRAVSKE SESVETE;MALA VIJEĆNICA;IVANA MAŽURANIĆA 1;583;363;363;344;19;9;31;111;180;13
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PODRAVSKE SESVETE;002;PODRAVSKE SESVETE;ZDRAVSTVENA AMBULANTA;IVANA MAŽURANIĆA 1;539;353;353;335;18;9;40;111;165;10
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PODRAVSKE SESVETE;003;MEKIŠ;DRUŠTVENI DOM MEKIŠ;DRAVSKA  59;102;70;70;67;3;4;1;29;33;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;PODRAVSKE SESVETE;004;DRAGANCI;DRUŠTVENI DOM DRAGANCI;DRAGANCI 38 A;84;52;52;50;2;0;1;24;23;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;001;RASINJA;DRUŠTVENI DOM;TRG SV. FLORIJANA 16;744;451;451;442;9;22;203;181;14;22
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;002;SUBOTICA PODRAVSKA;DRUŠTVENI DOM;TRG MLADOSTI 22;442;218;218;209;9;18;59;96;10;26
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;003;CVETKOVEC;DRUŠTVENI DOM;TRG SVETOG TROJSTVA 14;171;75;75;71;4;5;11;39;7;9
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;004;GORICA;VATROGASNI DOM;GORICA 11;112;53;53;52;1;2;14;30;2;4
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;005;KUZMINEC;VATROGASNI DOM;KUZMINEC 105;226;106;106;105;1;6;25;37;20;17
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;006;KOLEDINEC;DRUŠTVENI DOM;KOLEDINEC 63B;126;77;77;73;4;5;22;13;19;14
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;007;BELANOVO SELO;DRUŠTVENI DOM;BELANOVO SELO 24;28;17;17;17;0;0;8;9;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;008;IVANČEC;DRUŠTVENI DOM;IVANČEC 30A;40;16;16;16;0;0;5;11;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;009;DUGA RIJEKA;BIVŠA ŠKOLA;DUGA RIJEKA 26;168;75;75;74;1;1;23;48;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;010;RIBNJAK;DRUŠTVENI DOM;RIBNJAK 12;38;24;24;24;0;3;6;12;2;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;011;RADELJEVO SELO;DRUŠTVENI DOM;RADELJEVO SELO 31;84;27;27;27;0;1;17;8;0;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;012;PRKOS;BIVŠA ŠKOLA;PRKOS 28;107;36;36;35;1;3;19;13;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;013;VELIKI POGANAC;DRUŠTVENI DOM;VELIKI POGANAC 38;169;66;66;65;1;2;28;31;4;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;RASINJA;014;LUDBREŠKI IVANAC;DRUŠTVENI DOM;LUDBREŠKI IVANAC 34;44;24;24;24;0;1;16;7;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;001;SOKOLOVAC;DRUŠTVENI DOM;SOKOLOVAC;482;161;161;154;7;12;65;68;7;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;002;LEPAVINA;PROSTORIJE RJ MEHANIZACIJA I PRIJEVOZ;LEPAVINA 20;303;75;75;74;1;13;16;34;6;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;003;DONJA VELIKA;VATROGASNI DOM;DONJA VELIKA;132;71;71;70;1;2;5;57;5;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;004;HUDOVLJANI;DRUŠTVENI DOM;HUDOVLJANI;167;108;108;107;1;4;7;90;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;005;PEŠČENIK;STARA ŠKOLA;PEŠČENIK;77;36;36;36;0;7;3;25;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;006;DONJI MASLARAC;DRUŠTVENI DOM;DONJI MASLARAC;118;62;62;61;1;9;3;43;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;007;MALA MUČNA;DRUŠTVENI DOM;MALA MUČNA;93;32;32;31;1;7;7;13;3;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;008;MALA BRANJSKA;DRUŠTVENI DOM;MALA BRANJSKA;70;20;20;20;0;6;4;10;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;009;LADISLAV SOKOLOVAČKI;DRUŠTVENI DOM;LADISLAV SOKOLOVAČKI;87;63;63;61;2;2;5;52;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;010;MILIČANI;DRUŠTVENI DOM;MILIČANI;257;70;70;69;1;6;19;40;1;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;011;TRNOVAC SOKOLOVAČKI;DRUŠTVENI DOM;TRNOVAC SOKOLOVAČKI;76;48;48;47;1;8;10;29;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;012;MALI POGANAC;DRUŠTVENI DOM;MALI POGANAC;225;51;51;51;0;7;14;27;3;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;013;VELIKA MUČNA;HRVATSKI DOM;VELIKA MUČNA;284;118;118;114;4;9;53;46;4;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SOKOLOVAC;014;DOMAJI;DRUŠTVENI DOM;DOMAJI;217;89;89;86;3;16;8;53;6;3
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;001;BREZOVLJANI;DRUŠTVENI DOM BREZOVLJANI;BREZOVLJANI 121;241;126;126;122;4;13;51;49;9;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;002;CEPIDLAK;VATROGASNI DOM CEPIDLAK;CEPIDLAK 130;121;54;54;51;3;19;9;22;1;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;003;CIRKVENA;DOM KULTURE CIRKVENA;TRG SLOBODE 1;402;165;165;153;12;15;51;76;10;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;004;HRSOVO;VATROGASNI DOM HRSOVO;HRSOVO 69;200;100;100;95;5;11;38;38;7;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;005;KENĐELOVEC;DRUŠTVENI DOM KENĐELOVEC;KENĐELOVEC 93;141;87;87;84;3;10;20;48;1;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;006;LADINEC;VATROGASNI DOM LADINEC;LADINEC 28;193;52;52;50;2;10;26;11;2;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;007;MARKOVAC KRIŽEVAČKI;DRUŠTVENI DOM MARKOVAC KRIŽEVAČKI;MARKOVAC KRIŽEVAČKI 21;116;68;68;68;0;8;2;50;7;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;008;NOVI GLOG;VATROGASNI DOM NOVI GLOG;NOVI GLOG 34;268;88;88;84;4;8;22;47;5;2
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;009;RAŠĆANI;KUĆA LASIĆ STJEPANA;RAŠĆANI 24;86;25;25;23;2;5;12;6;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;010;SVETI IVAN ŽABNO;KINO SALA;TRG KARLA LUKAŠA 1;490;240;240;234;6;25;89;100;15;5
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;011;SVETI IVAN ŽABNO;OPĆINSKA VIJEĆNICA;TRG KARLA LUKAŠA 11;524;254;254;247;7;23;113;87;12;12
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;012;SVETI PETAR ČVRSTEC;"PODRUČNA ŠKOLA ""GRIGOR VITEZ""";PURGA 53;300;71;71;71;0;31;9;31;0;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;013;SVETI PETAR ČVRSTEC;DRUŠTVENI DOM ŠTEFANCI-IŠTOKI;ŠTEFANCI-IŠTOKI 12;169;48;48;45;3;15;10;19;0;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;014;ŠKRINJARI;KUĆA GORDANE MILOŠ;ŠKRINJARI 86;155;52;52;51;1;6;15;21;9;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;015;TREMA;VATROGASNI DOM TREMA - BUDILOVO;BUDILOVO 68;150;41;41;39;2;6;9;22;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;016;TREMA;VATROGASNI DOM TREMA - DVORIŠĆE;DVORIŠĆE 112;161;87;87;85;2;4;40;31;9;1
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;017;TREMA;DRUŠTVENI DOM TREMA - GORNJE SELO;GORNJE SELO 55;166;82;82;82;0;20;29;26;7;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI IVAN ŽABNO;018;TREMA;"PODRUČNA ŠKOLA ""GRIGOR VITEZ""";GRUBIŠEVO 17;80;36;36;36;0;6;7;21;2;0
06;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;općina;SVETI PETAR OREHOVEC;001;HIŽANOVEC;PODRUČNA ŠKOLA HIŽANOVEC;HIŽANOVEC 18;273;150;150;144;6;2;90;42;6;4
