Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA MLADIH - AM, ALTERNATIVA 101 - ALTERNATIVA;DEMOKRATI, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP, ZELENI SAVEZ - ZELENI;MOST;MOŽEMO! - POLITIČKA PLATFORMA, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, NOVA LJEVICA - NL;RADNIČKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STRANKA UMIROVLJENIKA - SU, ŽIVI ZID, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;032;PULA-POLA, BIRAČKO MJESTO 32.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 9, PULA-POLA;1165;465;465;452;13;22;9;5;38;21;146;6;102;14;83;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;033;PULA-POLA, BIRAČKO MJESTO 33.;ZGRADA TEHNIČKOG CENTRA;TRG KRALJA TOMISLAVA 11, PULA-POLA;1254;425;424;406;18;8;11;12;36;16;126;11;82;15;82;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;034;PULA-POLA, BIRAČKO MJESTO 34.;"PROSTORIJE ""SSSH""";KRLEŽINA 37, PULA-POLA;1161;465;465;454;11;19;7;7;56;26;144;14;66;17;91;7
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;035;PULA-POLA, BIRAČKO MJESTO 35.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;833;242;242;237;5;11;4;3;25;8;75;3;48;15;39;6
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;036;PULA-POLA, BIRAČKO MJESTO 36.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;793;321;321;307;14;7;8;4;29;12;118;11;51;17;45;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;037;PULA-POLA, BIRAČKO MJESTO 37.;"OŠ ""VERUDA""";BANOVČEVA ULICA 27, PULA-POLA;1051;423;423;411;12;11;10;10;42;35;143;10;70;13;59;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;038;PULA-POLA, BIRAČKO MJESTO 38.;"PROSTORIJE MO ""VERUDA""";BANOVČEVA 4 I 6, PULA-POLA;678;277;277;262;15;5;0;4;17;10;107;5;35;14;60;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;039;PULA-POLA, BIRAČKO MJESTO 39.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;796;319;319;311;8;10;5;5;42;14;103;8;66;12;42;4
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;040;PULA-POLA, BIRAČKO MJESTO 40.;"PROSTORIJE MO ""VIDIKOVAC""";VOLTIĆEVA ULICA 1, PULA-POLA;877;366;366;349;17;19;4;7;35;19;126;6;58;7;65;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;041;PULA-POLA, BIRAČKO MJESTO 41.;"PROSTORIJE MO ""NOVA VERUDA""";ULICA VIDIKOVAC 7, PULA-POLA;1100;499;499;484;15;13;9;8;61;18;175;13;92;12;75;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;042;PULA-POLA, BIRAČKO MJESTO 42.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;1159;462;461;455;6;15;9;15;69;17;160;8;79;19;56;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;043;PULA-POLA, BIRAČKO MJESTO 43.;INDUSTRIJSKO-OBRTNIČKA ŠKOLA PULA;RIZZIJEVA ULICA 40, PULA-POLA;871;357;357;348;9;12;6;5;46;16;113;9;71;10;55;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;044;PULA-POLA, BIRAČKO MJESTO 44.;"PROSTORIJE MO ""STOJA""";LETTISOVA ULICA 1, PULA-POLA;772;342;341;332;9;8;8;5;33;15;110;9;52;18;69;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;045;PULA-POLA, BIRAČKO MJESTO 45.;"MO ""STOJA"" (ULAZ IZ ULICE STOJA)";LETTISOVA ULICA 1, PULA-POLA;621;249;248;228;20;11;5;5;20;14;89;8;34;10;29;3
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;046;PULA-POLA, BIRAČKO MJESTO 46.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;1190;520;520;508;12;16;6;10;63;25;183;10;75;20;92;8
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;047;PULA-POLA, BIRAČKO MJESTO 47.;"OŠ ""STOJA""";BRIJUNSKA ULICA 5, PULA-POLA;896;385;385;373;12;11;12;8;52;20;107;10;59;18;63;13
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;048;PULA-POLA, BIRAČKO MJESTO 48.;"OŠ ""KAŠTANJER""";RIMSKE CENTURIJACIJE 29, PULA-POLA;1056;405;405;392;13;23;8;8;46;19;132;10;55;13;68;10
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;049;PULA-POLA, BIRAČKO MJESTO 49.;PROSTORIJE MO MONVIDAL;VALTURSKA ULICA 2, PULA-POLA;864;328;328;312;16;8;5;9;51;9;107;7;57;8;46;5
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;050;PULA-POLA, BIRAČKO MJESTO 50.;FILOZOFSKI FAKULTET;MATETIĆA RONJGOVA 1, PULA-POLA;709;235;235;228;7;12;5;4;20;10;91;16;28;6;35;1
18;ISTARSKA ŽUPANIJA;grad;PULA - POLA;051;PULA-POLA, BIRAČKO MJESTO 51.;FILOZOFSKI FAKULTET;ULICA MATETIĆA RONJGOVA 1, PULA-POLA;660;274;274;263;11;7;6;11;28;13;96;5;45;10;42;0
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;001;ROVINJ;DOM KULTURE;TRG M.TITA 3;808;188;188;183;5;6;2;3;24;9;78;6;11;4;30;10
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;002;ROVINJ;"OŠ ""VLADMIR NAZOR""";E.DE AMICIS 31;815;240;240;227;13;8;1;4;24;8;121;9;7;1;33;11
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;003;ROVINJ;"OŠ ""VLADIMIR NAZOR""";E.DE AMICIS 31;921;294;294;285;9;6;6;4;20;14;149;12;16;10;42;6
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;004;ROVINJ;"STRUKOVNA ŠKOLA ""E.KUMIČIĆA""";CARDUCCI 13;794;284;284;270;14;7;3;2;27;17;146;8;13;5;33;9
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;005;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIĆA 8;977;390;390;376;14;14;5;7;50;12;175;6;22;5;76;4
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;006;ROVINJ;"OŠ ""J:DOBRILE""";S.PAULETIĆA 8;1061;399;399;389;10;8;5;5;35;20;201;8;30;4;70;3
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;007;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1223;494;492;484;8;12;1;3;42;15;243;18;33;5;101;11
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;008;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE VALBRUNA;G.PRIVILEGGIO-PASCIA 2;1364;404;402;391;11;15;3;6;32;22;197;18;20;1;67;10
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;009;ROVINJ;"TOŠ ""BERNARDO BENUSSI""";OMLADINSKA 20;1689;571;571;556;15;20;6;6;53;32;302;24;35;6;58;14
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;010;ROVINJ;PJ ELEKTRA;VIJENAC B.LORENZETTO BB;1334;481;481;469;12;8;4;11;51;18;236;29;34;11;60;7
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;011;ROVINJ;DJEČJI VRTIĆ NEVEN, PODRUČNO ODJELJENJE MONDELACO;ROIA 1;1121;418;418;407;11;12;1;12;46;9;186;29;26;10;63;13
18;ISTARSKA ŽUPANIJA;grad;ROVINJ - ROVIGNO;012;ROVINJSKO SELO;DOM KULTURE;TRG MATKA LAGINJE 2;1227;420;420;404;16;15;5;3;55;22;200;14;23;8;54;5
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;001;BABIĆI-BABICI;DRUŠTVENI DOM BABIĆI;BABIĆI BB;840;300;300;294;6;30;5;6;24;21;130;2;8;4;55;9
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;002;JURICANI-GIURIZZANI;PODRUČNA ŠKOLA JURICANI;JURICANI 2;803;284;284;277;7;21;4;5;15;8;128;7;15;11;53;10
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;003;PETROVIJA-PETROVIA;PODRUČNA ŠKOLA PETROVIJA;UMAŠKA ULICA 14;696;279;279;271;8;22;3;6;31;12;118;7;13;4;55;0
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;004;SEGET-SEGHETTO;"""DVORAC"" SEGET";SEGET 12;703;247;247;239;8;21;2;5;30;10;79;4;7;2;77;2
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;005;BAŠANIJA-BASSANIA;DRUŠTVENI DOM BAŠANIJA;BAŠANIJA BB;1099;354;354;340;14;53;7;2;38;17;125;6;8;5;71;8
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;006;MURINE-MORNO;PODRUČNA ŠKOLA MURINE;PRVA ULICA 3;925;317;317;299;18;37;3;2;47;8;104;6;20;4;63;5
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;007;SVETA MARIJA NA KRASU-MADONNA DEL CARSO;DRUŠTVENI DOM SV.MARIJA NA KRASU;SVETA MARIJA NA KRASU BB;867;267;267;257;10;21;3;1;31;10;117;9;15;6;38;6
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;008;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1242;455;455;419;36;66;3;7;47;19;114;18;13;5;120;7
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;009;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1012;323;323;308;15;30;1;6;32;9;101;11;20;4;88;6
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;010;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1066;387;387;377;10;43;4;5;51;20;101;14;23;9;102;5
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;011;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1256;417;417;402;15;28;1;2;27;13;150;14;22;8;130;7
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;012;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1267;410;410;383;27;40;3;9;43;21;104;8;18;4;125;8
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;013;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1021;352;352;338;14;31;6;7;43;10;87;9;31;1;109;4
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;001;PEROJ - BIRAČKO MJESTO BR. 1;BIVŠA MJESNA ZAJEDNICA;PEROJ 44;959;482;482;459;23;28;7;12;64;14;195;10;25;16;73;15
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;002;VODNJAN - BIRAČKO MJESTO BR. 2;DOM MLADIH;ISTARSKA 1, VODNJAN;773;469;469;450;19;24;12;5;62;34;186;12;15;18;77;5
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;003;VODNJAN - BIRAČKO MJESTO BR. 3;DOM MLADIH;ISTARSKA 1, VODNJAN;770;455;455;430;25;24;14;4;69;29;155;13;26;10;77;9
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;004;VODNJAN - BIRAČKO MJESTO BR. 4;ZGRADA GRADA VODNJANA - SALA ZA VJENČANJA;TRGOVAČKA BB, VODNJAN;766;402;402;376;26;24;6;9;70;22;162;8;24;6;32;13
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;005;VODNJAN - BIRAČKO MJESTO BR. 5;ZGRADA GRADA VODNJANA - SALA ZA VJENČANJA;TRGOVAČKA BB, VODNJAN;763;433;433;414;19;17;10;16;75;21;152;13;27;12;52;19
18;ISTARSKA ŽUPANIJA;grad;VODNJAN - DIGNANO;006;GALIŽANA - BIRAČKO MJESTO BR. 6;ZGRADA MJESNE ZAJEDNICE GALIŽANA;MICHELE DELLA VEDOVA BR. 67, GALIŽANA;1362;742;741;695;46;36;27;12;86;49;303;20;35;20;83;24
18;ISTARSKA ŽUPANIJA;općina;BALE - VALLE;001;BALE;PODRUČNA ŠKOLA JURJA DOBRILE;DOMENICO CERNECCA 3;933;482;482;447;35;17;10;1;73;18;169;13;15;8;57;66
18;ISTARSKA ŽUPANIJA;općina;BALE - VALLE;002;GOLAŠ;DRUŠTVENI DOM U GOLAŠU;GOLAŠ BR.16;97;59;59;57;2;3;2;1;3;2;18;2;3;0;5;18
18;ISTARSKA ŽUPANIJA;općina;BALE - VALLE;003;KRMED;DRUŠTVENI DOM U KRMEDU;KRMED BR.1;64;36;36;36;0;1;1;0;11;0;14;0;3;1;3;2
18;ISTARSKA ŽUPANIJA;općina;BARBAN;001;BARBAN;DOLNJA ŠKOLA;BARBAN;534;316;316;313;3;5;11;2;50;14;120;1;18;8;80;4
18;ISTARSKA ŽUPANIJA;općina;BARBAN;002;HRBOKI;DRUŠTVENI DOM HRBOKI;HRBOKI;255;147;147;142;5;4;2;6;22;8;65;1;6;4;19;5
18;ISTARSKA ŽUPANIJA;općina;BARBAN;003;MANJADVORCI;DRUŠTVENI DOM MANJADVORCI;MANJADVORCI;161;101;101;95;6;4;0;1;6;5;47;3;7;5;16;1
18;ISTARSKA ŽUPANIJA;općina;BARBAN;004;ŠAJINI;DRUŠTVENI DOM ŠAJINI;ŠAJINI;275;158;158;145;13;3;0;0;24;8;51;0;12;8;36;3
18;ISTARSKA ŽUPANIJA;općina;BARBAN;005;PETEHI;DRUŠTVENI DOM;PETEHI;403;222;222;217;5;4;0;2;46;3;90;5;9;1;51;6
18;ISTARSKA ŽUPANIJA;općina;BARBAN;006;PRNJANI;DRUŠTVENI DOM PRNJANI;PRNJANI;259;157;157;152;5;3;1;2;15;7;72;3;6;3;39;1
18;ISTARSKA ŽUPANIJA;općina;BARBAN;007;SUTIVANAC;DRUŠTVENI DOM SUTIVANAC;SUTIVANAC;269;159;159;151;8;5;3;0;8;13;68;5;18;7;21;3
18;ISTARSKA ŽUPANIJA;općina;BRTONIGLA - VERTENEGLIO;001;BRTONIGLA-VERTENEGLIO;SJEDIŠTE PODRUČNE ŠKOLE U BRTONIGLI;DUDOVA 24, BRTONIGLA;812;486;486;453;33;45;15;10;52;18;231;11;13;5;39;14
18;ISTARSKA ŽUPANIJA;općina;BRTONIGLA - VERTENEGLIO;002;NOVA VAS-VILLANOVA;ZGRADA ZAJEDNICE TALIJANA;NOVA VAS 4;334;178;178;167;11;9;5;2;14;4;98;8;11;2;6;8
18;ISTARSKA ŽUPANIJA;općina;BRTONIGLA - VERTENEGLIO;003;FIORINI-FIORINI;DRUŠTVENI DOM FIORINI;FIORINI BB;375;179;179;167;12;16;2;3;6;8;92;7;7;4;14;8
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;001;CEROVLJE;"DOM ""JOSIP DAUS""";CEROVLJE;252;140;140;133;7;3;10;1;8;11;69;6;5;3;14;3
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;002;BORUT;BIVŠA ŠKOLA BORUT;BORUT;161;88;88;75;13;4;3;0;5;3;51;1;2;0;4;2
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;003;DRAGUĆ;KUĆA FRESAKA (BIVŠA ŠKOLA DRAGUĆ);DRAGUĆ;156;89;89;84;5;2;3;3;4;2;61;2;3;2;2;0
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;004;GRIMALDA;ZGRADA FAROŽA;GRIMALDA;169;97;97;91;6;5;6;0;11;3;48;6;3;0;8;1
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;005;PAZINSKI NOVAKI;BIVŠA ŠKOLA PAZINSKI NOVAKI;PAZINSKI NOVAKI;220;97;97;93;4;7;7;0;7;1;50;4;6;2;8;1
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;006;GOLOGORICA;DOM GOLOGORICA;GOLOGORICA;275;145;145;136;9;2;1;1;54;4;48;9;6;2;5;4
18;ISTARSKA ŽUPANIJA;općina;CEROVLJE;007;PAZ;BIVŠA ŠKOLA PAZ;PAZ;95;46;46;42;4;1;6;0;0;1;25;2;2;0;5;0
18;ISTARSKA ŽUPANIJA;općina;FAŽANA - FASANA;001;FAŽANA, BIRAČKO MJESTO BR. 1.;SPORTSKA DVORANA OSNOVNE ŠKOLE FAŽANA;FAŽANA, PULJSKA CESTA 9;902;562;562;529;33;17;12;6;86;18;141;7;38;15;177;12
18;ISTARSKA ŽUPANIJA;općina;FAŽANA - FASANA;002;FAŽANA, BIRAČKO MJESTO BR. 2.;MULTIMEDIJALNI CENTAR OPĆINE FAŽANA;FAŽANA, 43.ISTARSKE DIVIZIJE 8;926;611;610;575;35;18;6;16;75;25;132;20;40;18;215;10
18;ISTARSKA ŽUPANIJA;općina;FAŽANA - FASANA;003;FAŽANA, BIRAČKO MJESTO BR. 3.;ZGRADA ŠKOLE MUP-A RH;VALBANDON, PRILAZ MARINI 2;839;432;432;412;20;13;13;6;67;10;103;13;27;9;147;4
18;ISTARSKA ŽUPANIJA;općina;FAŽANA - FASANA;004;FAŽANA, BIRAČKO MJESTO BR. 4.;ZGRADA ŠKOLE MUP-A RH;VALBANDON, PRILAZ MARINI 2;823;453;453;434;19;13;8;11;54;19;104;9;35;12;163;6
18;ISTARSKA ŽUPANIJA;općina;FUNTANA - FONTANE;001;FUNTANA;ZGRADA  STARE ŠKOLE;ISTARSKA 17, FUNTANA;868;552;552;525;27;24;8;14;135;17;216;40;21;6;32;12
18;ISTARSKA ŽUPANIJA;općina;GRAČIŠĆE;001;GRAČIŠĆE;PROSTORIJE OPĆINSKE VIJEĆNICE-ŠPITAL;GRAČIŠĆE;443;319;319;303;16;24;9;5;22;23;134;13;25;2;38;8
18;ISTARSKA ŽUPANIJA;općina;GRAČIŠĆE;002;BRLJAFI;PROSTORIJE LOVAČKOG DOMA;BRLJAFI 67 B;351;244;244;230;14;10;6;6;32;18;95;14;13;5;25;6
18;ISTARSKA ŽUPANIJA;općina;GRAČIŠĆE;003;BATLUG;PROSTORIJE DRUŠTVENOG DOMA;BATLUG;187;114;114;108;6;4;5;0;6;7;39;10;8;3;25;1
18;ISTARSKA ŽUPANIJA;općina;GRAČIŠĆE;004;BAZGALJI;PROSTORIJE BIVŠE ŠKOLE;BAZGALJI;202;133;133;129;4;9;5;4;10;8;47;12;4;6;21;3
18;ISTARSKA ŽUPANIJA;općina;GROŽNJAN - GRISIGNANA;001;GROŽNJAN-GRISIGNANA;SJEDIŠTE OPĆINE GROŽNJAN;UMBERTA GORJANA 3, GROŽNJAN;370;159;159;153;6;6;1;1;9;6;88;6;13;3;20;0
18;ISTARSKA ŽUPANIJA;općina;GROŽNJAN - GRISIGNANA;002;ŠTERNA-STERNA;ZGRADA ZAJEDNICE TALIJANA;ŠTERNA 25/A;280;124;124;117;7;10;0;2;2;3;85;2;5;3;3;2
18;ISTARSKA ŽUPANIJA;općina;KANFANAR;001;KANFANAR;"OŠ ""PETRA STUDENCA""";DVIGRADSKA 3, KANFANAR;481;325;325;316;9;10;3;2;83;56;116;5;12;2;21;6
18;ISTARSKA ŽUPANIJA;općina;KANFANAR;002;SOŠIĆI;PODRUČNA OSNOVNA ŠKOLA U SOŠIĆIMA;SOŠIĆI;493;275;275;257;18;12;7;3;42;62;91;6;7;6;14;7
18;ISTARSKA ŽUPANIJA;općina;KANFANAR;003;BARAT;OSNOVNA ŠKOLA U BARATU;BARAT;108;66;66;64;2;0;1;1;6;14;35;0;1;1;3;2
18;ISTARSKA ŽUPANIJA;općina;KANFANAR;004;MRGANI;KUĆNI BR. 45;MRGANI;68;30;30;28;2;0;1;0;2;2;13;1;4;1;4;0
18;ISTARSKA ŽUPANIJA;općina;KANFANAR;005;MARIĆI;DRUŠTVENI DOM U MARIĆIMA;MARIĆI;220;152;152;148;4;12;2;2;38;16;53;8;6;2;6;3
18;ISTARSKA ŽUPANIJA;općina;KAROJBA;001;KAROJBA;ZGRADA SJEDIŠTA OPĆINE U KAROJBI;KAROJBA;358;205;205;192;13;13;5;4;48;1;79;8;17;0;15;2
18;ISTARSKA ŽUPANIJA;općina;KAROJBA;002;MOTOVUNSKI NOVAKI;"PROSTORIJE ""LOŽE"" U MOT. NOVAKIMA";MOTOVUNSKI NOVAKI;330;252;252;241;11;7;5;3;52;8;134;6;9;3;12;2
18;ISTARSKA ŽUPANIJA;općina;KAROJBA;003;ŠKROPETI;PROSTORIJE VIŠENAMJENSKOG DRUŠTVENOG OBJEKTA U ŠKROPETIMA;ŠKROPETI;360;224;224;211;13;3;4;5;79;7;81;9;8;2;10;3
18;ISTARSKA ŽUPANIJA;općina;KAROJBA;004;RAKOTULE;PROSTORIJA ŽUPNOG STANA;RAKOTULE, RAKOTULE 1;165;84;84;79;5;5;1;1;15;2;45;2;1;1;3;3
18;ISTARSKA ŽUPANIJA;općina;KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA;001;KAŠTELIR;SALA U DRUŠTVENOM DOMU KAŠTELIR;KAŠTELIR 113;1007;552;552;530;22;37;14;6;65;22;297;14;21;10;32;12
18;ISTARSKA ŽUPANIJA;općina;KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA;002;LABINCI;POSLOVNA ZGRADA NA ADRESI LABINCI;LABINCI 8;322;170;170;162;8;8;6;5;19;9;95;2;5;0;6;7
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;001;POTPIĆAN;PROSTORIJE MJESNOG ODBORA;ISTARSKA 5, POTPIĆAN;410;211;211;202;9;17;7;5;24;10;80;6;8;6;27;12
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;002;LAZARIĆI;PROSTORIJE BIVŠE OSNOVNE ŠKOLE;LAZARIĆI;327;203;203;199;4;7;5;2;14;17;107;7;5;4;22;9
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;003;KRŠAN;PROSTORIJE OSNOVNE ŠKOLE;PRISTAV, KRŠAN;501;326;326;311;15;21;8;6;34;20;147;6;15;11;35;8
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;004;VOZILIĆI;OSNOVNA ŠKOLA U VOZILIĆIMA;VOZILIĆI;245;153;153;146;7;9;0;0;30;6;61;3;10;2;21;4
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;005;PLOMIN;BIVŠA OPĆINSKA ZGRADA;PLOMIN;364;190;190;184;6;8;4;1;33;14;83;3;3;4;21;10
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;006;KOŽLJAK;PROSTORIJE BIVŠE ŠKOLE U KOŽLJAKU;KOŽLJAK;144;87;87;79;8;5;0;2;16;3;40;4;4;1;4;0
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;007;ŠUŠNJEVICA;U PROSTORIJAMA ZGRADE MO ŠUŠNJEVICA;ŠUŠNJEVICA;243;125;125;121;4;5;3;0;16;8;62;7;4;5;9;2
18;ISTARSKA ŽUPANIJA;općina;KRŠAN;008;ČEPIĆ;PROSTORIJE UDRUGE MLADIH ČEPIĆ;ČEPIĆ;405;258;258;241;17;25;3;3;27;14;126;7;11;6;16;3
18;ISTARSKA ŽUPANIJA;općina;LANIŠĆE;001;LANIŠĆE;ZGRADA OPĆINE LANIŠĆE;LANIŠĆE 2;170;100;100;94;6;3;0;3;38;2;39;5;2;0;2;0
18;ISTARSKA ŽUPANIJA;općina;LANIŠĆE;002;BREST;ZGRADA BIVŠE ŠKOLE;BREST;65;43;43;43;0;2;0;2;10;2;16;0;4;2;3;2
18;ISTARSKA ŽUPANIJA;općina;LANIŠĆE;003;VODICE;ZGRADA BIVŠE ŠKOLE U VODICAMA;VODICE;33;25;25;24;1;1;0;0;3;0;11;1;1;1;6;0
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;001;LIŽNJAN - BIRAČKO MJESTO BR. 1;OPĆINSKA SALA (VIJEĆNICA);LIŽNJAN, KRASA 7;649;255;255;250;5;12;4;1;56;4;108;5;19;5;30;6
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;002;LIŽNJAN - BIRAČKO MJESTO BR. 2;OŠ LIŽNJAN;LIŽNJAN, KRASA 27;636;273;273;259;14;5;2;10;48;9;105;9;30;5;33;3
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;003;ŠIŠAN - BIRAČKO MJESTO BR. 3;ZGRADA ZAJEDNICE TALIJANA;G. DOBRAN 20, ŠIŠAN;878;319;319;297;22;12;8;5;44;9;156;5;23;4;30;1
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;004;VALTURA - BIRAČKO MJESTO BR. 4;ZGRADA OŠ VALTURA;VALTURA 71 A;717;218;218;212;6;3;4;4;39;10;94;7;25;9;17;0
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;005;MUNTIĆ - BIRAČKO MJESTO BR. 5;ZGRADA OŠ MUNTIĆ;MUNTIĆ  80;325;109;109;106;3;6;3;1;12;7;39;2;16;5;12;3
18;ISTARSKA ŽUPANIJA;općina;LIŽNJAN - LISIGNANO;006;JADREŠKI - BIRAČKO MJESTO BR. 6;MONTAŽNI URED KRAJ SPORTSKOG IGRALIŠTA;JADREŠKI 91 C;520;198;198;196;2;6;4;4;26;5;112;2;15;3;13;6
18;ISTARSKA ŽUPANIJA;općina;LUPOGLAV;001;LUPOGLAV;VIJEĆNICA,  ZGRADA SJEDIŠTA OPĆINE;LUPOGLAV 17;319;114;114;106;8;6;3;0;12;10;55;2;6;0;7;5
18;ISTARSKA ŽUPANIJA;općina;LUPOGLAV;002;SEMIĆ;ZGRADA STARE ŠKOLE;SEMIĆ;68;26;26;26;0;2;0;0;3;2;13;0;1;1;3;1
