Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BLAŽENKO BOBAN;RANKO OSTOJIÆ
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;018;RUPOTINA III;DJEÈJI VRTIÆ VJEVERICA;ANTE STARÈEVIÆA 125;827;451;449;406;43;292;114
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;019;SREDNJA STRANA I;PROSTORIJE MO SREDNJA STRANA;BRAÆE RADIÆA 65;884;553;553;508;45;394;114
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;020;SREDNJA STRANA II;DJEÈJI VRTIÆ CVRÈAK (TRATINÈICA);DON LOVRE KATIÆA 50;1156;567;565;504;61;363;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;021;SREDNJA STRANA III;"PROSTORIJE DJEÈJEG VRTIÆA ""CVRÈAK"" (TRATINÈICA)";DON LOVRE KATIÆA 50;1061;572;572;524;48;369;155
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;022;SREDNJA STRANA IV;DJEÈJI VRTIÆ CVRÈAK (TRATINÈICA);DON LOVRE KATIÆA 50;919;532;530;476;54;367;109
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;023;SV. KAJO I;OŠ VJEKOSLAV PARAÆ;DUDINI 17;417;208;208;188;20;137;51
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;024;SV. KAJO II;OŠ VJEKOSLAV PARAÆ;DUDINI 17;864;415;415;386;29;256;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;025;SVETI KAJO III;"O.Š. ""VJEKOSLAV PARAÆ""";DUDINI 17;984;423;423;388;35;273;115
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SOLIN;026;SV.KAJO IV;"O.Š. "" VJEKOSLAV PARAÆ""";DUDINI 17;838;352;351;329;22;225;104
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;001;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;806;316;315;296;19;126;170
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;002;SPLIT;O.Š.POJIŠAN;VIŠKA 12;875;428;428;405;23;160;245
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;003;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;913;440;440;423;17;172;251
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;004;SPLIT;GRADSKI KOTAR BAÈVICE;VIŠKA 7;913;451;451;427;24;138;289
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;005;SPLIT;"O.Š. ""POJIŠAN""";VIŠKA 12;1052;482;480;441;39;195;246
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;006;SPLIT;"O.Š.""POJIŠAN""";VIŠKA 12;1421;623;623;599;24;251;348
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;007;SPLIT;GRADSKI KOTAR  BLATINE-ŠKRAPE;POLJIÈKA CESTA 31;948;418;418;394;24;121;273
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;008;SPLIT;GRADSKI KOTAR BLATINE ŠKRAPE;POLJIÈKA CESTA 31;971;447;447;422;25;207;215
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;009;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;775;367;367;351;16;119;232
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;010;SPLIT;O.Š.BLATINE ŠKRAPE;NA KRIŽICE 2;1156;502;502;468;34;256;212
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;011;SPLIT;O.Š. BLATINE-ŠKRAPE;NA KRIŽICE 2;746;342;341;325;16;88;237
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;012;SPLIT;O.Š. MANUŠ;VUKOVARSKA 11;619;266;266;248;18;84;164
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;013;SPLIT;DJEÈJI VRTIÆ DUGA;MAŽURANIÈEVO ŠET.12 A;543;284;284;267;17;104;163
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;014;SPLIT;"O.Š. ""BOL""";HRVATSKIH ISELJENIKA 10;576;238;238;224;14;72;152
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;015;SPLIT;DJEÈJI VRTIÆ LAVANDA;VUKOVARSKA 45;700;328;328;310;18;113;197
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;016;SPLIT;O.Š. BOL;HRV.ISELJENIKA 10;473;198;198;187;11;78;109
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;017;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;1250;528;527;504;23;237;267
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;018;SPLIT;DJEÈJI VRTIÆ FRULICA;ULICA SLOBODE 32;646;281;281;265;16;90;175
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;019;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;712;354;354;320;34;132;188
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;020;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;565;259;259;252;7;80;172
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;021;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;676;290;290;268;22;128;140
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;022;SPLIT;DJEÈJI VRTIÆ POTOÈNICA II;TRŠÈANSKA 35;638;284;284;267;17;91;176
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;023;SPLIT;O.Š. BOL;HRVATSKIH ISELJENIKA 10;657;257;257;232;25;88;144
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;024;SPLIT;O.Š. DOBRI;KLIŠKA 25;795;395;395;377;18;161;216
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;025;SPLIT;O.Š. DOBRI;KLIŠKA 25;624;292;292;273;19;143;130
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;026;SPLIT;O.Š. DOBRI;KLIŠKA 25;649;248;248;243;5;114;129
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;027;SPLIT;O.Š. DOBRI;KLIŠKA 25;513;238;238;228;10;79;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;028;SPLIT;PARKOVI I NASADI;KAVANJINOVA 12;468;216;216;209;7;57;152
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;029;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;388;151;151;133;18;68;65
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;030;SPLIT;GRADSKI KOTAR GRAD;OBALA HRV.PREPORODA 10/1;301;122;122;117;5;60;57
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;031;SPLIT;O.Š. DOBRI;KLIŠKA 25;771;332;332;317;15;108;209
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;032;SPLIT;DJEÈJI VRTIÆ PALÈIÆ;OSJEÈKA 3;548;237;237;227;10;99;128
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;033;SPLIT;DJEÈJI VRTIÆ BOSILJAK;OSJEÈKA 24;721;339;339;312;27;114;198
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;034;SPLIT;GRADSKI KOTAR GRIPE;MATICE HRVATSKE 16;772;362;362;344;18;137;207
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;035;SPLIT;DJEÈJI VRTIÆ MIKI;OSJEÈKA 12;859;412;412;396;16;175;221
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;036;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;790;345;345;320;25;135;185
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;037;SPLIT;SPORTSKI CENTAR GRIPE;OSJEÈKA 11;858;382;382;352;30;139;213
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;038;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;879;344;344;323;21;182;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;039;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1016;401;401;365;36;215;150
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;040;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;817;304;304;283;21;110;173
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;041;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;840;329;328;304;24;130;174
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;042;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;798;296;296;277;19;175;102
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;043;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1198;414;414;390;24;230;160
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;044;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1134;416;416;394;22;204;190
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;045;SPLIT;O.Š. KMAN KOCUNAR;BENKOVAÈKA 10;1004;362;362;342;20;148;194
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;046;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1398;646;646;605;41;238;367
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;047;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1561;642;642;602;40;260;342
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;048;SPLIT;O.Š. GRIPE;ALOJZIJA STEPINCA 12;1668;778;778;737;41;267;470
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;049;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;1549;654;654;613;41;317;296
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;050;SPLIT;O.Š. SKALICE;PUT SKALICA 18;998;452;452;428;24;147;281
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;051;SPLIT;O.Š. SKALICE;PUT SKALICA 18;913;455;455;439;16;196;243
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;052;SPLIT;DJEÈJI VRTIÆ VESELI DANI;STARÈEVIÆEVA 32;744;348;348;330;18;117;213
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;053;SPLIT;O.Š. SKALICE;PUT SKALICA 18;647;283;283;263;20;74;189
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;054;SPLIT;POMORSKA ŠKOLA;ZRINJSKO FRANKOPANSKA 36;669;310;310;292;18;111;181
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;055;SPLIT;DJEÈJI VRTIÆ ÈAROBNI PIANINO;TERZIÆEVA 9;1055;446;446;419;27;184;235
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;056;SPLIT;ZGRADA STANOUPRAVE;PUT SKALICA 18;1159;629;628;574;54;252;322
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;057;SPLIT;O.Š. SKALICE;PUT SKALICA 18;874;417;417;392;25;149;243
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;058;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;722;309;309;297;12;117;180
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;059;SPLIT;DJEÈJI VRTIÆ MALA SIRENA;KNEZA VIŠESLAVA 24;678;331;331;308;23;103;205
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;060;SPLIT;GIMNAZIJA VLADIMIR NAZORA;ZAGREBAÈKA 2;769;333;333;314;19;110;204
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;061;SPLIT;O.Š. LUÈAC;OMIŠKA 27;691;336;336;316;20;94;222
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;062;SPLIT;O.Š. LUÈAC;OMIŠKA 27;558;221;221;212;9;105;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;063;SPLIT;GIMNAZIJA VLADIMIR NAZOR;ZAGREBAÈKA 2;690;327;327;296;31;142;154
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;064;SPLIT;GRADSKI KOTAR LUÈAC-MANUŠ;OMIŠKA 16;719;370;370;346;24;134;212
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;065;SPLIT;GRADSKI KOTAR MEJE;NJEGOŠEVA 1 A;706;350;350;334;16;115;219
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;066;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;618;296;296;287;9;98;189
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;067;SPLIT;O.Š. MEJE;S. GUNJAÈE 1;999;496;496;473;23;205;268
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;068;SPLIT;DJEÈJI VRTIÆ KAŠTELET;T.P MAROVIÆA 4;834;409;409;390;19;208;182
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;069;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;982;468;468;436;32;185;251
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;070;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;779;341;341;317;24;136;181
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;071;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;812;340;340;317;23;130;187
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;072;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1042;465;464;428;36;190;238
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;073;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;855;403;403;377;26;163;214
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;074;SPLIT;O.Š. MERTOJAK;DOVERSKA 44;1290;569;567;540;27;239;301
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;075;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;715;302;302;284;18;95;189
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;076;SPLIT;OŠ PLOKITE;SLAVONSKA ULICA 13;871;386;386;370;16;118;252
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;077;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;668;291;291;276;15;102;174
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;078;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;778;305;305;273;32;106;167
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;079;SPLIT;O.Š. PLOKITE;SLAVONSKA 13;604;240;240;229;11;86;143
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;080;SPLIT;O.Š. PLOKITE;SLAVONSKA ULICA 13;901;421;421;390;31;149;241
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;081;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;988;379;378;353;25;145;208
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;082;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1105;462;458;429;29;280;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;083;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1021;386;386;355;31;139;216
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;084;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1149;477;477;455;22;207;248
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;085;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;1035;456;456;424;32;196;228
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;086;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;808;306;306;282;24;149;133
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;087;SPLIT;O.Š. PUJANKE;TIJARDOVIÆEVA 30;730;285;285;270;15;141;129
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;088;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;692;254;254;239;15;125;114
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;089;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;708;239;239;218;21;97;121
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;090;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;817;310;310;286;24;129;157
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;091;SPLIT;GRADSKI KOTAR RAVNE NJIVE;HERCEGOVAÈKA 40;1207;530;529;495;34;257;238
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;092;SPLIT;O.Š. RAVNE NJIVE;SARAJEVSKA 30;662;266;266;246;20;133;113
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;093;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;920;455;455;437;18;163;274
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;094;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;861;431;431;404;27;145;259
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;095;SPLIT;O.Š. SPINUT;TESLINA 12;735;353;353;327;26;122;205
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;096;SPLIT;GRADSKI KOTAR SPINUT;A.G.MATOŠA 29;728;368;368;346;22;116;230
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;097;SPLIT;O.Š. SPINUT;TESLINA 12;538;271;271;255;16;78;177
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;098;SPLIT;ELEKTROTEHNIÈKA ŠKOLA;TESLINA 2;726;360;360;349;11;84;265
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;099;SPLIT;O.Š. SPINUT;TESLINA 12;785;382;382;366;16;103;263
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;100;SPLIT;O.Š. SPINUT;TESLINA 12;833;417;417;398;19;97;301
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;101;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;834;420;419;388;31;171;217
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;102;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;827;395;385;356;29;113;243
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;103;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;775;390;390;375;15;155;220
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;104;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;743;343;343;326;17;114;212
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;105;SPLIT;GRADSKI KOTAR SPLIT III;GETALDIÆEVA 13;671;281;281;265;16;98;167
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;106;SPLIT;O.Š. SPLIT III;BRUNE BUŠIÆA 6;882;313;313;286;27;111;175
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;107;SPLIT;FESB;RUÐERA BOŠKOVIÆA;956;399;399;380;19;180;200
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;108;SPLIT;FAKULTET GRAÐEVINSKIH ZNANOSTI;MATICE HRVATSKE 15;624;280;280;265;15;116;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;109;SPLIT;FESB;RUÐERA BOŠKOVIÆA;929;375;375;353;22;138;215
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;110;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1085;429;429;397;32;238;159
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;111;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1297;495;495;451;44;303;148
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;112;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;786;305;305;288;17;139;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;113;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;825;334;334;309;25;107;202
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;114;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1066;368;368;343;25;202;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;115;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1105;434;434;401;33;218;183
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;116;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;1218;483;482;457;25;230;227
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;117;SPLIT;O.Š. SUÆIDAR;PERIVOJ ANE ROJE 1;842;290;290;272;18;107;165
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;118;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1008;429;429;412;17;179;233
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;119;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;811;382;382;359;23;138;221
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;120;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;933;414;414;389;25;164;225
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;121;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;862;349;349;336;13;118;218
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;122;SPLIT;GRADSKI KOTAR TRSTENIK;PUT TRSTENIKA 1;1164;481;481;458;23;189;269
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;123;SPLIT;O.Š. TRSTENIK;DINKA ŠIMUNOVIÆA 22;1094;494;494;465;29;215;250
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;124;SPLIT;KRUH SV.ANTE;SINOVÈIÆA 6;920;372;372;342;30;170;172
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;125;SPLIT;KLUB DVORANA;SINOVÈIÆA 6;775;304;304;286;18;151;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;126;SPLIT;DJEÈJI VRTIÆ TAMARIN;NAZOROV PRILAZ 20;749;360;360;338;22;157;181
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;127;SPLIT;O.Š. MARJAN;GAJEVA 1;859;336;336;310;26;129;181
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;128;SPLIT;O.Š. MARJAN;GAJEVA 1;885;404;404;370;34;150;220
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;129;SPLIT;O.Š. BRDA;BRDA 2;970;379;379;360;19;260;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;130;SPLIT;O.Š.BRDA;BRDA 2;1030;421;420;389;31;235;154
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;131;SPLIT;O.Š.BRDA;BRDA 2;932;454;454;426;28;297;129
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;132;SPLIT;O.Š.BRDA;BRDA 2;998;436;436;404;32;269;135
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;133;SPLIT;O.Š.BRDA;BRDA 2;991;405;405;380;25;223;157
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;134;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1642;731;731;685;46;485;200
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;135;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1147;504;504;476;28;369;107
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;136;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;869;366;366;350;16;269;81
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;137;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1106;523;523;502;21;390;112
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;138;SPLIT;OŠ MEJAŠI;MEJAŠI 20;1293;673;673;634;39;381;253
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;139;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1646;765;765;733;32;515;218
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;140;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1010;417;417;386;31;236;150
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;141;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;932;364;364;339;25;236;103
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;142;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1071;415;415;390;25;290;100
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;143;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÈEVA 30;1110;449;448;420;28;324;96
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;144;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÆEVA 34;1353;571;571;534;37;419;115
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;145;SPLIT;GRADSKI KOTAR ŠINE;JOSIPOVA 2;1539;621;612;566;46;425;141
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;146;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1626;679;678;630;48;411;219
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;147;SPLIT;GRADSKI KOTAR VISOKA;CESTA MIRA 3;1287;658;658;625;33;409;216
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;148;SPLIT;O.Š.VISOKA;VRH VISOKE 8;1300;560;560;528;32;420;108
