Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR PAVKOVIĆ;STANIŠA ŽARKOVIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;017;PITOMAČA;DRUŠTVENI DOM-GREDA;MIHOVILA PAVLEKA MIŠKINE 55 A;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;018;PITOMAČA;PRIVATNA KUĆA MARIJE DENT;PITOMAČA, LJUDEVITA GAJA 77;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;019;PITOMAČA;PRIVATNA KUĆA JELE MILANOVIĆ;DRAVSKA 104;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;020;PITOMAČA;PRIVATNA KUĆA ĐURE FONJAKA;DRAVSKA 247 F;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;021;KRIŽNICA;DRUŠTVENI DOM;KRIŽNICA 30;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;001;SOPJE;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 20;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;002;GRABIĆ;PROSTORIJE MJESNOG DOMA;GRABIĆ 41;4;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;003;NOVA ŠAROVKA;PROSTORIJE MJESNOG DOMA NOVA ŠAROVKA;DRAVSKA 26 A;11;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;004;GORNJE PREDRIJEVO;PROSTORIJE MJESNOG DOMA;GORNJE PREDRIJEVO 33;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;005;JOSIPOVO;PROSTORIJE MJESNOG DOMA;JOSIPOVO 57;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;006;KAPINCI;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 79;36;9;9;8;1;6;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;007;ŠPANAT;PROSTORIJE MJESNOG DOMA;GLAVNA 82;29;8;8;8;0;6;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;008;VAŠKA;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 2;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;009;NOVAKI;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 10;43;5;5;5;0;3;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;001;BOROVA;HRVATSKI DOM;TRG KRALJA TOMISLAVA 9;89;4;4;4;0;3;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;002;BUDANICA;DRUŠTVENI DOM MJESNOG ODBORA;BUDANICA 64;22;8;8;6;2;3;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;003;CABUNA;DRUŠTVENI DOM MJESNOG ODBORA;ALOJZIJA STEPINCA 1;116;25;25;23;2;2;21
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;004;GAĆIŠTE;DRUŠTVENI DOM MJESNOG ODBORA;GAĆIŠTE 101;50;20;20;20;0;11;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;005;JUGOVO POLJE;DRUŠTVENI DOM MJESNOG ODBORA;TRG SV.PETRA I PAVLA 18;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;006;LEVINOVAC;OSNOVNA ŠKOLA;LEVINOVAC 58;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;007;NAUDOVAC;ZGRADA MJESNOG ODBORA;NAUDOVAC 45;68;37;37;36;1;23;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;008;OREŠAC;DRUŠTVENI DOM MJESNOG ODBORA;OREŠAC 87;10;3;3;3;0;3;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;009;PČELIĆ;DRUŠTVENI DOM MJESNOG ODBORA;PČELIĆ BB;42;10;10;10;0;8;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;010;PEPELANA;DRUŠTVENI DOM MJESNOG ODBORA;PEPELANA 135;11;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;011;PIVNICA SLAVONSKA;DRUŠTVENI DOM MJESNOG ODBORA;PIVNICA SLAVONSKA 30;26;2;2;2;0;2;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;012;SUHOPOLJE;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 26;105;11;11;11;0;5;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;013;SUHOPOLJE;PRIVATNA KUĆA;KAPAN 62;12;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;014;SUHOPOLJE;HRVATSKI DOM;TRG SVETE TEREZIJE 10;66;5;5;5;0;5;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;015;MALA TRAPINSKA;DRUŠTVENI DOM MJESNOG ODBORA;MALA TRAPINSKA 6A;7;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;016;TRNAVA CABUNSKA;PRIVATNA KUĆA;TRNAVA CABUNSKA 41;4;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;017;ZVONIMIROVO;DRUŠTVENI DOM MJESNOG ODBORA;STJEPANA RADIĆA 1;20;4;4;4;0;3;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;018;ŽUBRICA;DRUŠTVENI DOM MJESNOG ODBORA;ŽUBRICA 50;5;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;001;ŠPIŠIĆ BUKOVICA;AMBULANTA ŠPIŠIĆ BUKOVICA;VLADIMIRA NAZORA 59;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;002;ŠPIŠIĆ BUKOVICA;"OSNOVNA ŠKOLA ""AUGUST CESAREC"", MATIČNA ŠKOLA";VLADIMIRA NAZORA 1;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;003;ŠPIŠIĆ BUKOVICA;VATROGASNI DOM;PETRA PRERADOVIĆA BB;5;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;004;LOZAN;DRUŠTVENI DOM;IVE MARINKOVIĆA BB;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;005;VUKOSAVLJEVICA;DRUŠTVENI DOM;BILOGORSKA BB;2;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;006;ROGOVAC;DRUŠTVENI DOM;ROGOVAC 25;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;007;BUŠETINA;OSNOVNA ŠKOLA ''AUGUST CESAREC'', PODRUČNA ŠKOLA BUŠETINA;VLADIMIRA NAZORA 8;1;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;008;OKRUGLJAČA;DRUŠTVENI DOM;OKRUGLJAČA 44 A;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;001;VOĆIN;VIJEĆNICA OPĆINE VOĆIN;TRG GOSPE VOĆINSKE 11;83;36;36;34;2;16;18
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;002;ĆERALIJE;OSNOVNA ŠKOLA VOĆIN-PODRUČNA ŠKOLA ĆERALIJE;PETRA PRERADOVIĆA 36;34;12;12;12;0;10;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;003;HUM;HRVATSKI DOM;HUM 45;38;20;20;20;0;19;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;001;ZDENCI;MUZEJSKO-GALERIJSKI PROSTOR;HRVATSKIH BRANITELJA 2;14;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;002;ZDENCI;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAČIĆ""";ŠKOLSKA 1;32;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;003;BANKOVCI;MJESNI DOM;BANKOVCI 59;3;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;004;DUGA MEĐA;MJESNI DOM DUGA MEĐA;KRALJA TOMISLAVA 66;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;005;SLAVONSKE BARE;MJESNI DOM;SLAVONSKE BARE 26;47;26;26;25;1;25;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;006;DONJE PREDRIJEVO;MJESNI DOM;DONJE PREDRIJEVO 62;7;1;1;1;0;0;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;007;ZOKOV GAJ;MJESNI DOM;ZOKOV GAJ 11;0;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;008;KUTOVI;MJESNI DOM KUTOVI;ZDRAVKA KEVČIĆA  53;6;0;0;0;0;0;0
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;009;OBRADOVCI;MJESNI DOM;OBRADOVCI 7;11;0;0;0;0;0;0
